Tarih,TP_URALTIN_ALTINKG
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,517.41
2008-02-01,482.79
2008-03-01,1244.42
2008-04-01,1061.97
2008-05-01,913.36
2008-06-01,970.66
2008-07-01,1090.49
2008-08-01,970.54
2008-09-01,832.92
2008-10-01,1039.61
2008-11-01,1005.38
2008-12-01,1079.48
2009-01-01,737.61
2009-02-01,584.67
2009-03-01,960.47
2009-04-01,1121.62
2009-05-01,1362.93
2009-06-01,1257.09
2009-07-01,1145.27
2009-08-01,1239.84
2009-09-01,1424.83
2009-10-01,1620.45
2009-11-01,1175.55
2009-12-01,1715.47
2010-01-01,1394.48
2010-02-01,1556.08
2010-03-01,1509.72
2010-04-01,1265.91
2010-05-01,1390.27
2010-06-01,1453.59
2010-07-01,1243.26
2010-08-01,1531.35
2010-09-01,1196.52
2010-10-01,1194.71
2010-11-01,1451.05
2010-12-01,1244.2
2011-01-01,1318.56
2011-02-01,1262.61
2011-03-01,1948.96
2011-04-01,1699.89
2011-05-01,1975.18
2011-06-01,1656.47
2011-07-01,1955.9
2011-08-01,2079.25
2011-09-01,2641.71
2011-10-01,2264.72
2011-11-01,2766.91
2011-12-01,2396.56
2012-01-01,2474.16
2012-02-01,2336.95
2012-03-01,2275.09
2012-04-01,2576.81
2012-05-01,2456.47
2012-06-01,2162.11
2012-07-01,2722.11
2012-08-01,2383.1
2012-09-01,2496.47
2012-10-01,2698.37
2012-11-01,2379.71
2012-12-01,2408.76
2013-01-01,2386.68
2013-02-01,2359.1
2013-03-01,2347.78
2013-04-01,2697.65
2013-05-01,2830.26
2013-06-01,2784.8
2013-07-01,3317.71
2013-08-01,3080.64
2013-09-01,2718.51
2013-10-01,3026.19
2013-11-01,3137.85
2013-12-01,2812.0
2014-01-01,2699.15
2014-02-01,2797.57
2014-03-01,2450.02
2014-04-01,2778.16
2014-05-01,2310.05
2014-06-01,2528.29
2014-07-01,2746.97
2014-08-01,2545.87
2014-09-01,2675.36
2014-10-01,2686.85
2014-11-01,2371.78
2014-12-01,2649.6
2015-01-01,2110.42
