Tarih,TP_TOP_V02
2000-01-01,8271302.0
2000-02-01,8846612.0
2000-03-01,9666383.0
2000-04-01,9929988.0
2000-05-01,11536422.0
2000-06-01,10812101.0
2000-07-01,10884631.0
2000-08-01,10635093.0
2000-09-01,11514092.0
2000-10-01,11787052.0
2000-11-01,11874682.0
2000-12-01,12587870.0
2001-01-01,12693164.0
2001-02-01,13544137.0
2001-03-01,13066904.0
2001-04-01,12658306.0
2001-05-01,12900894.0
2001-06-01,15209120.0
2001-07-01,16243812.0
2001-08-01,16200475.0
2001-09-01,16989372.0
2001-10-01,19270923.0
2001-11-01,18026563.0
2001-12-01,19735315.0
2002-01-01,18484374.0
2002-02-01,19646485.0
2002-03-01,18726765.0
2002-04-01,18787345.0
2002-05-01,19837931.0
2002-06-01,21150471.0
2002-07-01,23681718.0
2002-08-01,23163570.0
2002-09-01,24862166.0
2002-10-01,26007889.0
2002-11-01,24484048.0
2002-12-01,27372094.0
2003-01-01,26333844.0
2003-02-01,25726071.0
2003-03-01,24970267.0
2003-04-01,25773708.0
2003-05-01,24895121.0
2003-06-01,26445831.0
2003-07-01,27263112.0
2003-08-01,26378559.0
2003-09-01,28608433.0
2003-10-01,29822493.0
2003-11-01,30676552.0
2003-12-01,33166257.0
2004-01-01,28075420.0
2004-02-01,30669787.0
2004-03-01,30513310.0
2004-04-01,31364438.0
2004-05-01,32906067.0
2004-06-01,36118171.0
2004-07-01,33674528.0
2004-08-01,36787652.0
2004-09-01,37871014.0
2004-10-01,39439941.0
2004-11-01,38474639.0
2004-12-01,40415163.0
2005-01-01,37175509.0
2005-02-01,40308906.0
2005-03-01,38420209.0
2005-04-01,39303167.0
2005-05-01,39516391.0
2005-06-01,41478987.0
2005-07-01,40198917.0
2005-08-01,42925012.0
2005-09-01,44107718.0
2005-10-01,42387143.0
2005-11-01,44309120.0
2005-12-01,51044929.0
2006-01-01,44606869.0
2006-02-01,47111767.0
2006-03-01,45788008.0
2006-04-01,46427570.0
2006-05-01,58320644.0
2006-06-01,56904146.0
2006-07-01,52109214.0
2006-08-01,52635917.0
2006-09-01,53679865.0
2006-10-01,52992105.0
2006-11-01,51539507.0
2006-12-01,54675901.0
2007-01-01,51331070.0
2007-02-01,53973952.0
2007-03-01,51822914.0
2007-04-01,57365729.0
2007-05-01,52961406.0
2007-06-01,56440497.0
2007-07-01,60196403.0
2007-08-01,55838119.0
2007-09-01,54020409.0
2007-10-01,54578850.0
2007-11-01,54414596.0
2007-12-01,59441036.0
2008-01-01,55692112.0
2008-02-01,56135305.0
2008-03-01,62064000.0
2008-04-01,65193973.0
2008-05-01,60206340.0
2008-06-01,67331185.0
2008-07-01,65601603.0
2008-08-01,58740570.0
2008-09-01,67366254.0
2008-10-01,62578663.0
2008-11-01,59830353.0
2008-12-01,64595549.0
2009-01-01,59547181.0
2009-02-01,66469244.0
2009-03-01,65404057.0
2009-04-01,65026850.0
2009-05-01,66187107.0
2009-06-01,67800136.0
2009-07-01,73031739.0
2009-08-01,68612783.0
2009-09-01,78920808.0
2009-10-01,73433028.0
2009-11-01,78046987.0
2009-12-01,81857708.0
2010-01-01,76698956.0
2010-02-01,83913246.0
2010-03-01,81052637.0
2010-04-01,79981577.0
2010-05-01,80315027.0
2010-06-01,90895376.0
2010-07-01,91306467.0
2010-08-01,86068892.0
2010-09-01,91762460.0
2010-10-01,95578050.0
2010-11-01,91229488.0
2010-12-01,102235796.0
2011-01-01,95780013.0
2011-02-01,102993860.0
2011-03-01,101278261.0
2011-04-01,100404137.0
2011-05-01,104707115.0
2011-06-01,114307540.0
2011-07-01,111719024.0
2011-08-01,124753924.0
2011-09-01,120224867.0
2011-10-01,118263338.0
2011-11-01,123788647.0
2011-12-01,127305763.0
2012-01-01,119343073.0
2012-02-01,124348440.0
2012-03-01,120168060.0
2012-04-01,129304676.0
2012-05-01,127931959.0
2012-06-01,130731061.0
2012-07-01,137925862.0
2012-08-01,127029489.0
2012-09-01,133791068.0
2012-10-01,138185075.0
2012-11-01,129075082.0
2012-12-01,144159950.0
2013-01-01,137112519.0
2013-02-01,143757861.0
2013-03-01,145569609.0
2013-04-01,145658744.0
2013-05-01,150967156.0
2013-06-01,159412269.0
2013-07-01,171191563.0
2013-08-01,163292071.0
2013-09-01,176495068.0
2013-10-01,167677221.0
2013-11-01,167804076.0
2013-12-01,184563710.0
2014-01-01,177169512.0
2014-02-01,175137789.0
2014-03-01,182387662.0
2014-04-01,184997326.0
2014-05-01,177106211.0
2014-06-01,199080653.0
2014-07-01,205483532.0
2014-08-01,187392511.0
2014-09-01,202866983.0
2014-10-01,194577976.0
2014-11-01,195816502.0
2014-12-01,208176962.0
2015-01-01,201071159.0
2015-02-01,210493898.0
2015-03-01,214347311.0
2015-04-01,217880655.0
2015-05-01,222192483.0
2015-06-01,232504352.0
2015-07-01,246302462.0
2015-08-01,237003839.0
2015-09-01,260799626.0
2015-10-01,242580373.0
2015-11-01,249061770.0
2015-12-01,246810468.0
2016-01-01,244563701.0
2016-02-01,258222110.0
2016-03-01,256464171.0
2016-04-01,256283699.0
2016-05-01,258641313.0
2016-06-01,271427093.0
2016-07-01,264187406.0
2016-08-01,264707597.0
2016-09-01,266611333.0
2016-10-01,273014622.0
2016-11-01,303403329.0
2016-12-01,314211084.0
2017-01-01,315498248.0
2017-02-01,324509703.0
2017-03-01,337863202.0
2017-04-01,351315408.0
2017-05-01,348423382.0
2017-06-01,350573412.0
2017-07-01,349320432.0
2017-08-01,346185245.0
2017-09-01,359500766.0
2017-10-01,356463648.0
2017-11-01,361989495.0
2017-12-01,374727983.0
2018-01-01,362804001.0
2018-02-01,380759999.0
2018-03-01,381435987.0
2018-04-01,406492222.0
2018-05-01,429345300.0
2018-06-01,440549046.0
2018-07-01,441925828.0
2018-08-01,523586225.0
2018-09-01,492362466.0
2018-10-01,463347338.0
2018-11-01,444483913.0
2018-12-01,467829374.0
2019-01-01,461334438.0
2019-02-01,486917175.0
2019-03-01,533529253.0
2019-04-01,525094658.0
2019-05-01,547873471.0
2019-06-01,554388966.0
2019-07-01,545608983.0
2019-08-01,572812955.0
2019-09-01,587643967.0
2019-10-01,595027258.0
2019-11-01,606710477.0
2019-12-01,650273552.0
2020-01-01,670109286.0
2020-02-01,723817373.0
2020-03-01,774733422.0
2020-04-01,893181236.0
2020-05-01,929371692.0
2020-06-01,988087439.0
2020-07-01,1059928389.0
2020-08-01,1105344774.0
2020-09-01,1143423192.0
2020-10-01,1198176347.0
2020-11-01,1158242416.0
2020-12-01,1145766283.0
2021-01-01,1126045783.0
