Tarih,TP_TOP_V06
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,7162957.0
2002-03-01,6293226.0
2002-04-01,5631916.0
2002-05-01,6397300.0
2002-06-01,6771290.0
2002-07-01,6296667.0
2002-08-01,6611373.0
2002-09-01,5854649.0
2002-10-01,4904369.0
2002-11-01,5674571.0
2002-12-01,5358809.0
2003-01-01,5685083.0
2003-02-01,7277555.0
2003-03-01,6931649.0
2003-04-01,6610361.0
2003-05-01,6846756.0
2003-06-01,6536441.0
2003-07-01,6548454.0
2003-08-01,6980958.0
2003-09-01,5990731.0
2003-10-01,6462920.0
2003-11-01,8867937.0
2003-12-01,9532544.0
2004-01-01,9202941.0
2004-02-01,8594687.0
2004-03-01,8875275.0
2004-04-01,9251833.0
2004-05-01,11564520.0
2004-06-01,9977557.0
2004-07-01,11611891.0
2004-08-01,11607618.0
2004-09-01,11910781.0
2004-10-01,11222991.0
2004-11-01,12724827.0
2004-12-01,9594101.0
2005-01-01,10351897.0
2005-02-01,12657922.0
2005-03-01,11319239.0
2005-04-01,12907407.0
2005-05-01,14232266.0
2005-06-01,13143501.0
2005-07-01,10531907.0
2005-08-01,11967901.0
2005-09-01,13017490.0
2005-10-01,8528810.0
2005-11-01,8398098.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,2020.0
2007-01-01,4020.0
2007-02-01,4020.0
2007-03-01,4150.0
2007-04-01,4181.0
2007-05-01,4620.0
2007-06-01,8245.0
2007-07-01,8245.0
2007-08-01,8245.0
2007-09-01,21570.0
2007-10-01,18539.0
2007-11-01,8245.0
2007-12-01,12005.0
2008-01-01,8027.0
2008-02-01,18075.0
2008-03-01,15675.0
2008-04-01,17625.0
2008-05-01,2170.0
2008-06-01,1920.0
2008-07-01,2410.0
2008-08-01,2230.0
2008-09-01,3097.0
2008-10-01,1648.0
2008-11-01,1528.0
2008-12-01,1604.0
2009-01-01,1548.0
2009-02-01,1416.0
2009-03-01,1500.0
2009-04-01,1872.0
2009-05-01,2100.0
2009-06-01,2643.0
2009-07-01,2540.0
2009-08-01,4493.0
2009-09-01,3584.0
2009-10-01,10666.0
2009-11-01,422.0
2009-12-01,14218.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,441.0
2010-04-01,723.0
2010-05-01,441.0
2010-06-01,441.0
2010-07-01,642.0
2010-08-01,618.0
2010-09-01,911.0
2010-10-01,12309.0
2010-11-01,3960.0
2010-12-01,6813.0
2011-01-01,9807.0
2011-02-01,17331.0
2011-03-01,14351.0
2011-04-01,18556.0
2011-05-01,19110.0
2011-06-01,21213.0
2011-07-01,23694.0
2011-08-01,23176.0
2011-09-01,21176.0
2011-10-01,18943.0
2011-11-01,17069.0
2011-12-01,15043.0
2012-01-01,10233.0
2012-02-01,11801.0
2012-03-01,11872.0
2012-04-01,14882.0
2012-05-01,12211.0
2012-06-01,12522.0
2012-07-01,13176.0
2012-08-01,12727.0
2012-09-01,9898.0
2012-10-01,8653.0
2012-11-01,25913.0
