Tarih,TP_TOP_V10
2000-01-01,257153.0
2000-02-01,147852.0
2000-03-01,151433.0
2000-04-01,151354.0
2000-05-01,172223.0
2000-06-01,172548.0
2000-07-01,132058.0
2000-08-01,136321.0
2000-09-01,138131.0
2000-10-01,137204.0
2000-11-01,138239.0
2000-12-01,134609.0
2001-01-01,129749.0
2001-02-01,140943.0
2001-03-01,169920.0
2001-04-01,172337.0
2001-05-01,194215.0
2001-06-01,204533.0
2001-07-01,472006.0
2001-08-01,484905.0
2001-09-01,538268.0
2001-10-01,558951.0
2001-11-01,521281.0
2001-12-01,509239.0
2002-01-01,468769.0
2002-02-01,849981.0
2002-03-01,1729282.0
2002-04-01,1720705.0
2002-05-01,1748793.0
2002-06-01,1802396.0
2002-07-01,1829072.0
2002-08-01,1669228.0
2002-09-01,1677832.0
2002-10-01,771668.0
2002-11-01,720956.0
2002-12-01,1784515.0
2003-01-01,1692277.0
2003-02-01,1673379.0
2003-03-01,1083341.0
2003-04-01,1006426.0
2003-05-01,959199.0
2003-06-01,953486.0
2003-07-01,957682.0
2003-08-01,939333.0
2003-09-01,936944.0
2003-10-01,953675.0
2003-11-01,961792.0
2003-12-01,860721.0
2004-01-01,867777.0
2004-02-01,845169.0
2004-03-01,839456.0
2004-04-01,859409.0
2004-05-01,881900.0
2004-06-01,879000.0
2004-07-01,887736.0
2004-08-01,880759.0
2004-09-01,888353.0
2004-10-01,875053.0
2004-11-01,891253.0
2004-12-01,928828.0
2005-01-01,947152.0
2005-02-01,931959.0
2005-03-01,1012753.0
2005-04-01,812051.0
2005-05-01,790938.0
2005-06-01,806637.0
2005-07-01,810168.0
2005-08-01,830722.0
2005-09-01,824247.0
2005-10-01,813263.0
2005-11-01,808074.0
2005-12-01,624344.0
2006-01-01,612439.0
2006-02-01,600698.0
2006-03-01,624255.0
2006-04-01,614367.0
2006-05-01,731805.0
2006-06-01,743041.0
2006-07-01,694424.0
2006-08-01,680754.0
2006-09-01,684502.0
2006-10-01,656166.0
2006-11-01,665900.0
2006-12-01,657106.0
2007-01-01,667726.0
2007-02-01,677261.0
2007-03-01,683973.0
2007-04-01,664176.0
2007-05-01,649284.0
2007-06-01,620645.0
2007-07-01,654060.0
2007-08-01,732755.0
2007-09-01,683952.0
2007-10-01,547886.0
2007-11-01,554601.0
2007-12-01,544497.0
2008-01-01,682907.0
2008-02-01,703189.0
2008-03-01,743669.0
2008-04-01,720801.0
2008-05-01,709138.0
2008-06-01,700207.0
2008-07-01,674266.0
2008-08-01,660911.0
2008-09-01,544513.0
2008-10-01,638673.0
2008-11-01,630955.0
2008-12-01,642872.0
2009-01-01,634526.0
2009-02-01,665810.0
2009-03-01,682875.0
2009-04-01,676236.0
2009-05-01,697492.0
2009-06-01,672275.0
2009-07-01,671664.0
2009-08-01,689190.0
2009-09-01,667217.0
2009-10-01,671018.0
2009-11-01,673456.0
2009-12-01,665641.0
2010-01-01,667356.0
2010-02-01,672823.0
2010-03-01,661806.0
2010-04-01,599286.0
2010-05-01,605023.0
2010-06-01,607421.0
2010-07-01,597141.0
2010-08-01,587753.0
2010-09-01,571364.0
2010-10-01,547443.0
2010-11-01,554495.0
2010-12-01,595165.0
2011-01-01,606210.0
2011-02-01,575471.0
2011-03-01,545043.0
2011-04-01,489591.0
2011-05-01,503365.0
2011-06-01,510193.0
2011-07-01,530201.0
2011-08-01,548093.0
2011-09-01,552009.0
2011-10-01,485132.0
2011-11-01,502315.0
2011-12-01,508754.0
2012-01-01,490101.0
2012-02-01,848136.0
2012-03-01,859568.0
2012-04-01,844235.0
2012-05-01,851199.0
2012-06-01,837384.0
2012-07-01,816775.0
2012-08-01,826250.0
2012-09-01,813187.0
2012-10-01,774587.0
2012-11-01,770866.0
2012-12-01,865369.0
2013-01-01,855057.0
2013-02-01,860707.0
2013-03-01,972224.0
2013-04-01,927657.0
2013-05-01,1895111.0
2013-06-01,1957710.0
