Tarih,TP_TOP_V29
2000-01-01,3156890.0
2000-02-01,3183612.0
2000-03-01,3735128.0
2000-04-01,4035375.0
2000-05-01,4548407.0
2000-06-01,4763232.0
2000-07-01,4879964.0
2000-08-01,5199611.0
2000-09-01,5212302.0
2000-10-01,5249150.0
2000-11-01,5405581.0
2000-12-01,5523627.0
2001-01-01,5532574.0
2001-02-01,5503781.0
2001-03-01,5876423.0
2001-04-01,6310916.0
2001-05-01,8530244.0
2001-06-01,8722431.0
2001-07-01,10171222.0
2001-08-01,10254922.0
2001-09-01,10460577.0
2001-10-01,10514072.0
2001-11-01,10576286.0
2001-12-01,10819685.0
2002-01-01,10662015.0
2002-02-01,10692300.0
2002-03-01,10768199.0
2002-04-01,11051975.0
2002-05-01,11277549.0
2002-06-01,11348022.0
2002-07-01,12699530.0
2002-08-01,12859604.0
2002-09-01,12893248.0
2002-10-01,12646223.0
2002-11-01,12790604.0
2002-12-01,12003197.0
2003-01-01,12034038.0
2003-02-01,12153624.0
2003-03-01,12235624.0
2003-04-01,12261003.0
2003-05-01,12742269.0
2003-06-01,12767880.0
2003-07-01,12734796.0
2003-08-01,12872142.0
2003-09-01,12900184.0
2003-10-01,12900223.0
2003-11-01,12992215.0
2003-12-01,13716606.0
2004-01-01,13528774.0
2004-02-01,13618210.0
2004-03-01,13667019.0
2004-04-01,13684502.0
2004-05-01,14053804.0
2004-06-01,14080343.0
2004-07-01,14411584.0
2004-08-01,14927049.0
2004-09-01,15248155.0
2004-10-01,15311101.0
2004-11-01,14674333.0
2004-12-01,14815809.0
2005-01-01,14822541.0
2005-02-01,14924236.0
2005-03-01,14935081.0
2005-04-01,14944872.0
2005-05-01,15111907.0
2005-06-01,16929880.0
2005-07-01,17259004.0
2005-08-01,17274044.0
2005-09-01,17241547.0
2005-10-01,17693880.0
2005-11-01,18081575.0
2005-12-01,20848566.0
2006-01-01,20853849.0
2006-02-01,20974616.0
2006-03-01,22187175.0
2006-04-01,22249899.0
2006-05-01,22930804.0
2006-06-01,23636100.0
2006-07-01,23637498.0
2006-08-01,24511328.0
2006-09-01,24611617.0
2006-10-01,24113633.0
2006-11-01,24464858.0
2006-12-01,26215865.0
2007-01-01,26421152.0
2007-02-01,27434111.0
2007-03-01,27581201.0
2007-04-01,27826742.0
2007-05-01,28103867.0
2007-06-01,29075628.0
2007-07-01,29422877.0
2007-08-01,29796621.0
2007-09-01,30157951.0
2007-10-01,31177061.0
2007-11-01,31316282.0
2007-12-01,31613362.0
2008-01-01,31806253.0
2008-02-01,31931308.0
2008-03-01,32231724.0
2008-04-01,32640279.0
