Tarih,TP_TOP_V28
2000-01-01,4531018.0
2000-02-01,4912776.0
2000-03-01,4832451.0
2000-04-01,4759661.0
2000-05-01,4517403.0
2000-06-01,5281262.0
2000-07-01,6518721.0
2000-08-01,6630628.0
2000-09-01,6517231.0
2000-10-01,5837917.0
2000-11-01,5063292.0
2000-12-01,6983873.0
2001-01-01,7369540.0
2001-02-01,4131915.0
2001-03-01,4880477.0
2001-04-01,4621363.0
2001-05-01,15363400.0
2001-06-01,16083530.0
2001-07-01,16703872.0
2001-08-01,16598184.0
2001-09-01,15160134.0
2001-10-01,15460962.0
2001-11-01,15278218.0
2001-12-01,16224627.0
2002-01-01,16497938.0
2002-02-01,16011281.0
2002-03-01,15387956.0
2002-04-01,16428708.0
2002-05-01,16729297.0
2002-06-01,10387991.0
2002-07-01,16179840.0
2002-08-01,20207158.0
2002-09-01,20385515.0
2002-10-01,21334153.0
2002-11-01,23428423.0
2002-12-01,25320927.0
2003-01-01,27031957.0
2003-02-01,27708564.0
2003-03-01,27939493.0
2003-04-01,29272196.0
2003-05-01,30117821.0
2003-06-01,29948790.0
2003-07-01,30565533.0
2003-08-01,31815757.0
2003-09-01,32260935.0
2003-10-01,33238297.0
2003-11-01,34091262.0
2003-12-01,35165596.0
2004-01-01,36443186.0
2004-02-01,37540962.0
2004-03-01,38379882.0
2004-04-01,37273340.0
2004-05-01,36425471.0
2004-06-01,35114110.0
2004-07-01,36097257.0
2004-08-01,37396096.0
2004-09-01,39283424.0
2004-10-01,43172042.0
2004-11-01,44023734.0
2004-12-01,45283133.0
2005-01-01,47054756.0
2005-02-01,48192880.0
2005-03-01,47142693.0
2005-04-01,46079257.0
2005-05-01,47028793.0
2005-06-01,46675198.0
2005-07-01,47974841.0
2005-08-01,48649021.0
2005-09-01,47043911.0
2005-10-01,47918300.0
2005-11-01,50991365.0
2005-12-01,54198422.0
2006-01-01,55804433.0
2006-02-01,57284744.0
2006-03-01,56386694.0
2006-04-01,57349024.0
2006-05-01,53138773.0
2006-06-01,52095039.0
2006-07-01,54481471.0
2006-08-01,56340194.0
2006-09-01,57443091.0
2006-10-01,57222443.0
2006-11-01,58029868.0
2006-12-01,58853549.0
2007-01-01,62519310.0
2007-02-01,64022095.0
2007-03-01,63951891.0
2007-04-01,63755067.0
2007-05-01,64196037.0
2007-06-01,66233393.0
2007-07-01,67904545.0
2007-08-01,68800500.0
2007-09-01,71264001.0
2007-10-01,73923415.0
2007-11-01,74424215.0
2007-12-01,75343125.0
2008-01-01,75709610.0
2008-02-01,76593460.0
2008-03-01,75067173.0
2008-04-01,75403549.0
2008-05-01,75728031.0
2008-06-01,76570732.0
2008-07-01,80008091.0
2008-08-01,81995756.0
2008-09-01,82161570.0
2008-10-01,79880494.0
2008-11-01,83412483.0
2008-12-01,84962267.0
2009-01-01,87356677.0
2009-02-01,89005779.0
2009-03-01,91524159.0
2009-04-01,94091377.0
2009-05-01,95546682.0
2009-06-01,97512023.0
2009-07-01,100241852.0
2009-08-01,102722689.0
2009-09-01,104899110.0
2009-10-01,106859309.0
2009-11-01,108107172.0
2009-12-01,110112662.0
2010-01-01,113223764.0
2010-02-01,114936617.0
2010-03-01,116877174.0
2010-04-01,118555520.0
2010-05-01,117974103.0
2010-06-01,119604689.0
2010-07-01,121407221.0
2010-08-01,123357832.0
2010-09-01,126847367.0
2010-10-01,130223876.0
2010-11-01,131600995.0
2010-12-01,134377883.0
2011-01-01,133871157.0
2011-02-01,134988667.0
2011-03-01,135026948.0
2011-04-01,136993273.0
2011-05-01,137533098.0
2011-06-01,138773939.0
2011-07-01,139850734.0
2011-08-01,139955693.0
2011-09-01,141749076.0
2011-10-01,143196425.0
2011-11-01,143375441.0
2011-12-01,144691934.0
2012-01-01,149072813.0
2012-02-01,151993614.0
2012-03-01,153324543.0
2012-04-01,154830010.0
2012-05-01,155100658.0
2012-06-01,159473428.0
2012-07-01,162928753.0
2012-08-01,164774900.0
2012-09-01,167039511.0
2012-10-01,171326859.0
2012-11-01,175238483.0
2012-12-01,180381077.0
2013-01-01,183220236.0
2013-02-01,185230407.0
2013-03-01,185079701.0
2013-04-01,187476856.0
2013-05-01,188340577.0
2013-06-01,185277117.0
2013-07-01,185609035.0
2013-08-01,183962723.0
2013-09-01,189115730.0
2013-10-01,193466459.0
2013-11-01,193647074.0
2013-12-01,194037660.0
2014-01-01,196120883.0
2014-02-01,198687314.0
2014-03-01,202441624.0
2014-04-01,207169277.0
2014-05-01,210860576.0
2014-06-01,214408139.0
2014-07-01,216885348.0
2014-08-01,218107611.0
2014-09-01,218801084.0
2014-10-01,223624780.0
2014-11-01,228936162.0
2014-12-01,231003474.0
2015-01-01,234917793.0
2015-02-01,234550905.0
2015-03-01,235547647.0
2015-04-01,234628708.0
2015-05-01,239707997.0
2015-06-01,244201548.0
2015-07-01,244608470.0
2015-08-01,246737323.0
2015-09-01,248309154.0
2015-10-01,255717877.0
2015-11-01,258727389.0
2015-12-01,261793130.0
2016-01-01,264797801.0
2016-02-01,268432789.0
2016-03-01,273436768.0
2016-04-01,277558478.0
2016-05-01,278409457.0
2016-06-01,284365492.0
2016-07-01,284797380.0
2016-08-01,290169251.0
2016-09-01,292367290.0
2016-10-01,294261622.0
2016-11-01,294662227.0
2016-12-01,300443964.0
2017-01-01,310159986.0
2017-02-01,315853800.0
2017-03-01,318105229.0
2017-04-01,323959667.0
2017-05-01,327544958.0
2017-06-01,330458793.0
2017-07-01,334915077.0
2017-08-01,338959782.0
2017-09-01,343518184.0
2017-10-01,347335216.0
2017-11-01,349138609.0
2017-12-01,356594297.0
2018-01-01,372052193.0
2018-02-01,376398643.0
2018-03-01,376231260.0
2018-04-01,380771364.0
2018-05-01,387149556.0
2018-06-01,394393544.0
2018-07-01,397095280.0
2018-08-01,397283193.0
2018-09-01,406640112.0
2018-10-01,407663853.0
2018-11-01,414936174.0
2018-12-01,418020559.0
2019-01-01,423352188.0
2019-02-01,431769142.0
2019-03-01,432955907.0
2019-04-01,439802588.0
2019-05-01,439339794.0
2019-06-01,449186461.0
2019-07-01,454508193.0
2019-08-01,456271197.0
2019-09-01,465287967.0
2019-10-01,471165173.0
2019-11-01,479796751.0
2019-12-01,488910321.0
2020-01-01,502757247.0
2020-02-01,510534816.0
2020-03-01,500082188.0
2020-04-01,510314256.0
2020-05-01,542929447.0
2020-06-01,553012423.0
2020-07-01,558641829.0
2020-08-01,560075278.0
2020-09-01,561914367.0
2020-10-01,564316718.0
2020-11-01,577867296.0
2020-12-01,589087041.0
2021-01-01,599305663.0
2021-02-01,607427298.0
2021-03-01,602465101.0
2021-04-01,610901089.0
2021-05-01,613583911.0
2021-06-01,624073429.0
2021-07-01,628916902.0
2021-08-01,639221671.0
2021-09-01,645620901.0
2021-10-01,654207934.0
2021-11-01,672145443.0
2021-12-01,698785656.0
2022-01-01,746419560.0
2022-02-01,795726711.0
2022-03-01,905959177.0
2022-04-01,950782608.0
2022-05-01,1004163262.0
2022-06-01,1021117001.0
2022-07-01,1040567908.0
2022-08-01,1132810341.0
2022-09-01,1177280432.0
2022-10-01,1250116590.0
2022-11-01,1308707468.0
2022-12-01,1382156111.0
2023-01-01,1404695713.0
2023-02-01,1479462715.0
2023-03-01,1585938003.0
2023-04-01,1554239445.0
2023-05-01,1596849802.0
2023-06-01,1668426641.0
2023-07-01,1770136058.0
2023-08-01,1829619956.0
2023-09-01,1865451700.0
2023-10-01,1900357396.0
2023-11-01,1926019045.0
2023-12-01,2099034361.0
2024-01-01,2149587089.0
2024-02-01,2202071016.0
2024-03-01,2271982477.0
2024-04-01,2291770008.0
2024-05-01,2351835172.0
2024-06-01,2434293760.0
2024-07-01,2480545699.0
2024-08-01,2502837374.0
2024-09-01,2593821285.0
2024-10-01,2614550130.0
2024-11-01,2699098079.0
2024-12-01,2871672362.0
