Tarih,TP_MB_DVDY29
2000-01-01,1920719.0
2000-02-01,2040298.0
2000-03-01,2402757.0
2000-04-01,2307459.0
2000-05-01,2162330.0
2000-06-01,2309419.0
2000-07-01,1832563.0
2000-08-01,2315555.0
2000-09-01,1969515.0
2000-10-01,2092998.0
2000-11-01,2049461.0
2000-12-01,2300735.0
2001-01-01,2563904.0
2001-02-01,2684421.0
2001-03-01,2409327.0
2001-04-01,1818213.0
2001-05-01,1517877.0
2001-06-01,2499348.0
2001-07-01,2180640.0
2001-08-01,1621540.0
2001-09-01,2117626.0
2001-10-01,2997191.0
2001-11-01,1536180.0
2001-12-01,1840924.0
2002-01-01,1569336.0
2002-02-01,1366626.0
2002-03-01,1729031.0
2002-04-01,1024300.0
2002-05-01,1402444.0
2002-06-01,1830640.0
2002-07-01,1598594.0
2002-08-01,1060331.0
2002-09-01,634200.0
2002-10-01,548945.0
2002-11-01,440373.0
2002-12-01,574322.0
2003-01-01,730322.0
2003-02-01,733114.0
2003-03-01,1106159.0
2003-04-01,1151905.0
2003-05-01,908934.0
2003-06-01,1045760.0
2003-07-01,1070246.0
2003-08-01,1036200.0
2003-09-01,1229530.0
2003-10-01,1157488.0
2003-11-01,960228.0
2003-12-01,1498603.0
2004-01-01,1060100.0
2004-02-01,1056335.0
2004-03-01,1082351.0
2004-04-01,1433516.0
2004-05-01,1606538.0
2004-06-01,1460282.0
2004-07-01,1385775.0
2004-08-01,1314074.0
2004-09-01,1389699.0
2004-10-01,1334623.0
2004-11-01,1020034.0
2004-12-01,996271.0
2005-01-01,1014718.0
2005-02-01,1277395.0
2005-03-01,1501950.0
2005-04-01,1274728.0
2005-05-01,1379745.0
2005-06-01,1495758.0
2005-07-01,1484974.0
2005-08-01,1763689.0
2005-09-01,1782565.0
2005-10-01,1883373.0
2005-11-01,1479468.0
2005-12-01,1065263.0
2006-01-01,1010187.0
2006-02-01,1136527.0
2006-03-01,1168786.0
2006-04-01,1354201.0
2006-05-01,1661887.0
2006-06-01,1656875.0
2006-07-01,1409483.0
2006-08-01,1146816.0
2006-09-01,1208084.0
2006-10-01,1308404.0
2006-11-01,1297067.0
2006-12-01,3097740.0
2007-01-01,1374598.0
2007-02-01,1351767.0
2007-03-01,1268702.0
2007-04-01,1508705.0
2007-05-01,1154405.0
2007-06-01,2092860.0
2007-07-01,2030399.0
2007-08-01,1742544.0
2007-09-01,1362969.0
2007-10-01,1291633.0
2007-11-01,1128747.0
