Tarih,TP_MB_DVDY40
2000-01-01,704340.0
2000-02-01,739258.0
2000-03-01,734745.0
2000-04-01,761881.0
2000-05-01,803559.0
2000-06-01,748187.0
2000-07-01,743840.0
2000-08-01,857174.0
2000-09-01,840770.0
2000-10-01,827514.0
2000-11-01,826111.0
2000-12-01,908140.0
2001-01-01,900969.0
2001-02-01,986208.0
2001-03-01,1077029.0
2001-04-01,1112006.0
2001-05-01,1173468.0
2001-06-01,1438257.0
2001-07-01,1569605.0
2001-08-01,1582747.0
2001-09-01,1720985.0
2001-10-01,1674586.0
2001-11-01,1471950.0
2001-12-01,1445188.0
2002-01-01,1383070.0
2002-02-01,1685282.0
2002-03-01,1584222.0
2002-04-01,1438321.0
2002-05-01,1660197.0
2002-06-01,1839711.0
2002-07-01,1924167.0
2002-08-01,1531068.0
2002-09-01,1647234.0
2002-10-01,1733003.0
2002-11-01,1694112.0
2002-12-01,1811959.0
2003-01-01,1508657.0
2003-02-01,1470122.0
2003-03-01,1632968.0
2003-04-01,1504327.0
2003-05-01,1338382.0
2003-06-01,1222366.0
2003-07-01,1272308.0
2003-08-01,874196.0
2003-09-01,946523.0
2003-10-01,1125420.0
2003-11-01,1122309.0
2003-12-01,1248674.0
2004-01-01,1227223.0
2004-02-01,1242759.0
2004-03-01,1360618.0
2004-04-01,1439816.0
2004-05-01,1371576.0
2004-06-01,1352229.0
2004-07-01,1203102.0
2004-08-01,1639309.0
2004-09-01,1505664.0
2004-10-01,1441237.0
2004-11-01,2215775.0
2004-12-01,2004900.0
2005-01-01,2131084.0
2005-02-01,1752653.0
2005-03-01,1465706.0
2005-04-01,1427598.0
2005-05-01,2332409.0
2005-06-01,3474291.0
2005-07-01,3478541.0
2005-08-01,4162453.0
2005-09-01,4161865.0
2005-10-01,4261206.0
2005-11-01,4234042.0
2005-12-01,4582380.0
2006-01-01,4524687.0
2006-02-01,4441148.0
2006-03-01,4646547.0
2006-04-01,4646199.0
2006-05-01,5275874.0
2006-06-01,6993230.0
2006-07-01,6555506.0
2006-08-01,5722949.0
2006-09-01,6834998.0
2006-10-01,7403071.0
2006-11-01,7496143.0
2006-12-01,8022271.0
2007-01-01,8124747.0
2007-02-01,8788503.0
