Tarih,TP_MB_DVDY22
2000-01-01,4538.0
2000-02-01,4180.0
2000-03-01,3552.0
2000-04-01,4427.0
2000-05-01,4440.0
2000-06-01,5567.0
2000-07-01,3203.0
2000-08-01,3111.0
2000-09-01,3658.0
2000-10-01,4758.0
2000-11-01,12774.0
2000-12-01,5446.0
2001-01-01,4881.0
2001-02-01,8743.0
2001-03-01,7330.0
2001-04-01,7693.0
2001-05-01,7651.0
2001-06-01,5582.0
2001-07-01,6358.0
2001-08-01,4426.0
2001-09-01,4744.0
2001-10-01,187284.0
2001-11-01,171954.0
2001-12-01,3739.0
2002-01-01,3527.0
2002-02-01,3783.0
2002-03-01,3838.0
2002-04-01,3511.0
2002-05-01,3744.0
2002-06-01,4160.0
2002-07-01,4225.0
2002-08-01,4187.0
2002-09-01,4261.0
2002-10-01,4298.0
2002-11-01,399.0
2002-12-01,932.0
2003-01-01,573.0
2003-02-01,765.0
2003-03-01,977.0
2003-04-01,1244.0
2003-05-01,702.0
2003-06-01,820.0
2003-07-01,1522.0
2003-08-01,7374.0
2003-09-01,6931.0
2003-10-01,3357.0
2003-11-01,2293.0
2003-12-01,1122.0
2004-01-01,2756.0
2004-02-01,2090.0
2004-03-01,882.0
2004-04-01,1741.0
2004-05-01,3532.0
2004-06-01,1788.0
2004-07-01,1982.0
2004-08-01,2877.0
2004-09-01,1575.0
2004-10-01,1018.0
2004-11-01,1022.0
2004-12-01,694.0
2005-01-01,1321.0
2005-02-01,659.0
2005-03-01,1783.0
2005-04-01,1128.0
2005-05-01,6514.0
2005-06-01,10877.0
2005-07-01,4656.0
2005-08-01,2717.0
2005-09-01,522.0
2005-10-01,1611.0
2005-11-01,1917.0
2005-12-01,843.0
2006-01-01,3038.0
2006-02-01,1033.0
2006-03-01,2321.0
2006-04-01,1043.0
2006-05-01,8686.0
2006-06-01,15769.0
2006-07-01,15860.0
2006-08-01,8385.0
2006-09-01,138910.0
2006-10-01,134941.0
2006-11-01,176082.0
2006-12-01,102321.0
2007-01-01,102994.0
2007-02-01,81675.0
2007-03-01,106681.0
2007-04-01,116916.0
2007-05-01,168276.0
2007-06-01,250176.0
2007-07-01,420402.0
2007-08-01,416944.0
2007-09-01,382313.0
2007-10-01,435158.0
2007-11-01,717558.0
2007-12-01,361639.0
2008-01-01,608180.0
2008-02-01,365100.0
2008-03-01,361926.0
2008-04-01,342346.0
2008-05-01,346516.0
2008-06-01,359842.0
2008-07-01,334250.0
2008-08-01,390594.0
2008-09-01,256225.0
2008-10-01,163890.0
2008-11-01,189449.0
2008-12-01,187850.0
2009-01-01,107328.0
2009-02-01,108348.0
2009-03-01,122085.0
2009-04-01,136011.0
2009-05-01,124986.0
2009-06-01,139869.0
2009-07-01,221471.0
2009-08-01,265262.0
2009-09-01,355910.0
2009-10-01,379644.0
2009-11-01,377682.0
2009-12-01,280241.0
2010-01-01,484042.0
2010-02-01,478082.0
2010-03-01,609055.0
2010-04-01,613982.0
2010-05-01,847645.0
2010-06-01,996546.0
2010-07-01,916475.0
2010-08-01,1008305.0
2010-09-01,1022442.0
2010-10-01,1183188.0
2010-11-01,1051998.0
2010-12-01,959552.0
2011-01-01,1130118.0
2011-02-01,789215.0
2011-03-01,824167.0
2011-04-01,826632.0
2011-05-01,894044.0
2011-06-01,962016.0
2011-07-01,969055.0
2011-08-01,1683864.0
2011-09-01,1943853.0
2011-10-01,1332797.0
2011-11-01,908783.0
2011-12-01,1005140.0
2012-01-01,940204.0
2012-02-01,630368.0
2012-03-01,725984.0
2012-04-01,815318.0
2012-05-01,1054857.0
2012-06-01,918549.0
2012-07-01,1080422.0
2012-08-01,1121242.0
2012-09-01,1233532.0
2012-10-01,2260676.0
2012-11-01,2453668.0
2012-12-01,1341513.0
2013-01-01,1238045.0
2013-02-01,1560372.0
2013-03-01,1390961.0
2013-04-01,1206075.0
2013-05-01,1377136.0
2013-06-01,1785563.0
2013-07-01,1322487.0
2013-08-01,2635062.0
2013-09-01,1419445.0
2013-10-01,1139105.0
2013-11-01,1104597.0
2013-12-01,1787861.0
2014-01-01,2556286.0
2014-02-01,1962698.0
2014-03-01,1555661.0
2014-04-01,1032698.0
2014-05-01,957443.0
2014-06-01,929275.0
2014-07-01,828398.0
2014-08-01,850064.0
2014-09-01,1312658.0
2014-10-01,708368.0
2014-11-01,760447.0
2014-12-01,1526597.0
2015-01-01,2422970.0
2015-02-01,1377205.0
2015-03-01,1869513.0
2015-04-01,1886947.0
2015-05-01,1917021.0
2015-06-01,1791158.0
2015-07-01,1861117.0
2015-08-01,2214672.0
2015-09-01,2506795.0
2015-10-01,2661088.0
2015-11-01,2208672.0
2015-12-01,2190879.0
2016-01-01,2462077.0
2016-02-01,3277954.0
2016-03-01,2248976.0
2016-04-01,2396276.0
2016-05-01,2249314.0
2016-06-01,3314146.0
2016-07-01,3110497.0
2016-08-01,2821342.0
2016-09-01,3190232.0
2016-10-01,3904079.0
2016-11-01,6411671.0
2016-12-01,5412971.0
2017-01-01,6660483.0
2017-02-01,4787722.0
2017-03-01,2624111.0
2017-04-01,2540005.0
2017-05-01,2671649.0
2017-06-01,2689076.0
2017-07-01,2915408.0
2017-08-01,3133789.0
2017-09-01,2761249.0
2017-10-01,3134509.0
2017-11-01,3343164.0
2017-12-01,3218821.0
2018-01-01,3594025.0
2018-02-01,3412832.0
2018-03-01,3828613.0
2018-04-01,4189830.0
2018-05-01,6779048.0
2018-06-01,7518400.0
2018-07-01,8194529.0
2018-08-01,16768309.0
2018-09-01,14769253.0
2018-10-01,13561950.0
2018-11-01,12835556.0
2018-12-01,11945153.0
2019-01-01,12143451.0
2019-02-01,12684187.0
2019-03-01,13346815.0
2019-04-01,13999186.0
2019-05-01,16377571.0
2019-06-01,13927201.0
2019-07-01,12883239.0
2019-08-01,12976681.0
2019-09-01,12508100.0
2019-10-01,12564259.0
2019-11-01,12101870.0
2019-12-01,11018381.0
2020-01-01,11556919.0
2020-02-01,13197492.0
2020-03-01,19698416.0
2020-04-01,21963728.0
2020-05-01,19455983.0
2020-06-01,17563901.0
2020-07-01,18980498.0
2020-08-01,19504814.0
2020-09-01,22168260.0
2020-10-01,23160321.0
2020-11-01,20020080.0
2020-12-01,18906306.0
2021-01-01,4350861.0
2021-02-01,3161955.0
2021-03-01,4513212.0
2021-04-01,4079144.0
2021-05-01,4254065.0
2021-06-01,4244053.0
2021-07-01,4230208.0
2021-08-01,2725451.0
2021-09-01,3006599.0
2021-10-01,3415044.0
2021-11-01,3217736.0
2021-12-01,4689023.0
2022-01-01,3054815.0
2022-02-01,4304832.0
2022-03-01,2760688.0
2022-04-01,3131496.0
2022-05-01,4828897.0
2022-06-01,9364807.0
2022-07-01,13560063.0
2022-08-01,9662777.0
2022-09-01,7293443.0
2022-10-01,6238543.0
2022-11-01,3932519.0
2022-12-01,3698265.0
2023-01-01,3691983.0
2023-02-01,3769126.0
2023-03-01,3441016.0
2023-04-01,4061027.0
2023-05-01,7496127.0
2023-06-01,8674304.0
2023-07-01,8937321.0
2023-08-01,8356203.0
2023-09-01,9538305.0
2023-10-01,9966582.0
2023-11-01,8462364.0
2023-12-01,8834760.0
2024-01-01,8855933.0
2024-02-01,9137508.0
2024-03-01,9534660.0
2024-04-01,9683846.0
2024-05-01,9973631.0
2024-06-01,9893367.0
2024-07-01,11931688.0
2024-08-01,11994885.0
2024-09-01,11828177.0
2024-10-01,11317729.0
2024-11-01,11246254.0
2024-12-01,11886215.0
2025-01-01,12688655.0
2025-02-01,12328386.0
2025-03-01,15441077.0
2025-04-01,15867792.0
2025-05-01,15881823.0
2025-06-01,16792704.0
2025-07-01,16609370.0
2025-08-01,16489869.0
