Tarih,TP_MB_DVDY03
2000-01-01,372238.0
2000-02-01,355733.0
2000-03-01,348556.0
2000-04-01,340230.0
2000-05-01,389827.0
2000-06-01,391353.0
2000-07-01,427890.0
2000-08-01,443233.0
2000-09-01,392647.0
2000-10-01,436595.0
2000-11-01,422322.0
2000-12-01,401739.0
2001-01-01,388828.0
2001-02-01,677780.0
2001-03-01,574206.0
2001-04-01,654510.0
2001-05-01,592736.0
2001-06-01,713819.0
2001-07-01,857578.0
2001-08-01,826387.0
2001-09-01,841480.0
2001-10-01,962532.0
2001-11-01,887085.0
2001-12-01,1606801.0
2002-01-01,657497.0
2002-02-01,735203.0
2002-03-01,605039.0
2002-04-01,681094.0
2002-05-01,718610.0
2002-06-01,886115.0
2002-07-01,993662.0
2002-08-01,800311.0
2002-09-01,959795.0
2002-10-01,862650.0
2002-11-01,765437.0
2002-12-01,1035978.0
2003-01-01,781848.0
2003-02-01,748568.0
2003-03-01,1121126.0
2003-04-01,1016791.0
2003-05-01,858588.0
2003-06-01,944405.0
2003-07-01,845588.0
2003-08-01,862236.0
2003-09-01,979183.0
2003-10-01,844396.0
2003-11-01,742178.0
2003-12-01,1017053.0
2004-01-01,813234.0
2004-02-01,671936.0
2004-03-01,706024.0
2004-04-01,788428.0
2004-05-01,902888.0
2004-06-01,999494.0
2004-07-01,926436.0
2004-08-01,1126667.0
2004-09-01,986574.0
2004-10-01,864044.0
2004-11-01,970631.0
2004-12-01,1102981.0
2005-01-01,891414.0
2005-02-01,814126.0
2005-03-01,818062.0
2005-04-01,881775.0
2005-05-01,871179.0
2005-06-01,940287.0
2005-07-01,954222.0
2005-08-01,1079054.0
2005-09-01,995138.0
2005-10-01,1004817.0
2005-11-01,920296.0
2005-12-01,1117724.0
2006-01-01,1024852.0
2006-02-01,928377.0
2006-03-01,1007046.0
2006-04-01,934276.0
2006-05-01,1391974.0
2006-06-01,1191384.0
2006-07-01,1275405.0
2006-08-01,1277549.0
2006-09-01,1191947.0
2006-10-01,1109705.0
2006-11-01,1138012.0
2006-12-01,1355607.0
2007-01-01,1043308.0
2007-02-01,1192158.0
2007-03-01,1052844.0
2007-04-01,1108513.0
2007-05-01,1058298.0
2007-06-01,1138646.0
2007-07-01,1491947.0
2007-08-01,1391349.0
2007-09-01,1108311.0
2007-10-01,1122913.0
2007-11-01,1036912.0
2007-12-01,1513819.0
2008-01-01,1208331.0
2008-02-01,1135585.0
2008-03-01,1507661.0
2008-04-01,1178613.0
2008-05-01,1079023.0
2008-06-01,1557311.0
2008-07-01,1374679.0
2008-08-01,1283309.0
2008-09-01,1550079.0
2008-10-01,2040405.0
2008-11-01,1516409.0
2008-12-01,2212474.0
2009-01-01,1412032.0
2009-02-01,1556336.0
2009-03-01,1673769.0
2009-04-01,1408612.0
2009-05-01,1516323.0
2009-06-01,1660591.0
2009-07-01,1687558.0
2009-08-01,1737151.0
2009-09-01,1674486.0
2009-10-01,1706248.0
2009-11-01,1689602.0
2009-12-01,1958640.0
2010-01-01,1325928.0
2010-02-01,1493136.0
2010-03-01,1552437.0
2010-04-01,1486776.0
2010-05-01,1753416.0
2010-06-01,1998899.0
2010-07-01,1896449.0
2010-08-01,1953496.0
2010-09-01,1836438.0
2010-10-01,1617293.0
2010-11-01,1954332.0
2010-12-01,2400048.0
2011-01-01,2006119.0
2011-02-01,1998878.0
2011-03-01,1874613.0
2011-04-01,1978706.0
2011-05-01,2408463.0
2011-06-01,2625383.0
2011-07-01,2659536.0
2011-08-01,2594850.0
2011-09-01,2748849.0
2011-10-01,2490287.0
2011-11-01,2545656.0
2011-12-01,2857513.0
2012-01-01,2105375.0
2012-02-01,2323470.0
2012-03-01,2396565.0
2012-04-01,2678102.0
2012-05-01,2659657.0
2012-06-01,2893836.0
2012-07-01,3005913.0
2012-08-01,3450199.0
2012-09-01,2963216.0
2012-10-01,3150906.0
2012-11-01,2764067.0
2012-12-01,3909460.0
2013-01-01,2703873.0
2013-02-01,2997631.0
2013-03-01,2926978.0
2013-04-01,3442594.0
2013-05-01,3394983.0
2013-06-01,3527245.0
2013-07-01,4055998.0
2013-08-01,4009920.0
2013-09-01,4522528.0
2013-10-01,5008755.0
2013-11-01,4312826.0
2013-12-01,5688124.0
2014-01-01,4298966.0
2014-02-01,4199500.0
2014-03-01,3865566.0
2014-04-01,4149306.0
2014-05-01,4173286.0
2014-06-01,4651118.0
2014-07-01,5167810.0
2014-08-01,4749739.0
2014-09-01,5405612.0
2014-10-01,4493308.0
2014-11-01,4457186.0
2014-12-01,5478622.0
2015-01-01,4449333.0
2015-02-01,4991833.0
2015-03-01,5308668.0
2015-04-01,5117981.0
2015-05-01,5344519.0
2015-06-01,5321326.0
2015-07-01,5731606.0
2015-08-01,6441367.0
2015-09-01,6434127.0
2015-10-01,5219876.0
2015-11-01,5053257.0
2015-12-01,5707480.0
2016-01-01,5150610.0
2016-02-01,5567924.0
2016-03-01,5775760.0
2016-04-01,5810231.0
2016-05-01,6472582.0
2016-06-01,6082183.0
2016-07-01,6539358.0
2016-08-01,7090884.0
2016-09-01,7289510.0
2016-10-01,7024789.0
2016-11-01,7405512.0
2016-12-01,8436400.0
2017-01-01,8051149.0
2017-02-01,7304140.0
2017-03-01,6903542.0
2017-04-01,7590082.0
2017-05-01,9741071.0
2017-06-01,10557191.0
2017-07-01,12402657.0
2017-08-01,12042968.0
2017-09-01,12085798.0
2017-10-01,12794970.0
2017-11-01,11904132.0
2017-12-01,11376771.0
2018-01-01,10006527.0
2018-02-01,10336772.0
2018-03-01,11519645.0
2018-04-01,11154226.0
2018-05-01,11481954.0
2018-06-01,13149470.0
2018-07-01,16564738.0
2018-08-01,42659992.0
2018-09-01,33518358.0
2018-10-01,24269687.0
2018-11-01,18916274.0
2018-12-01,21040156.0
2019-01-01,17951574.0
2019-02-01,18634954.0
2019-03-01,18118120.0
2019-04-01,23910698.0
2019-05-01,21239816.0
2019-06-01,22465626.0
2019-07-01,22835301.0
2019-08-01,22330200.0
2019-09-01,19629840.0
2019-10-01,22960514.0
2019-11-01,20772801.0
2019-12-01,22083307.0
2020-01-01,19622780.0
2020-02-01,19753241.0
2020-03-01,22996703.0
2020-04-01,27888795.0
2020-05-01,26148945.0
2020-06-01,30033260.0
2020-07-01,32438813.0
2020-08-01,34026571.0
2020-09-01,38364530.0
2020-10-01,41032953.0
2020-11-01,37836633.0
2020-12-01,36500478.0
2021-01-01,34512909.0
2021-02-01,32607107.0
2021-03-01,43373356.0
2021-04-01,43999349.0
2021-05-01,46719449.0
2021-06-01,45701446.0
2021-07-01,46159578.0
2021-08-01,44500127.0
2021-09-01,48308261.0
2021-10-01,49476664.0
2021-11-01,65683085.0
2021-12-01,85373222.0
2022-01-01,86784057.0
2022-02-01,84577733.0
2022-03-01,88916363.0
2022-04-01,85279160.0
2022-05-01,97491960.0
2022-06-01,99640531.0
2022-07-01,105859438.0
2022-08-01,108463792.0
2022-09-01,106538769.0
2022-10-01,112638619.0
2022-11-01,106316769.0
2022-12-01,99514902.0
2023-01-01,92455533.0
2023-02-01,94696576.0
2023-03-01,102022860.0
2023-04-01,110928182.0
2023-05-01,119621220.0
2023-06-01,182123040.0
2023-07-01,178531561.0
2023-08-01,160065867.0
2023-09-01,151998314.0
2023-10-01,143693280.0
2023-11-01,138783682.0
2023-12-01,160365130.0
2024-01-01,138785824.0
2024-02-01,141695997.0
2024-03-01,146300713.0
2024-04-01,170597906.0
2024-05-01,164002096.0
2024-06-01,149950450.0
2024-07-01,157715154.0
2024-08-01,150602140.0
2024-09-01,159022735.0
2024-10-01,141696020.0
2024-11-01,152969995.0
2024-12-01,164859498.0
2025-01-01,127510986.0
2025-02-01,139732238.0
2025-03-01,168336014.0
2025-04-01,175868479.0
2025-05-01,170911477.0
2025-06-01,177824115.0
2025-07-01,176486822.0
2025-08-01,170799208.0
