Tarih,TP_MB_DVDY05
2000-01-01,14035.0
2000-02-01,11316.0
2000-03-01,7965.0
2000-04-01,9568.0
2000-05-01,11305.0
2000-06-01,8429.0
2000-07-01,17299.0
2000-08-01,11817.0
2000-09-01,18117.0
2000-10-01,17452.0
2000-11-01,7808.0
2000-12-01,372.0
2001-01-01,8073.0
2001-02-01,5797.0
2001-03-01,4260.0
2001-04-01,5768.0
2001-05-01,5372.0
2001-06-01,17632.0
2001-07-01,22838.0
2001-08-01,23690.0
2001-09-01,20447.0
2001-10-01,12614.0
2001-11-01,34307.0
2001-12-01,42776.0
2002-01-01,8002.0
2002-02-01,13353.0
2002-03-01,8854.0
2002-04-01,9343.0
2002-05-01,21092.0
2002-06-01,16802.0
2002-07-01,23370.0
2002-08-01,12695.0
2002-09-01,6945.0
2002-10-01,12846.0
2002-11-01,22039.0
2002-12-01,1364.0
2003-01-01,7132.0
2003-02-01,9293.0
2003-03-01,3977.0
2003-04-01,24626.0
2003-05-01,9709.0
2003-06-01,10730.0
2003-07-01,16740.0
2003-08-01,14670.0
2003-09-01,27079.0
2003-10-01,16043.0
2003-11-01,19315.0
2003-12-01,20604.0
2004-01-01,6320.0
2004-02-01,9778.0
2004-03-01,7526.0
2004-04-01,5706.0
2004-05-01,13888.0
2004-06-01,18585.0
2004-07-01,11401.0
2004-08-01,11955.0
2004-09-01,33112.0
2004-10-01,6215.0
2004-11-01,11122.0
2004-12-01,7803.0
2005-01-01,6612.0
2005-02-01,8146.0
2005-03-01,8663.0
2005-04-01,6292.0
2005-05-01,14560.0
2005-06-01,7288.0
2005-07-01,15686.0
2005-08-01,5204.0
2005-09-01,3379.0
2005-10-01,2198.0
2005-11-01,6456.0
2005-12-01,18622.0
2006-01-01,9125.0
2006-02-01,1304.0
2006-03-01,7794.0
2006-04-01,8786.0
2006-05-01,23498.0
2006-06-01,11976.0
2006-07-01,11643.0
2006-08-01,12137.0
2006-09-01,16559.0
2006-10-01,2799.0
2006-11-01,2049.0
2006-12-01,441.0
2007-01-01,1671.0
2007-02-01,8244.0
2007-03-01,5889.0
2007-04-01,6877.0
2007-05-01,5423.0
2007-06-01,7272.0
2007-07-01,4145.0
2007-08-01,3685.0
2007-09-01,5479.0
2007-10-01,3296.0
2007-11-01,5342.0
2007-12-01,2928.0
2008-01-01,112552.0
2008-02-01,7029.0
2008-03-01,4093.0
2008-04-01,7419.0
2008-05-01,4287.0
2008-06-01,5834.0
2008-07-01,4311.0
2008-08-01,4297.0
2008-09-01,16409.0
2008-10-01,11119.0
2008-11-01,9269.0
2008-12-01,10813.0
2009-01-01,9285.0
2009-02-01,8363.0
2009-03-01,5358.0
2009-04-01,43272.0
2009-05-01,5664.0
2009-06-01,5141.0
2009-07-01,6756.0
2009-08-01,18400.0
2009-09-01,4295.0
2009-10-01,8863.0
2009-11-01,13993.0
2009-12-01,15232.0
2010-01-01,5102.0
2010-02-01,4737.0
2010-03-01,3803.0
2010-04-01,6081.0
2010-05-01,6750.0
2010-06-01,6546.0
2010-07-01,6559.0
2010-08-01,6881.0
2010-09-01,6352.0
2010-10-01,8881.0
2010-11-01,3872.0
2010-12-01,3889.0
2011-01-01,30439.0
2011-02-01,20762.0
2011-03-01,14168.0
2011-04-01,20954.0
2011-05-01,56339.0
2011-06-01,58310.0
2011-07-01,119918.0
2011-08-01,28617.0
2011-09-01,82288.0
2011-10-01,22459.0
2011-11-01,88913.0
2011-12-01,5598.0
2012-01-01,32654.0
2012-02-01,13644.0
2012-03-01,103257.0
2012-04-01,72738.0
2012-05-01,98762.0
2012-06-01,121997.0
2012-07-01,93234.0
2012-08-01,185358.0
