Tarih,TP_PB_T21
2000-01-01,-36366.0
2000-02-01,-37137.0
2000-03-01,-37156.0
2000-04-01,-38516.0
2000-05-01,-38548.0
2000-06-01,-38578.0
2000-07-01,-19150.0
2000-08-01,-19380.0
2000-09-01,-21342.0
2000-10-01,-23682.0
2000-11-01,-22358.0
2000-12-01,-25111.0
2001-01-01,-27803.0
2001-02-01,-29082.0
2001-03-01,-42103.0
2001-04-01,-46733.0
2001-05-01,-47396.0
2001-06-01,-48472.0
2001-07-01,-56451.0
2001-08-01,-57453.0
2001-09-01,-56825.0
2001-10-01,-56485.0
2001-11-01,-59500.0
2001-12-01,-329297.0
2002-01-01,-329471.0
2002-02-01,-327320.0
2002-03-01,-324225.0
2002-04-01,-324372.0
2002-05-01,-72449.0
2002-06-01,-72612.0
2002-07-01,-76634.0
2002-08-01,-73526.0
2002-09-01,-79860.0
2002-10-01,-77918.0
2002-11-01,-82581.0
2002-12-01,-114353.0
2003-01-01,-116125.0
2003-02-01,-117629.0
2003-03-01,-118135.0
2003-04-01,-122863.0
2003-05-01,-131532.0
2003-06-01,-158581.0
2003-07-01,-160855.0
2003-08-01,-159309.0
2003-09-01,-160230.0
2003-10-01,-159814.0
2003-11-01,-159811.0
2003-12-01,-162730.0
2004-01-01,-160610.0
2004-02-01,-155775.0
2004-03-01,-158616.0
2004-04-01,-152933.0
2004-05-01,-149193.0
2004-06-01,-147693.0
2004-07-01,-145276.0
2004-08-01,-144904.0
2004-09-01,-148783.0
2004-10-01,-149806.0
2004-11-01,-146113.0
2004-12-01,-155606.0
2005-01-01,-155206.0
2005-02-01,-154656.0
2005-03-01,-157166.0
2005-04-01,-153169.0
2005-05-01,-153286.0
2005-06-01,-153691.0
2005-07-01,-153550.0
2005-08-01,-153727.0
2005-09-01,-155276.0
2005-10-01,-154160.0
2005-11-01,-151857.0
2005-12-01,-146438.0
2006-01-01,-146134.0
2006-02-01,-145903.0
2006-03-01,-147213.0
2006-04-01,-144521.0
2006-05-01,-144657.0
2006-06-01,-148735.0
2006-07-01,-147893.0
2006-08-01,-148940.0
2006-09-01,-149524.0
2006-10-01,-147373.0
2006-11-01,-149769.0
2006-12-01,-174969.0
2007-01-01,-174621.0
2007-02-01,-168234.0
2007-03-01,-164277.0
2007-04-01,-164504.0
2007-05-01,-165000.0
2007-06-01,-168014.0
2007-07-01,-167289.0
2007-08-01,-166328.0
2007-09-01,-166827.0
2007-10-01,-166709.0
2007-11-01,-157216.0
2007-12-01,-151173.0
2008-01-01,-150985.0
2008-02-01,-145379.0
2008-03-01,-143053.0
2008-04-01,-143591.0
2008-05-01,-145019.0
2008-06-01,-146608.0
2008-07-01,-148728.0
2008-08-01,-148447.0
2008-09-01,-166000.0
2008-10-01,-164498.0
2008-11-01,-163430.0
2008-12-01,-186317.0
2009-01-01,-187132.0
2009-02-01,-186412.0
2009-03-01,-187621.0
2009-04-01,-190199.0
2009-05-01,-191057.0
2009-06-01,-192126.0
2009-07-01,-193935.0
2009-08-01,-195936.0
2009-09-01,-193552.0
2009-10-01,-194209.0
2009-11-01,-197369.0
2009-12-01,-246893.0
2010-01-01,-258288.0
2010-02-01,-256616.0
2010-03-01,-265876.0
2010-04-01,-263003.0
2010-05-01,-263328.0
2010-06-01,-261717.0
2010-07-01,-263575.0
2010-08-01,-263903.0
2010-09-01,-274261.0
2010-10-01,-270036.0
2010-11-01,-275716.0
2010-12-01,-273597.0
2011-01-01,-270847.0
2011-02-01,-265018.0
2011-03-01,-272892.0
2011-04-01,-266298.0
2011-05-01,-263063.0
2011-06-01,-262539.0
2011-07-01,-261501.0
2011-08-01,-262884.0
2011-09-01,-262503.0
2011-10-01,-265150.0
2011-11-01,-268150.0
2011-12-01,-264397.0
2012-01-01,-267459.0
2012-02-01,-267786.0
2012-03-01,-236311.0
2012-04-01,-236476.0
2012-05-01,-237412.0
2012-06-01,-224670.0
2012-07-01,-220600.0
2012-08-01,-221214.0
2012-09-01,-223027.0
2012-10-01,-223241.0
2012-11-01,-218820.0
2012-12-01,-219852.0
2013-01-01,-221893.0
2013-02-01,-219969.0
2013-03-01,-226896.0
2013-04-01,-227693.0
2013-05-01,-226519.0
2013-06-01,-236599.0
2013-07-01,-237656.0
2013-08-01,-238650.0
2013-09-01,-258419.0
2013-10-01,-260079.0
2013-11-01,-262515.0
2013-12-01,-281866.0
2014-01-01,-288847.0
2014-02-01,-287176.0
2014-03-01,-273578.0
2014-04-01,-281239.0
2014-05-01,-271998.0
2014-06-01,-273626.0
2014-07-01,-275035.0
2014-08-01,-274255.0
2014-09-01,-290689.0
2014-10-01,-295260.0
2014-11-01,-298229.0
2014-12-01,-308615.0
2015-01-01,-311277.0
2015-02-01,-315808.0
2015-03-01,-364177.0
2015-04-01,-367105.0
2015-05-01,-368668.0
2015-06-01,-344609.0
2015-07-01,-347955.0
2015-08-01,-349717.0
2015-09-01,-352534.0
2015-10-01,-355623.0
2015-11-01,-359231.0
2015-12-01,-351575.0
2016-01-01,-353836.0
2016-02-01,-355181.0
2016-03-01,-350493.0
2016-04-01,-347348.0
2016-05-01,-342044.0
2016-06-01,-346158.0
2016-07-01,-346544.0
2016-08-01,-348643.0
2016-09-01,-350911.0
2016-10-01,-354637.0
2016-11-01,-359661.0
2016-12-01,-358787.0
2017-01-01,-361997.0
2017-02-01,-365319.0
2017-03-01,-376952.0
2017-04-01,-377988.0
2017-05-01,-386200.0
2017-06-01,-411810.0
2017-07-01,-422661.0
2017-08-01,-426691.0
2017-09-01,-443151.0
2017-10-01,-445557.0
2017-11-01,-462305.0
2017-12-01,-465799.0
2018-01-01,-635142.0
2018-02-01,-677468.0
2018-03-01,-800884.0
2018-04-01,-829379.0
2018-05-01,-871497.0
2018-06-01,-988031.0
2018-07-01,-1030864.0
2018-08-01,-1219239.0
2018-09-01,-1177759.0
2018-10-01,-1185663.0
2018-11-01,-1236754.0
2018-12-01,-1129963.0
2019-01-01,-1425365.0
2019-02-01,-1453061.0
2019-03-01,-1548536.0
2019-04-01,-1607229.0
2019-05-01,-1609382.0
2019-06-01,-1685493.0
2019-07-01,-1680756.0
2019-08-01,-1734783.0
2019-09-01,-1805839.0
2019-10-01,-1865843.0
2019-11-01,-1896761.0
2019-12-01,-2023091.0
2020-01-01,-2044461.0
2020-02-01,-2104297.0
2020-03-01,-2230876.0
2020-04-01,-2337753.0
2020-05-01,-2471478.0
2020-06-01,-2714057.0
2020-07-01,-2743369.0
2020-08-01,-2843130.0
2020-09-01,-3115842.0
2020-10-01,-3280704.0
2020-11-01,-3329818.0
2020-12-01,-3558522.0
2021-01-01,-3683209.0
2021-02-01,-3650408.0
2021-03-01,-3831567.0
2021-04-01,-3860895.0
2021-05-01,-4027229.0
2021-06-01,-4297699.0
2021-07-01,-4295063.0
2021-08-01,-4316610.0
2021-09-01,-4513105.0
2021-10-01,-4563526.0
2021-11-01,-5297671.0
2021-12-01,-5532921.0
2022-01-01,-5610256.0
2022-02-01,-5818510.0
2022-03-01,-5977977.0
2022-04-01,-5885650.0
2022-05-01,-6458408.0
2022-06-01,-6575552.0
2022-07-01,-7102649.0
2022-08-01,-7264111.0
2022-09-01,-7476278.0
2022-10-01,-7650951.0
2022-11-01,-7976661.0
2022-12-01,-8173284.0
2023-01-01,-8196798.0
2023-02-01,-7955050.0
2023-03-01,-8006432.0
2023-04-01,-8063041.0
2023-05-01,-8155615.0
2023-06-01,-9308963.0
2023-07-01,-9505673.0
2023-08-01,-9669360.0
2023-09-01,-9373111.0
2023-10-01,-9506930.0
2023-11-01,-9942943.0
2023-12-01,-11251246.0
2024-01-01,-11482774.0
2024-02-01,-11775350.0
2024-03-01,-11874017.0
2024-04-01,-11924613.0
2024-05-01,-11855809.0
2024-06-01,-12130596.0
2024-07-01,-12469911.0
2024-08-01,-12586082.0
