Tarih,TP_PB_V12
2000-01-01,194223.0
2000-02-01,202501.0
2000-03-01,204975.0
2000-04-01,197702.0
2000-05-01,198596.0
2000-06-01,199733.0
2000-07-01,203910.0
2000-08-01,212949.0
2000-09-01,210806.0
2000-10-01,202948.0
2000-11-01,202345.0
2000-12-01,200218.0
2001-01-01,210162.0
2001-02-01,286861.0
2001-03-01,289659.0
2001-04-01,305064.0
2001-05-01,253206.0
2001-06-01,302820.0
2001-07-01,322849.0
2001-08-01,351492.0
2001-09-01,384360.0
2001-10-01,413464.0
2001-11-01,327698.0
2001-12-01,318923.0
2002-01-01,291705.0
2002-02-01,301982.0
2002-03-01,394505.0
2002-04-01,391914.0
2002-05-01,402579.0
2002-06-01,457940.0
2002-07-01,541535.0
2002-08-01,544803.0
2002-09-01,569876.0
2002-10-01,573520.0
2002-11-01,568337.0
2002-12-01,590873.0
2003-01-01,618268.0
2003-02-01,618565.0
2003-03-01,661494.0
2003-04-01,624572.0
2003-05-01,636907.0
2003-06-01,610422.0
2003-07-01,617085.0
2003-08-01,587891.0
2003-09-01,694788.0
2003-10-01,712452.0
2003-11-01,795033.0
2003-12-01,773553.0
2004-01-01,754243.0
2004-02-01,758870.0
2004-03-01,757148.0
2004-04-01,821926.0
2004-05-01,936088.0
2004-06-01,951756.0
2004-07-01,1040144.0
2004-08-01,1133963.0
2004-09-01,1169929.0
2004-10-01,1208304.0
2004-11-01,1283536.0
2004-12-01,1277963.0
2005-01-01,1269015.0
2005-02-01,1271379.0
2005-03-01,1381455.0
2005-04-01,1441948.0
2005-05-01,1390236.0
2005-06-01,1361798.0
2005-07-01,1390475.0
2005-08-01,1520301.0
2005-09-01,1532562.0
2005-10-01,1571747.0
2005-11-01,1552124.0
2005-12-01,1612974.0
2006-01-01,1653341.0
2006-02-01,1641439.0
2006-03-01,1875305.0
2006-04-01,1882675.0
2006-05-01,2278725.0
2006-06-01,2265984.0
2006-07-01,2167823.0
2006-08-01,2194676.0
2006-09-01,2278673.0
2006-10-01,2265641.0
2006-11-01,2363082.0
2006-12-01,2297654.0
2007-01-01,2352366.0
2007-02-01,2392910.0
2007-03-01,2428871.0
2007-04-01,2525150.0
2007-05-01,2382426.0
2007-06-01,2355815.0
2007-07-01,2367310.0
2007-08-01,2390472.0
2007-09-01,2330421.0
2007-10-01,2338043.0
2007-11-01,2373470.0
2007-12-01,2455471.0
2008-01-01,2489832.0
2008-02-01,2581402.0
2008-03-01,2937743.0
2008-04-01,2970689.0
2008-05-01,2821068.0
2008-06-01,2954739.0
2008-07-01,3021959.0
2008-08-01,3016459.0
2008-09-01,3116849.0
2008-10-01,3606754.0
2008-11-01,3745342.0
2008-12-01,3931069.0
2009-01-01,4077439.0
2009-02-01,4188005.0
2009-03-01,4258209.0
2009-04-01,4007238.0
2009-05-01,4119135.0
2009-06-01,4170430.0
2009-07-01,4064144.0
2009-08-01,4219058.0
2009-09-01,4207981.0
2009-10-01,4346622.0
2009-11-01,4375408.0
2009-12-01,4507603.0
2010-01-01,4460168.0
2010-02-01,4534743.0
2010-03-01,4419543.0
2010-04-01,4453410.0
2010-05-01,4635811.0
2010-06-01,4689412.0
2010-07-01,4732145.0
2010-08-01,4809242.0
2010-09-01,4737624.0
2010-10-01,4778764.0
2010-11-01,5090636.0
2010-12-01,5362010.0
2011-01-01,5683305.0
2011-02-01,5813055.0
2011-03-01,5735976.0
2011-04-01,5915333.0
2011-05-01,6173142.0
2011-06-01,6441101.0
2011-07-01,6635396.0
2011-08-01,6982582.0
2011-09-01,7111712.0
2011-10-01,6940106.0
2011-11-01,7308475.0
2011-12-01,7595105.0
2012-01-01,7329357.0
2012-02-01,7563186.0
2012-03-01,7583000.0
2012-04-01,7663149.0
2012-05-01,7847732.0
2012-06-01,7850097.0
2012-07-01,7848223.0
2012-08-01,8176503.0
2012-09-01,8071707.0
2012-10-01,8351182.0
2012-11-01,8381879.0
2012-12-01,8460473.0
2013-01-01,8480563.0
2013-02-01,8667178.0
2013-03-01,8538967.0
2013-04-01,8623677.0
2013-05-01,9022882.0
2013-06-01,9251299.0
2013-07-01,9488294.0
2013-08-01,10131070.0
2013-09-01,10071268.0
2013-10-01,10000176.0
2013-11-01,10121262.0
2013-12-01,11047007.0
2014-01-01,11482724.0
2014-02-01,11630333.0
2014-03-01,11286572.0
2014-04-01,11076584.0
2014-05-01,11182464.0
2014-06-01,11478359.0
2014-07-01,11338459.0
2014-08-01,11467607.0
2014-09-01,11731880.0
2014-10-01,11626931.0
2014-11-01,11676086.0
2014-12-01,12324260.0
2015-01-01,12235497.0
2015-02-01,12699395.0
2015-03-01,13244744.0
2015-04-01,13887940.0
2015-05-01,13843069.0
2015-06-01,14407471.0
2015-07-01,14672041.0
2015-08-01,15525667.0
2015-09-01,15927108.0
2015-10-01,15241952.0
2015-11-01,14864367.0
2015-12-01,15550285.0
2016-01-01,15669636.0
2016-02-01,15797262.0
2016-03-01,15305475.0
2016-04-01,15238772.0
2016-05-01,15933079.0
2016-06-01,16601610.0
2016-07-01,17125908.0
2016-08-01,17122536.0
2016-09-01,17616523.0
2016-10-01,17876674.0
2016-11-01,19342722.0
2016-12-01,20295273.0
2017-01-01,21820388.0
2017-02-01,20657018.0
2017-03-01,20831715.0
2017-04-01,20542822.0
2017-05-01,20610972.0
2017-06-01,21074207.0
2017-07-01,21299309.0
2017-08-01,20880589.0
2017-09-01,21586700.0
2017-10-01,22641461.0
2017-11-01,24216566.0
2017-12-01,23799072.0
2018-01-01,24174926.0
2018-02-01,24046205.0
2018-03-01,25344881.0
2018-04-01,25661242.0
2018-05-01,27408453.0
2018-06-01,29053768.0
2018-07-01,33079277.0
2018-08-01,43436223.0
2018-09-01,38846392.0
2018-10-01,35649356.0
2018-11-01,33276124.0
2018-12-01,34036329.0
2019-01-01,34586815.0
2019-02-01,35082545.0
2019-03-01,36192631.0
2019-04-01,38545198.0
2019-05-01,38143344.0
2019-06-01,37453753.0
2019-07-01,35497972.0
2019-08-01,36997247.0
2019-09-01,35684077.0
2019-10-01,36643849.0
2019-11-01,36392143.0
2019-12-01,37990305.0
2020-01-01,37668480.0
2020-02-01,38838502.0
2020-03-01,41006187.0
2020-04-01,42716318.0
2020-05-01,41818004.0
2020-06-01,42288943.0
2020-07-01,43588473.0
2020-08-01,45849454.0
2020-09-01,48394319.0
2020-10-01,50994403.0
2020-11-01,48378501.0
2020-12-01,47442051.0
2021-01-01,46626452.0
2021-02-01,46359171.0
2021-03-01,51432058.0
2021-04-01,51032847.0
2021-05-01,53118649.0
2021-06-01,53308246.0
2021-07-01,51614854.0
2021-08-01,50453016.0
2021-09-01,54090865.0
2021-10-01,57139566.0
2021-11-01,75272872.0
2021-12-01,77421576.0
2022-01-01,79450011.0
2022-02-01,82270665.0
2022-03-01,86447076.0
2022-04-01,84713913.0
2022-05-01,93427046.0
2022-06-01,94902629.0
2022-07-01,101896165.0
2022-08-01,102179720.0
2022-09-01,103621014.0
2022-10-01,104721477.0
2022-11-01,107604044.0
2022-12-01,109874784.0
2023-01-01,111117580.0
2023-02-01,111047220.0
2023-03-01,113628167.0
2023-04-01,114413430.0
2023-05-01,119088599.0
2023-06-01,148568474.0
2023-07-01,145373716.0
2023-08-01,143963329.0
2023-09-01,144487940.0
2023-10-01,147397323.0
2023-11-01,153491660.0
2023-12-01,156409886.0
2024-01-01,160025963.0
2024-02-01,163740741.0
2024-03-01,167527513.0
2024-04-01,163588458.0
2024-05-01,162778021.0
2024-06-01,163173774.0
2024-07-01,166069514.0
2024-08-01,172703616.0
2024-09-01,175260618.0
2024-10-01,171182161.0
2024-11-01,171209509.0
2024-12-01,177758975.0
2025-01-01,179994933.0
2025-02-01,187086705.0
2025-03-01,202024288.0
2025-04-01,206877048.0
2025-05-01,213416888.0
2025-06-01,217079203.0
2025-07-01,218789995.0
2025-08-01,223425682.0
