Tarih,TP_PB_T12
2000-01-01,83467.0
2000-02-01,169041.0
2000-03-01,70254.0
2000-04-01,52271.0
2000-05-01,90678.0
2000-06-01,70256.0
2000-07-01,87786.0
2000-08-01,31820.0
2000-09-01,14347.0
2000-10-01,59383.0
2000-11-01,47910.0
2000-12-01,79281.0
2001-01-01,88217.0
2001-02-01,239902.0
2001-03-01,213425.0
2001-04-01,252243.0
2001-05-01,175781.0
2001-06-01,165446.0
2001-07-01,367396.0
2001-08-01,356768.0
2001-09-01,526297.0
2001-10-01,375018.0
2001-11-01,504023.0
2001-12-01,402198.0
2002-01-01,498674.0
2002-02-01,625650.0
2002-03-01,582299.0
2002-04-01,570399.0
2002-05-01,616730.0
2002-06-01,712190.0
2002-07-01,605208.0
2002-08-01,578912.0
2002-09-01,643724.0
2002-10-01,622019.0
2002-11-01,104526.0
2002-12-01,332499.0
2003-01-01,106251.0
2003-02-01,131347.0
2003-03-01,257796.0
2003-04-01,123863.0
2003-05-01,248152.0
2003-06-01,165240.0
2003-07-01,108923.0
2003-08-01,275908.0
2003-09-01,196230.0
2003-10-01,253754.0
2003-11-01,285899.0
2003-12-01,382049.0
2004-01-01,283325.0
2004-02-01,147381.0
2004-03-01,180591.0
2004-04-01,111187.0
2004-05-01,210782.0
2004-06-01,254341.0
2004-07-01,162716.0
2004-08-01,266997.0
2004-09-01,330176.0
2004-10-01,199571.0
2004-11-01,382139.0
2004-12-01,429680.0
2005-01-01,709205.0
2005-02-01,399868.0
2005-03-01,393987.0
2005-04-01,491768.0
2005-05-01,653561.0
2005-06-01,380470.0
2005-07-01,362718.0
2005-08-01,300120.0
2005-09-01,452378.0
2005-10-01,295156.0
2005-11-01,246513.0
2005-12-01,399223.0
2006-01-01,235272.0
2006-02-01,267085.0
2006-03-01,150408.0
2006-04-01,272131.0
2006-05-01,265441.0
2006-06-01,464348.0
2006-07-01,202273.0
2006-08-01,448959.0
2006-09-01,498090.0
2006-10-01,477692.0
2006-11-01,778823.0
2006-12-01,574651.0
2007-01-01,805284.0
2007-02-01,463431.0
2007-03-01,1071298.0
2007-04-01,568961.0
2007-05-01,787512.0
2007-06-01,508738.0
2007-07-01,582389.0
2007-08-01,674575.0
2007-09-01,373379.0
2007-10-01,315111.0
2007-11-01,205047.0
2007-12-01,224039.0
2008-01-01,233810.0
2008-02-01,185545.0
2008-03-01,286844.0
2008-04-01,209569.0
2008-05-01,235361.0
2008-06-01,335259.0
2008-07-01,357622.0
2008-08-01,409990.0
2008-09-01,471732.0
2008-10-01,516635.0
2008-11-01,505733.0
2008-12-01,519230.0
2009-01-01,394257.0
2009-02-01,809402.0
2009-03-01,481422.0
2009-04-01,656083.0
2009-05-01,358430.0
2009-06-01,245331.0
2009-07-01,570036.0
2009-08-01,296120.0
2009-09-01,272786.0
2009-10-01,671006.0
2009-11-01,604861.0
2009-12-01,841593.0
2010-01-01,993535.0
2010-02-01,954571.0
2010-03-01,820561.0
2010-04-01,411875.0
2010-05-01,400401.0
2010-06-01,179875.0
2010-07-01,243989.0
2010-08-01,455425.0
2010-09-01,262358.0
2010-10-01,187227.0
2010-11-01,398704.0
2010-12-01,560690.0
2011-01-01,421505.0
2011-02-01,268393.0
2011-03-01,458037.0
2011-04-01,287109.0
2011-05-01,364932.0
2011-06-01,232390.0
2011-07-01,295147.0
2011-08-01,270177.0
2011-09-01,237558.0
2011-10-01,320853.0
2011-11-01,625308.0
2011-12-01,205798.0
2012-01-01,399341.0
2012-02-01,228554.0
2012-03-01,379974.0
2012-04-01,703158.0
2012-05-01,920887.0
2012-06-01,528316.0
2012-07-01,281583.0
2012-08-01,153766.0
2012-09-01,284681.0
2012-10-01,124841.0
2012-11-01,294611.0
2012-12-01,611697.0
2013-01-01,137047.0
2013-02-01,364154.0
2013-03-01,193774.0
2013-04-01,130982.0
2013-05-01,147573.0
2013-06-01,153672.0
2013-07-01,113972.0
2013-08-01,123501.0
2013-09-01,191367.0
2013-10-01,173852.0
2013-11-01,212620.0
2013-12-01,291355.0
2014-01-01,268244.0
2014-02-01,170120.0
