Tarih,TP_PBD_T02
2000-01-01,144.0
2000-02-01,152.0
2000-03-01,135.0
2000-04-01,133.0
2000-05-01,191.0
2000-06-01,212.0
2000-07-01,260.0
2000-08-01,245.0
2000-09-01,176.0
2000-10-01,152.0
2000-11-01,251.0
2000-12-01,486.0
2001-01-01,188.0
2001-02-01,268.0
2001-03-01,213.0
2001-04-01,207.0
2001-05-01,219.0
2001-06-01,211.0
2001-07-01,169.0
2001-08-01,149.0
2001-09-01,247.0
2001-10-01,149.0
2001-11-01,162.0
2001-12-01,193.0
2002-01-01,177.0
2002-02-01,251.0
2002-03-01,173.0
2002-04-01,106.0
2002-05-01,138.0
2002-06-01,240.0
2002-07-01,296.0
2002-08-01,181.0
2002-09-01,273.0
2002-10-01,148.0
2002-11-01,135.0
2002-12-01,307.0
2003-01-01,229.0
2003-02-01,220.0
2003-03-01,253.0
2003-04-01,288.0
2003-05-01,291.0
2003-06-01,314.0
2003-07-01,277.0
2003-08-01,285.0
2003-09-01,324.0
2003-10-01,263.0
2003-11-01,195.0
2003-12-01,331.0
2004-01-01,279.0
2004-02-01,366.0
2004-03-01,554.0
2004-04-01,273.0
2004-05-01,497.0
2004-06-01,589.0
2004-07-01,311.0
2004-08-01,520.0
2004-09-01,317.0
2004-10-01,325.0
2004-11-01,571.0
2004-12-01,458.0
2005-01-01,315.0
2005-02-01,495.0
2005-03-01,370.0
2005-04-01,462.0
2005-05-01,559.0
2005-06-01,502.0
2005-07-01,389.0
2005-08-01,397.0
2005-09-01,505.0
2005-10-01,461.0
2005-11-01,482.0
2005-12-01,421.0
2006-01-01,486.0
2006-02-01,551.0
2006-03-01,411.0
2006-04-01,509.0
2006-05-01,505.0
2006-06-01,557.0
2006-07-01,424.0
2006-08-01,403.0
2006-09-01,487.0
2006-10-01,468.0
2006-11-01,637.0
2006-12-01,547.0
2007-01-01,447.0
2007-02-01,497.0
2007-03-01,486.0
2007-04-01,482.0
2007-05-01,606.0
2007-06-01,692.0
2007-07-01,539.0
2007-08-01,632.0
