Tarih,TP_PBD_V07
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,11938.0
2002-03-01,9429.0
2002-04-01,19420.0
2002-05-01,14620.0
2002-06-01,14321.0
2002-07-01,17320.0
2002-08-01,1112.0
2002-09-01,22764.0
2002-10-01,33882.0
2002-11-01,30871.0
2002-12-01,36362.0
2003-01-01,20924.0
2003-02-01,19119.0
2003-03-01,16439.0
2003-04-01,13718.0
2003-05-01,14025.0
2003-06-01,15091.0
2003-07-01,28200.0
2003-08-01,49083.0
2003-09-01,16193.0
2003-10-01,18506.0
2003-11-01,26018.0
2003-12-01,19682.0
2004-01-01,9402.0
2004-02-01,12439.0
2004-03-01,8150.0
2004-04-01,16787.0
2004-05-01,16484.0
2004-06-01,35526.0
2004-07-01,25062.0
2004-08-01,73981.0
2004-09-01,430338.0
2004-10-01,142089.0
2004-11-01,164041.0
2004-12-01,173824.0
2005-01-01,165779.0
2005-02-01,137157.0
2005-03-01,121957.0
2005-04-01,105300.0
2005-05-01,172515.0
2005-06-01,150979.0
2005-07-01,194408.0
2005-08-01,222907.0
2005-09-01,265354.0
2005-10-01,240702.0
2005-11-01,175235.0
2005-12-01,26887.0
2006-01-01,25429.0
2006-02-01,21725.0
2006-03-01,21307.0
2006-04-01,39809.0
2006-05-01,58891.0
2006-06-01,73057.0
2006-07-01,67943.0
2006-08-01,62094.0
2006-09-01,81567.0
2006-10-01,65831.0
2006-11-01,67630.0
2006-12-01,44729.0
2007-01-01,47428.0
2007-02-01,58378.0
2007-03-01,77062.0
2007-04-01,130590.0
2007-05-01,200796.0
2007-06-01,151932.0
2007-07-01,160532.0
2007-08-01,295865.0
2007-09-01,149072.0
2007-10-01,176449.0
2007-11-01,238687.0
2007-12-01,268964.0
2008-01-01,140701.0
2008-02-01,84459.0
2008-03-01,163984.0
2008-04-01,140765.0
2008-05-01,91641.0
2008-06-01,79916.0
2008-07-01,66714.0
2008-08-01,111553.0
2008-09-01,75297.0
2008-10-01,78519.0
2008-11-01,76528.0
2008-12-01,59886.0
2009-01-01,62796.0
2009-02-01,90008.0
2009-03-01,109061.0
2009-04-01,106309.0
2009-05-01,110065.0
2009-06-01,145992.0
2009-07-01,130803.0
2009-08-01,133077.0
2009-09-01,155424.0
2009-10-01,184279.0
2009-11-01,194864.0
2009-12-01,183104.0
2010-01-01,202139.0
2010-02-01,307110.0
2010-03-01,238541.0
2010-04-01,234255.0
2010-05-01,265131.0
2010-06-01,216299.0
2010-07-01,247570.0
2010-08-01,235960.0
2010-09-01,250756.0
2010-10-01,162768.0
2010-11-01,173622.0
2010-12-01,140911.0
2011-01-01,185324.0
2011-02-01,211676.0
2011-03-01,205068.0
2011-04-01,206575.0
2011-05-01,239539.0
2011-06-01,176490.0
2011-07-01,211737.0
2011-08-01,172807.0
2011-09-01,169206.0
2011-10-01,253095.0
2011-11-01,204262.0
2011-12-01,249431.0
2012-01-01,216061.0
2012-02-01,165450.0
2012-03-01,173185.0
2012-04-01,117419.0
2012-05-01,141756.0
2012-06-01,200627.0
2012-07-01,268663.0
2012-08-01,377425.0
2012-09-01,246087.0
2012-10-01,306925.0
2012-11-01,317853.0
2012-12-01,524682.0
2013-01-01,544297.0
2013-02-01,540994.0
2013-03-01,264219.0
2013-04-01,297840.0
2013-05-01,315496.0
2013-06-01,231241.0
2013-07-01,183428.0
2013-08-01,172713.0
2013-09-01,181205.0
2013-10-01,135480.0
2013-11-01,153153.0
2013-12-01,108161.0
2014-01-01,181411.0
2014-02-01,144399.0
2014-03-01,115039.0
2014-04-01,142923.0
2014-05-01,163794.0
2014-06-01,137089.0
2014-07-01,180473.0
2014-08-01,197602.0
2014-09-01,270276.0
2014-10-01,530023.0
2014-11-01,325778.0
2014-12-01,223124.0
2015-01-01,284879.0
2015-02-01,266852.0
2015-03-01,278897.0
2015-04-01,241936.0
2015-05-01,580303.0
2015-06-01,335123.0
2015-07-01,469771.0
2015-08-01,255381.0
2015-09-01,270090.0
2015-10-01,320098.0
2015-11-01,334649.0
2015-12-01,371364.0
2016-01-01,243516.0
2016-02-01,473337.0
2016-03-01,314372.0
2016-04-01,508647.0
2016-05-01,563895.0
2016-06-01,727934.0
2016-07-01,529781.0
2016-08-01,514792.0
2016-09-01,404741.0
2016-10-01,474901.0
2016-11-01,519217.0
2016-12-01,392073.0
2017-01-01,775369.0
2017-02-01,606943.0
2017-03-01,628753.0
2017-04-01,541054.0
2017-05-01,838049.0
2017-06-01,947920.0
2017-07-01,918272.0
2017-08-01,1132456.0
2017-09-01,981993.0
2017-10-01,945967.0
2017-11-01,952447.0
2017-12-01,728366.0
2018-01-01,841007.0
2018-02-01,1061201.0
