Tarih,TP_PBD_T43
2000-01-01,1813.0
2000-02-01,3125.0
2000-03-01,3734.0
2000-04-01,2690.0
2000-05-01,3769.0
2000-06-01,4622.0
2000-07-01,4094.0
2000-08-01,5350.0
2000-09-01,5197.0
2000-10-01,5053.0
2000-11-01,5067.0
2000-12-01,5437.0
2001-01-01,3637.0
2001-02-01,3303.0
2001-03-01,3440.0
2001-04-01,3901.0
2001-05-01,3148.0
2001-06-01,3644.0
2001-07-01,3830.0
2001-08-01,3665.0
2001-09-01,3987.0
2001-10-01,3333.0
2001-11-01,3705.0
2001-12-01,5109.0
2002-01-01,3445.0
2002-02-01,3641.0
2002-03-01,3587.0
2002-04-01,3766.0
2002-05-01,3907.0
2002-06-01,3308.0
2002-07-01,32811.0
2002-08-01,10258.0
2002-09-01,11389.0
2002-10-01,11412.0
2002-11-01,11547.0
2002-12-01,11456.0
2003-01-01,11597.0
2003-02-01,12802.0
2003-03-01,12029.0
2003-04-01,12625.0
2003-05-01,12189.0
2003-06-01,12119.0
2003-07-01,11764.0
2003-08-01,12031.0
2003-09-01,13082.0
2003-10-01,11188.0
2003-11-01,11682.0
2003-12-01,8552.0
2004-01-01,8470.0
2004-02-01,8069.0
2004-03-01,8664.0
2004-04-01,8734.0
2004-05-01,11923.0
2004-06-01,15806.0
2004-07-01,10094.0
2004-08-01,18985.0
2004-09-01,19417.0
2004-10-01,19921.0
2004-11-01,19539.0
2004-12-01,22713.0
2005-01-01,20294.0
2005-02-01,18664.0
2005-03-01,18260.0
2005-04-01,18210.0
2005-05-01,18396.0
2005-06-01,18539.0
2005-07-01,19352.0
2005-08-01,19312.0
2005-09-01,19738.0
2005-10-01,20318.0
2005-11-01,21147.0
2005-12-01,22973.0
2006-01-01,24500.0
2006-02-01,23767.0
2006-03-01,22639.0
2006-04-01,22627.0
2006-05-01,22130.0
2006-06-01,21060.0
2006-07-01,23429.0
2006-08-01,21950.0
2006-09-01,23757.0
2006-10-01,21519.0
2006-11-01,21491.0
2006-12-01,23041.0
2007-01-01,22502.0
2007-02-01,24946.0
2007-03-01,23367.0
2007-04-01,22150.0
2007-05-01,22407.0
2007-06-01,30961.0
2007-07-01,24592.0
2007-08-01,24665.0
2007-09-01,30477.0
2007-10-01,28882.0
2007-11-01,25196.0
2007-12-01,28336.0
2008-01-01,24075.0
2008-02-01,23945.0
2008-03-01,28344.0
2008-04-01,29727.0
2008-05-01,27658.0
2008-06-01,26375.0
2008-07-01,26895.0
2008-08-01,27430.0
2008-09-01,26314.0
2008-10-01,25577.0
2008-11-01,25142.0
2008-12-01,27778.0
2009-01-01,25623.0
2009-02-01,26483.0
2009-03-01,27116.0
2009-04-01,82543.0
2009-05-01,56325.0
2009-06-01,58610.0
2009-07-01,62365.0
2009-08-01,57746.0
2009-09-01,72895.0
2009-10-01,77574.0
2009-11-01,66670.0
2009-12-01,72444.0
2010-01-01,71375.0
2010-02-01,71039.0
2010-03-01,95979.0
2010-04-01,89379.0
2010-05-01,84314.0
2010-06-01,95454.0
2010-07-01,93845.0
2010-08-01,96495.0
2010-09-01,97844.0
2010-10-01,96265.0
2010-11-01,98620.0
2010-12-01,119791.0
2011-01-01,236354.0
2011-02-01,325188.0
2011-03-01,128539.0
2011-04-01,103683.0
2011-05-01,104071.0
2011-06-01,108767.0
2011-07-01,112721.0
2011-08-01,118119.0
2011-09-01,126192.0
2011-10-01,541024.0
2011-11-01,201547.0
2011-12-01,120753.0
2012-01-01,101014.0
2012-02-01,106492.0
2012-03-01,117787.0
2012-04-01,109756.0
2012-05-01,111948.0
2012-06-01,117788.0
2012-07-01,111242.0
2012-08-01,113568.0
2012-09-01,116655.0
2012-10-01,120112.0
2012-11-01,123207.0
2012-12-01,128199.0
2013-01-01,125908.0
2013-02-01,133782.0
2013-03-01,138020.0
2013-04-01,141541.0
2013-05-01,160379.0
2013-06-01,154670.0
2013-07-01,141466.0
2013-08-01,149052.0
2013-09-01,187630.0
2013-10-01,192337.0
2013-11-01,147229.0
2013-12-01,149544.0
2014-01-01,127676.0
2014-02-01,80779.0
2014-03-01,36752.0
2014-04-01,97375.0
2014-05-01,86612.0
2014-06-01,84509.0
2014-07-01,82785.0
2014-08-01,105089.0
2014-09-01,98978.0
2014-10-01,84675.0
2014-11-01,408565.0
2014-12-01,124526.0
2015-01-01,329397.0
2015-02-01,104765.0
2015-03-01,122333.0
2015-04-01,82446.0
2015-05-01,66136.0
2015-06-01,64899.0
2015-07-01,74810.0
2015-08-01,60991.0
2015-09-01,61873.0
2015-10-01,61767.0
2015-11-01,60244.0
2015-12-01,67416.0
2016-01-01,62506.0
2016-02-01,62930.0
2016-03-01,64567.0
2016-04-01,66110.0
2016-05-01,64583.0
2016-06-01,66021.0
2016-07-01,63869.0
2016-08-01,60897.0
2016-09-01,63929.0
2016-10-01,62584.0
2016-11-01,62601.0
2016-12-01,73341.0
2017-01-01,66729.0
2017-02-01,67585.0
2017-03-01,66186.0
2017-04-01,66490.0
2017-05-01,94628.0
2017-06-01,98123.0
2017-07-01,118534.0
2017-08-01,126457.0
2017-09-01,130353.0
2017-10-01,139630.0
2017-11-01,145036.0
2017-12-01,185565.0
2018-01-01,190448.0
2018-02-01,169008.0
2018-03-01,143894.0
2018-04-01,144916.0
2018-05-01,142620.0
2018-06-01,144281.0
2018-07-01,152906.0
2018-08-01,166470.0
2018-09-01,184962.0
2018-10-01,179818.0
2018-11-01,413473.0
2018-12-01,415204.0
2019-01-01,467728.0
2019-02-01,564776.0
2019-03-01,415086.0
2019-04-01,464292.0
2019-05-01,486910.0
2019-06-01,535775.0
2019-07-01,554871.0
2019-08-01,504651.0
2019-09-01,512452.0
2019-10-01,436846.0
2019-11-01,504421.0
2019-12-01,531872.0
2020-01-01,540409.0
2020-02-01,511055.0
2020-03-01,608534.0
2020-04-01,595412.0
2020-05-01,606864.0
2020-06-01,517674.0
2020-07-01,582595.0
2020-08-01,604991.0
2020-09-01,621669.0
2020-10-01,653675.0
2020-11-01,627743.0
2020-12-01,694757.0
2021-01-01,733043.0
2021-02-01,549987.0
2021-03-01,830795.0
2021-04-01,588664.0
2021-05-01,605363.0
2021-06-01,620936.0
2021-07-01,532524.0
2021-08-01,511281.0
2021-09-01,685774.0
2021-10-01,597679.0
2021-11-01,621288.0
2021-12-01,861988.0
2022-01-01,769744.0
2022-02-01,698192.0
2022-03-01,893307.0
2022-04-01,657393.0
2022-05-01,835866.0
2022-06-01,928052.0
2022-07-01,929771.0
2022-08-01,919753.0
2022-09-01,981316.0
2022-10-01,1787274.0
2022-11-01,1768906.0
2022-12-01,2812221.0
2023-01-01,2967896.0
2023-02-01,3327813.0
2023-03-01,3293309.0
2023-04-01,3223746.0
2023-05-01,3391812.0
2023-06-01,4627827.0
2023-07-01,5629109.0
2023-08-01,7317789.0
2023-09-01,5321115.0
2023-10-01,5590169.0
2023-11-01,7014773.0
2023-12-01,7382012.0
