Tarih,TP_PBD_V262
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,1803.0
2010-02-01,2100.0
2010-03-01,1040.0
2010-04-01,1706.0
2010-05-01,977.0
2010-06-01,2066.0
2010-07-01,3011.0
2010-08-01,2477.0
2010-09-01,3229.0
2010-10-01,3397.0
2010-11-01,2169.0
2010-12-01,1316.0
2011-01-01,1109.0
2011-02-01,1134.0
2011-03-01,1976.0
2011-04-01,2445.0
2011-05-01,1954.0
2011-06-01,2401.0
2011-07-01,1963.0
2011-08-01,3940.0
2011-09-01,3768.0
2011-10-01,2130.0
2011-11-01,3213.0
2011-12-01,6416.0
2012-01-01,5397.0
2012-02-01,5114.0
2012-03-01,6154.0
2012-04-01,4414.0
2012-05-01,6699.0
2012-06-01,4760.0
2012-07-01,6404.0
2012-08-01,4438.0
2012-09-01,3581.0
2012-10-01,3035.0
2012-11-01,2651.0
2012-12-01,2049.0
2013-01-01,2507.0
2013-02-01,2884.0
2013-03-01,4380.0
2013-04-01,2593.0
2013-05-01,6002.0
2013-06-01,9799.0
2013-07-01,10245.0
2013-08-01,21335.0
2013-09-01,19324.0
2013-10-01,14490.0
2013-11-01,14489.0
2013-12-01,23842.0
2014-01-01,34593.0
2014-02-01,30956.0
2014-03-01,30064.0
2014-04-01,37013.0
2014-05-01,23095.0
2014-06-01,20535.0
2014-07-01,19031.0
2014-08-01,21446.0
2014-09-01,26311.0
2014-10-01,24488.0
2014-11-01,24984.0
2014-12-01,26526.0
2015-01-01,34149.0
2015-02-01,39199.0
