Tarih,TP_PB_BLV17
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,311403.0
2006-01-01,314943.0
2006-02-01,319317.0
2006-03-01,326817.0
2006-04-01,327951.0
2006-05-01,343911.0
2006-06-01,357632.0
2006-07-01,361624.0
2006-08-01,359106.0
2006-09-01,370235.0
2006-10-01,378990.0
2006-11-01,387894.0
2006-12-01,368525.0
2007-01-01,390984.0
2007-02-01,421390.0
2007-03-01,441296.0
2007-04-01,458201.0
2007-05-01,465700.0
2007-06-01,505066.0
2007-07-01,512104.0
2007-08-01,529330.0
2007-09-01,499385.0
2007-10-01,533583.0
2007-11-01,542550.0
2007-12-01,518634.0
2008-01-01,534401.0
2008-02-01,562016.0
2008-03-01,604286.0
2008-04-01,635138.0
2008-05-01,651398.0
2008-06-01,654179.0
2008-07-01,702818.0
2008-08-01,753638.0
2008-09-01,761781.0
2008-10-01,820433.0
2008-11-01,862673.0
2008-12-01,837253.0
2009-01-01,975250.0
2009-02-01,1125569.0
2009-03-01,1117957.0
2009-04-01,1152275.0
2009-05-01,1193867.0
2009-06-01,1195027.0
2009-07-01,1201796.0
2009-08-01,1209320.0
2009-09-01,1190639.0
2009-10-01,1200078.0
2009-11-01,1185572.0
2009-12-01,1182202.0
2010-01-01,1192818.0
2010-02-01,1217815.0
2010-03-01,1229371.0
2010-04-01,1240806.0
2010-05-01,1247989.0
2010-06-01,1233178.0
2010-07-01,1227003.0
2010-08-01,1225789.0
2010-09-01,1211976.0
2010-10-01,1163923.0
2010-11-01,1161331.0
2010-12-01,1116188.0
2011-01-01,1154248.0
2011-02-01,1158607.0
2011-03-01,1094939.0
2011-04-01,1123876.0
2011-05-01,1123796.0
2011-06-01,1091470.0
2011-07-01,1123890.0
2011-08-01,1106506.0
2011-09-01,1143681.0
2011-10-01,1152951.0
2011-11-01,1177858.0
2011-12-01,1242591.0
2012-01-01,1274094.0
2012-02-01,1314432.0
2012-03-01,1325781.0
2012-04-01,1382824.0
2012-05-01,1408114.0
2012-06-01,1370249.0
2012-07-01,1410143.0
2012-08-01,1477208.0
2012-09-01,1491931.0
2012-10-01,1590746.0
2012-11-01,1647467.0
2012-12-01,1515068.0
2013-01-01,1584008.0
2013-02-01,1649220.0
2013-03-01,1726447.0
2013-04-01,1818129.0
2013-05-01,1854520.0
2013-06-01,1868298.0
2013-07-01,1939600.0
2013-08-01,1923037.0
2013-09-01,1948203.0
2013-10-01,2038027.0
2013-11-01,2043848.0
2013-12-01,2260550.0
