Tarih,TP_PB_BLY07
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,9956.0
2007-05-01,9940.0
2007-06-01,9860.0
2007-07-01,9755.0
2007-08-01,9932.0
2007-09-01,9075.0
2007-10-01,8894.0
2007-11-01,8885.0
2007-12-01,8735.0
2008-01-01,8792.0
2008-02-01,8825.0
2008-03-01,9574.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,23517.0
2010-05-01,22962.0
2010-06-01,42157.0
2010-07-01,43257.0
2010-08-01,42381.0
2010-09-01,43420.0
2010-10-01,43347.0
2010-11-01,42793.0
2010-12-01,45096.0
2011-01-01,47435.0
2011-02-01,48095.0
2011-03-01,47970.0
2011-04-01,22375.0
2011-05-01,22746.0
2011-06-01,23400.0
2011-07-01,23884.0
2011-08-01,25064.0
2011-09-01,25159.0
2011-10-01,24848.0
2011-11-01,24583.0
2011-12-01,24626.0
2012-01-01,23356.0
2012-02-01,23450.0
2012-03-01,23518.0
2012-04-01,40675.0
2012-05-01,39713.0
2012-06-01,55489.0
2012-07-01,53960.0
2012-08-01,55578.0
2012-09-01,40083.0
2012-10-01,40700.0
2012-11-01,40390.0
2012-12-01,48365.0
2013-01-01,68137.0
2013-02-01,68476.0
2013-03-01,67953.0
2013-04-01,26930.0
2013-05-01,61555.0
2013-06-01,63415.0
2013-07-01,63971.0
2013-08-01,65896.0
2013-09-01,134111.0
2013-10-01,132147.0
2013-11-01,133682.0
2013-12-01,140883.0
2014-01-01,146524.0
2014-02-01,144380.0
2014-03-01,142489.0
2014-04-01,109809.0
2014-05-01,107471.0
2014-06-01,119690.0
2014-07-01,97474.0
2014-08-01,98506.0
