Tarih,TP_PB_BLY05
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,81818.0
2006-01-01,80542.0
2006-02-01,86092.0
2006-03-01,94405.0
2006-04-01,102029.0
2006-05-01,148548.0
2006-06-01,129437.0
2006-07-01,151402.0
2006-08-01,190595.0
2006-09-01,215400.0
2006-10-01,188492.0
2006-11-01,196696.0
2006-12-01,211530.0
2007-01-01,272090.0
2007-02-01,606271.0
2007-03-01,577316.0
2007-04-01,788608.0
2007-05-01,758333.0
2007-06-01,752442.0
2007-07-01,731335.0
2007-08-01,695459.0
2007-09-01,759788.0
2007-10-01,770946.0
2007-11-01,773276.0
2007-12-01,743282.0
2008-01-01,730146.0
2008-02-01,695747.0
2008-03-01,820225.0
2008-04-01,748036.0
2008-05-01,723735.0
2008-06-01,762513.0
2008-07-01,787216.0
2008-08-01,800612.0
2008-09-01,838548.0
2008-10-01,1004492.0
2008-11-01,1049107.0
2008-12-01,1011975.0
2009-01-01,1024219.0
2009-02-01,718594.0
2009-03-01,703899.0
2009-04-01,508088.0
2009-05-01,586502.0
2009-06-01,609474.0
2009-07-01,542347.0
2009-08-01,575172.0
2009-09-01,401538.0
2009-10-01,351498.0
2009-11-01,274605.0
2009-12-01,207760.0
2010-01-01,207612.0
2010-02-01,205190.0
2010-03-01,185353.0
2010-04-01,515200.0
2010-05-01,549017.0
2010-06-01,581551.0
2010-07-01,616749.0
2010-08-01,770804.0
2010-09-01,1146982.0
2010-10-01,1138258.0
2010-11-01,1140994.0
2010-12-01,1271180.0
2011-01-01,1394456.0
2011-02-01,1415523.0
2011-03-01,1892565.0
2011-04-01,1970687.0
2011-05-01,2343795.0
2011-06-01,2900841.0
2011-07-01,3427001.0
2011-08-01,4312180.0
2011-09-01,5088560.0
2011-10-01,4895479.0
2011-11-01,4760261.0
2011-12-01,4987109.0
2012-01-01,4738025.0
2012-02-01,4786463.0
2012-03-01,5128393.0
2012-04-01,5186427.0
2012-05-01,5979802.0
2012-06-01,5984222.0
2012-07-01,5860926.0
2012-08-01,6090433.0
2012-09-01,6415553.0
2012-10-01,6614856.0
2012-11-01,6747458.0
2012-12-01,6756279.0
2013-01-01,6979292.0
2013-02-01,7108495.0
2013-03-01,8120443.0
2013-04-01,7923169.0
2013-05-01,9859439.0
2013-06-01,11117324.0
2013-07-01,11563477.0
2013-08-01,11900679.0
2013-09-01,12030806.0
2013-10-01,11962317.0
2013-11-01,12545710.0
2013-12-01,14273104.0
2014-01-01,15162020.0
