Tarih,TP_PB_BLY12
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,4682.0
2006-01-01,4292.0
2006-02-01,5055.0
2006-03-01,5561.0
2006-04-01,5889.0
2006-05-01,7013.0
2006-06-01,8337.0
2006-07-01,8647.0
2006-08-01,8912.0
2006-09-01,7835.0
2006-10-01,9428.0
2006-11-01,9190.0
2006-12-01,12632.0
2007-01-01,12316.0
2007-02-01,12319.0
2007-03-01,10832.0
2007-04-01,13671.0
2007-05-01,16427.0
2007-06-01,18653.0
2007-07-01,23280.0
2007-08-01,22794.0
2007-09-01,26499.0
2007-10-01,23323.0
2007-11-01,20500.0
2007-12-01,21225.0
2008-01-01,19743.0
2008-02-01,15438.0
2008-03-01,13200.0
2008-04-01,9991.0
2008-05-01,6821.0
2008-06-01,4370.0
2008-07-01,2874.0
2008-08-01,1888.0
2008-09-01,983.0
2008-10-01,661.0
2008-11-01,408.0
2008-12-01,231.0
2009-01-01,142.0
2009-02-01,57.0
2009-03-01,33.0
2009-04-01,5.0
2009-05-01,5.0
2009-06-01,5.0
2009-07-01,5.0
2009-08-01,4.0
2009-09-01,4.0
2009-10-01,4.0
2009-11-01,5.0
2009-12-01,4.0
2010-01-01,4.0
2010-02-01,4.0
2010-03-01,3.0
2010-04-01,3.0
2010-05-01,3.0
2010-06-01,2.0
2010-07-01,2.0
2010-08-01,1.0
2010-09-01,2.0
2010-10-01,1.0
2010-11-01,1.0
2010-12-01,1.0
2011-01-01,1.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,613060.0
2011-11-01,645365.0
2011-12-01,673782.0
2012-01-01,632859.0
2012-02-01,243969.0
2012-03-01,248428.0
2012-04-01,240002.0
2012-05-01,251794.0
2012-06-01,251119.0
2012-07-01,250346.0
2012-08-01,252367.0
2012-09-01,250026.0
2012-10-01,245537.0
2012-11-01,244889.0
2012-12-01,246481.0
2013-01-01,244373.0
2013-02-01,251892.0
2013-03-01,266708.0
2013-04-01,258093.0
2013-05-01,269243.0
2013-06-01,279190.0
2013-07-01,282744.0
2013-08-01,302356.0
2013-09-01,300606.0
2013-10-01,287518.0
2013-11-01,292388.0
2013-12-01,309644.0
2014-01-01,431060.0
2014-02-01,425803.0
2014-03-01,408127.0
2014-04-01,390909.0
2014-05-01,389303.0
2014-06-01,395454.0
2014-07-01,290823.0
2014-08-01,441149.0
