Tarih,TP_PB_SKV341
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,6405.0
2010-02-01,7786.0
2010-03-01,7916.0
2010-04-01,11301.0
2010-05-01,17447.0
2010-06-01,11959.0
2010-07-01,8990.0
2010-08-01,9333.0
2010-09-01,22350.0
2010-10-01,20816.0
2010-11-01,34540.0
2010-12-01,26455.0
2011-01-01,29156.0
2011-02-01,37505.0
2011-03-01,36683.0
2011-04-01,64331.0
2011-05-01,64436.0
2011-06-01,75516.0
2011-07-01,109661.0
2011-08-01,161503.0
2011-09-01,140456.0
2011-10-01,93482.0
2011-11-01,109046.0
2011-12-01,77541.0
2012-01-01,44231.0
2012-02-01,31898.0
2012-03-01,36812.0
2012-04-01,28046.0
2012-05-01,52657.0
2012-06-01,39437.0
2012-07-01,36129.0
2012-08-01,41965.0
2012-09-01,44898.0
2012-10-01,26489.0
2012-11-01,23171.0
2012-12-01,30844.0
2013-01-01,30085.0
2013-02-01,32862.0
2013-03-01,27430.0
2013-04-01,28779.0
2013-05-01,49449.0
2013-06-01,74953.0
2013-07-01,61887.0
2013-08-01,133225.0
2013-09-01,101715.0
2013-10-01,68825.0
2013-11-01,59778.0
2013-12-01,119294.0
2014-01-01,131756.0
2014-02-01,85022.0
2014-03-01,69803.0
2014-04-01,60673.0
2014-05-01,53148.0
2014-06-01,44050.0
2014-07-01,22708.0
2014-08-01,20310.0
2014-09-01,18145.0
2014-10-01,8903.0
2014-11-01,7675.0
2014-12-01,5049.0
2015-01-01,15388.0
2015-02-01,12432.0
