Tarih,TP_KM_B19
2000-01-01,1400929.0
2000-02-01,1377454.0
2000-03-01,1623898.0
2000-04-01,1417553.0
2000-05-01,1427033.0
2000-06-01,1382314.0
2000-07-01,1385338.0
2000-08-01,1345355.0
2000-09-01,1304675.0
2000-10-01,1367281.0
2000-11-01,1401058.0
2000-12-01,1089237.0
2001-01-01,1105669.0
2001-02-01,1122587.0
2001-03-01,1118180.0
2001-04-01,1108796.0
2001-05-01,1202542.0
2001-06-01,1296027.0
2001-07-01,1403745.0
2001-08-01,1412918.0
2001-09-01,1366949.0
2001-10-01,1286562.0
2001-11-01,1262702.0
2001-12-01,1119452.0
2002-01-01,1177959.0
2002-02-01,1355939.0
2002-03-01,1222735.0
2002-04-01,1338238.0
2002-05-01,1383644.0
2002-06-01,1372731.0
2002-07-01,1256498.0
2002-08-01,1225784.0
2002-09-01,1251119.0
2002-10-01,1243230.0
2002-11-01,1204017.0
2002-12-01,740151.0
2003-01-01,714609.0
2003-02-01,728986.0
2003-03-01,718495.0
2003-04-01,607646.0
2003-05-01,612210.0
2003-06-01,588495.0
2003-07-01,641320.0
2003-08-01,602344.0
2003-09-01,654407.0
2003-10-01,645806.0
2003-11-01,665594.0
2003-12-01,612793.0
2004-01-01,662027.0
2004-02-01,802694.0
2004-03-01,717148.0
2004-04-01,771349.0
2004-05-01,837990.0
2004-06-01,924023.0
2004-07-01,979612.0
2004-08-01,1163777.0
2004-09-01,1345711.0
2004-10-01,1441312.0
2004-11-01,1811488.0
2004-12-01,1937628.0
2005-01-01,2035293.0
2005-02-01,1966804.0
2005-03-01,1964465.0
2005-04-01,1881055.0
2005-05-01,1905447.0
2005-06-01,2063696.0
2005-07-01,2043647.0
2005-08-01,2268592.0
2005-09-01,2520489.0
2005-10-01,2828720.0
2005-11-01,3040810.0
2005-12-01,3153163.0
2006-01-01,3661286.0
2006-02-01,2724173.0
2006-03-01,2913275.0
2006-04-01,3025092.0
2006-05-01,3644118.0
2006-06-01,3623626.0
2006-07-01,3710118.0
2006-08-01,3749948.0
2006-09-01,3950822.0
2006-10-01,4077754.0
2006-11-01,4176512.0
2006-12-01,4141497.0
2007-01-01,690505.0
2007-02-01,653933.0
2007-03-01,670487.0
2007-04-01,691929.0
2007-05-01,688246.0
2007-06-01,692829.0
2007-07-01,701146.0
2007-08-01,705691.0
2007-09-01,713195.0
2007-10-01,660709.0
2007-11-01,733086.0
2007-12-01,648119.0
2008-01-01,796885.0
2008-02-01,837698.0
2008-03-01,839024.0
2008-04-01,787941.0
2008-05-01,749198.0
2008-06-01,796731.0
2008-07-01,749567.0
2008-08-01,696058.0
2008-09-01,751746.0
2008-10-01,858718.0
2008-11-01,936070.0
2008-12-01,887535.0
2009-01-01,960250.0
2009-02-01,1028328.0
2009-03-01,968398.0
2009-04-01,899274.0
2009-05-01,912515.0
2009-06-01,899362.0
2009-07-01,858654.0
2009-08-01,864187.0
2009-09-01,880638.0
2009-10-01,929756.0
2009-11-01,1039693.0
2009-12-01,923584.0
2010-01-01,882220.0
2010-02-01,957417.0
2010-03-01,977861.0
2010-04-01,1014115.0
2010-05-01,1146511.0
2010-06-01,1169240.0
2010-07-01,1020727.0
