Tarih,TP_KM_B29
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,0.0
2003-01-01,1.0
2003-02-01,1.0
2003-03-01,0.0
2003-04-01,1.0
2003-05-01,2310.0
2003-06-01,2310.0
2003-07-01,2310.0
2003-08-01,2310.0
2003-09-01,2448.0
2003-10-01,1800.0
2003-11-01,2377.0
2003-12-01,2377.0
2004-01-01,2127.0
2004-02-01,2377.0
2004-03-01,2757.0
2004-04-01,3560.0
2004-05-01,1493.0
2004-06-01,2500.0
2004-07-01,2100.0
2004-08-01,1461.0
2004-09-01,1999.0
2004-10-01,1749.0
2004-11-01,1754.0
2004-12-01,2200.0
2005-01-01,1150.0
2005-02-01,1095.0
2005-03-01,8200.0
2005-04-01,9495.0
2005-05-01,17990.0
2005-06-01,4910.0
2005-07-01,28360.0
2005-08-01,40429.0
2005-09-01,27644.0
2005-10-01,2645.0
2005-11-01,35718.0
2005-12-01,34845.0
2006-01-01,34339.0
2006-02-01,33778.0
2006-03-01,34474.0
2006-04-01,64348.0
2006-05-01,67349.0
2006-06-01,45093.0
2006-07-01,50305.0
2006-08-01,62284.0
2006-09-01,72661.0
2006-10-01,62329.0
2006-11-01,44216.0
2006-12-01,40061.0
2007-01-01,42199.0
2007-02-01,40212.0
2007-03-01,46050.0
2007-04-01,30892.0
2007-05-01,2240.0
2007-06-01,2152.0
2007-07-01,2047.0
2007-08-01,14108.0
2007-09-01,20448.0
2007-10-01,67061.0
2007-11-01,15569.0
2007-12-01,23407.0
2008-01-01,1442.0
2008-02-01,2271.0
2008-03-01,2646.0
2008-04-01,12099.0
2008-05-01,1742.0
2008-06-01,24876.0
2008-07-01,13752.0
2008-08-01,30800.0
2008-09-01,26095.0
2008-10-01,37547.0
2008-11-01,35800.0
2008-12-01,39119.0
2009-01-01,33833.0
2009-02-01,35970.0
2009-03-01,45000.0
2009-04-01,24187.0
2009-05-01,18100.0
2009-06-01,81911.0
2009-07-01,78884.0
2009-08-01,139300.0
2009-09-01,296022.0
2009-10-01,265257.0
2009-11-01,396796.0
2009-12-01,553190.0
2010-01-01,537344.0
2010-02-01,538098.0
2010-03-01,640834.0
2010-04-01,600285.0
2010-05-01,730907.0
2010-06-01,720018.0
2010-07-01,655713.0
2010-08-01,663341.0
2010-09-01,1010221.0
2010-10-01,868954.0
2010-11-01,776391.0
2010-12-01,939642.0
2011-01-01,910819.0
2011-02-01,900429.0
2011-03-01,847991.0
2011-04-01,833791.0
2011-05-01,929966.0
2011-06-01,887855.0
2011-07-01,859505.0
2011-08-01,839582.0
2011-09-01,773362.0
2011-10-01,880709.0
2011-11-01,946852.0
2011-12-01,958122.0
2012-01-01,916791.0
2012-02-01,970276.0
2012-03-01,951760.0
2012-04-01,1015088.0
2012-05-01,1116103.0
2012-06-01,924829.0
2012-07-01,886513.0
2012-08-01,978941.0
2012-09-01,850299.0
2012-10-01,750196.0
2012-11-01,824996.0
2012-12-01,1227884.0
2013-01-01,978596.0
2013-02-01,835876.0
2013-03-01,1050758.0
2013-04-01,955181.0
2013-05-01,962899.0
