Tarih,TP_KM_K58
2000-01-01,159.0
2000-02-01,973.0
2000-03-01,2289.0
2000-04-01,238.0
2000-05-01,232.0
2000-06-01,728.0
2000-07-01,39.0
2000-08-01,10.0
2000-09-01,10.0
2000-10-01,9.0
2000-11-01,10.0
2000-12-01,10.0
2001-01-01,2518.0
2001-02-01,350.0
2001-03-01,579.0
2001-04-01,411.0
2001-05-01,527.0
2001-06-01,95.0
2001-07-01,20.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,2227.0
2003-01-01,2603.0
2003-02-01,2380.0
2003-03-01,2760.0
2003-04-01,5438.0
2003-05-01,4452.0
2003-06-01,1657.0
2003-07-01,1535.0
2003-08-01,1679.0
2003-09-01,1893.0
2003-10-01,2151.0
2003-11-01,2198.0
2003-12-01,2229.0
2004-01-01,2224.0
2004-02-01,2130.0
2004-03-01,3933.0
2004-04-01,3106.0
2004-05-01,2942.0
2004-06-01,3162.0
2004-07-01,3133.0
2004-08-01,5522.0
2004-09-01,4344.0
2004-10-01,4168.0
2004-11-01,4116.0
2004-12-01,3940.0
2005-01-01,4990.0
2005-02-01,4469.0
2005-03-01,8287.0
2005-04-01,6661.0
2005-05-01,6658.0
2005-06-01,7728.0
2005-07-01,10158.0
2005-08-01,11570.0
2005-09-01,12426.0
2005-10-01,13002.0
2005-11-01,14763.0
2005-12-01,15840.0
2006-01-01,30448.0
2006-02-01,30827.0
2006-03-01,28286.0
2006-04-01,30855.0
2006-05-01,21876.0
2006-06-01,17751.0
2006-07-01,18697.0
2006-08-01,19811.0
2006-09-01,18611.0
2006-10-01,19825.0
2006-11-01,17582.0
2006-12-01,2377.0
2007-01-01,34285.0
2007-02-01,26905.0
2007-03-01,96088.0
2007-04-01,26118.0
2007-05-01,32943.0
2007-06-01,35783.0
2007-07-01,34039.0
2007-08-01,29968.0
2007-09-01,30031.0
2007-10-01,36524.0
2007-11-01,38591.0
2007-12-01,40806.0
2008-01-01,39674.0
2008-02-01,37389.0
2008-03-01,47208.0
2008-04-01,56016.0
2008-05-01,59252.0
2008-06-01,57973.0
2008-07-01,51875.0
2008-08-01,52330.0
2008-09-01,42870.0
2008-10-01,43483.0
2008-11-01,43565.0
2008-12-01,55831.0
2009-01-01,56275.0
2009-02-01,65490.0
2009-03-01,66757.0
2009-04-01,69730.0
