Tarih,TP_KM_D32
2000-01-01,80.0
2000-02-01,124.0
2000-03-01,169.0
2000-04-01,173.0
2000-05-01,173.0
2000-06-01,175.0
2000-07-01,20.0
2000-08-01,518.0
2000-09-01,17.0
2000-10-01,16.0
2000-11-01,16.0
2000-12-01,16.0
2001-01-01,16.0
2001-02-01,15.0
2001-03-01,25.0
2001-04-01,25.0
2001-05-01,24.0
2001-06-01,24.0
2001-07-01,24.0
2001-08-01,23.0
2001-09-01,23.0
2001-10-01,23.0
2001-11-01,23.0
2001-12-01,23.0
2002-01-01,23.0
2002-02-01,95.0
2002-03-01,97.0
2002-04-01,5117.0
2002-05-01,91.0
2002-06-01,88.0
2002-07-01,77.0
2002-08-01,159.0
2002-09-01,85.0
2002-10-01,25.0
2002-11-01,49.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,321903.0
2003-03-01,359233.0
2003-04-01,283493.0
2003-05-01,292552.0
2003-06-01,320621.0
2003-07-01,294129.0
2003-08-01,311505.0
2003-09-01,312067.0
2003-10-01,352191.0
2003-11-01,343635.0
2003-12-01,333853.0
2004-01-01,386006.0
2004-02-01,409030.0
2004-03-01,422232.0
2004-04-01,416310.0
2004-05-01,401185.0
2004-06-01,411083.0
2004-07-01,525493.0
2004-08-01,458128.0
2004-09-01,458569.0
2004-10-01,434543.0
2004-11-01,500210.0
2004-12-01,356977.0
2005-01-01,318607.0
2005-02-01,351085.0
2005-03-01,338154.0
2005-04-01,341150.0
2005-05-01,353002.0
2005-06-01,371630.0
2005-07-01,390063.0
2005-08-01,397796.0
2005-09-01,430764.0
2005-10-01,416808.0
2005-11-01,452876.0
2005-12-01,479669.0
2006-01-01,491257.0
2006-02-01,475412.0
2006-03-01,431521.0
2006-04-01,296200.0
2006-05-01,159474.0
2006-06-01,126196.0
2006-07-01,131261.0
2006-08-01,132564.0
2006-09-01,137566.0
2006-10-01,147504.0
2006-11-01,106611.0
2006-12-01,110108.0
2007-01-01,227289.0
2007-02-01,163547.0
2007-03-01,105240.0
2007-04-01,97085.0
2007-05-01,61614.0
2007-06-01,71487.0
2007-07-01,324494.0
2007-08-01,336912.0
2007-09-01,309407.0
2007-10-01,45412.0
2007-11-01,51830.0
2007-12-01,72100.0
2008-01-01,59682.0
2008-02-01,66427.0
2008-03-01,73391.0
2008-04-01,73232.0
2008-05-01,70610.0
2008-06-01,70380.0
2008-07-01,71024.0
2008-08-01,71185.0
2008-09-01,71286.0
2008-10-01,75690.0
2008-11-01,52379.0
2008-12-01,54217.0
2009-01-01,54992.0
2009-02-01,54969.0
2009-03-01,55663.0
2009-04-01,58942.0
2009-05-01,97919.0
2009-06-01,67007.0
2009-07-01,125760.0
2009-08-01,169585.0
2009-09-01,240542.0
2009-10-01,254601.0
2009-11-01,282450.0
2009-12-01,270210.0
2010-01-01,81312.0
2010-02-01,132008.0
2010-03-01,150013.0
2010-04-01,149557.0
2010-05-01,153985.0
2010-06-01,152012.0
2010-07-01,157207.0
2010-08-01,154419.0
2010-09-01,154645.0
2010-10-01,168903.0
2010-11-01,108007.0
2010-12-01,118536.0
2011-01-01,123076.0
2011-02-01,132099.0
2011-03-01,198564.0
2011-04-01,222845.0
2011-05-01,224043.0
2011-06-01,554706.0
2011-07-01,741672.0
2011-08-01,1336700.0
2011-09-01,1402806.0
2011-10-01,1135121.0
2011-11-01,786955.0
2011-12-01,499405.0
2012-01-01,687356.0
2012-02-01,203928.0
2012-03-01,143548.0
2012-04-01,159510.0
2012-05-01,158920.0
2012-06-01,123056.0
2012-07-01,128139.0
2012-08-01,127839.0
2012-09-01,129926.0
2012-10-01,442415.0
2012-11-01,815415.0
2012-12-01,862442.0
2013-01-01,834573.0
2013-02-01,851583.0
2013-03-01,847107.0
2013-04-01,1314791.0
2013-05-01,1365629.0
2013-06-01,1811520.0
2013-07-01,1723087.0
2013-08-01,1702230.0
2013-09-01,1992498.0
2013-10-01,1777708.0
2013-11-01,1664109.0
2013-12-01,1850868.0
2014-01-01,1864223.0
2014-02-01,2229322.0
2014-03-01,2215321.0
2014-04-01,2134507.0
2014-05-01,1935793.0
2014-06-01,1854775.0
2014-07-01,1803336.0
2014-08-01,1903680.0
2014-09-01,1945002.0
2014-10-01,1952401.0
2014-11-01,2300156.0
2014-12-01,2845479.0
2015-01-01,2858258.0
2015-02-01,2994914.0
2015-03-01,3055690.0
2015-04-01,3246765.0
2015-05-01,3253337.0
2015-06-01,3165047.0
2015-07-01,3148262.0
2015-08-01,3390407.0
2015-09-01,3296797.0
2015-10-01,3255792.0
2015-11-01,3394534.0
2015-12-01,3838734.0
