Tarih,TP_KM_D08
2000-01-01,4722.0
2000-02-01,8174.0
2000-03-01,10664.0
2000-04-01,12843.0
2000-05-01,23023.0
2000-06-01,51191.0
2000-07-01,52644.0
2000-08-01,51602.0
2000-09-01,131110.0
2000-10-01,57351.0
2000-11-01,14630.0
2000-12-01,33387.0
2001-01-01,21895.0
2001-02-01,30687.0
2001-03-01,11713.0
2001-04-01,6517.0
2001-05-01,6812.0
2001-06-01,6029.0
2001-07-01,15225.0
2001-08-01,4442.0
2001-09-01,6712.0
2001-10-01,17068.0
2001-11-01,8434.0
2001-12-01,16452.0
2002-01-01,16257.0
2002-02-01,21547.0
2002-03-01,6049.0
2002-04-01,3642.0
2002-05-01,4168.0
2002-06-01,3650.0
2002-07-01,13513.0
2002-08-01,14072.0
2002-09-01,14572.0
2002-10-01,328019.0
2002-11-01,194404.0
2002-12-01,154348.0
2003-01-01,104818.0
2003-02-01,182281.0
2003-03-01,101220.0
2003-04-01,117991.0
2003-05-01,79927.0
2003-06-01,186924.0
2003-07-01,176154.0
2003-08-01,170995.0
2003-09-01,127104.0
2003-10-01,125772.0
2003-11-01,115083.0
2003-12-01,71782.0
2004-01-01,45439.0
2004-02-01,23460.0
2004-03-01,539769.0
2004-04-01,444249.0
2004-05-01,420956.0
2004-06-01,448277.0
2004-07-01,578283.0
2004-08-01,638193.0
2004-09-01,601146.0
2004-10-01,555129.0
2004-11-01,505380.0
2004-12-01,399225.0
2005-01-01,428157.0
2005-02-01,435868.0
2005-03-01,280318.0
2005-04-01,184681.0
2005-05-01,162611.0
2005-06-01,129075.0
2005-07-01,164234.0
2005-08-01,166093.0
2005-09-01,166045.0
2005-10-01,207124.0
2005-11-01,207117.0
2005-12-01,159244.0
2006-01-01,115583.0
2006-02-01,115036.0
2006-03-01,67436.0
2006-04-01,1787.0
2006-05-01,2185.0
2006-06-01,2503.0
2006-07-01,1239.0
2006-08-01,846.0
2006-09-01,287.0
2006-10-01,1063.0
2006-11-01,3877.0
2006-12-01,4966.0
2007-01-01,9402.0
2007-02-01,52371.0
2007-03-01,4196.0
2007-04-01,6851.0
2007-05-01,10282.0
2007-06-01,18263.0
2007-07-01,18936.0
2007-08-01,19243.0
2007-09-01,38804.0
2007-10-01,1104.0
2007-11-01,3323.0
2007-12-01,3719.0
2008-01-01,8262.0
2008-02-01,4811.0
2008-03-01,4399.0
2008-04-01,420.0
2008-05-01,537.0
2008-06-01,4393.0
2008-07-01,1437.0
2008-08-01,1899.0
2008-09-01,2163.0
2008-10-01,1031.0
2008-11-01,1939.0
2008-12-01,1007.0
2009-01-01,476.0
2009-02-01,1187.0
2009-03-01,348.0
2009-04-01,1096.0
2009-05-01,3404.0
2009-06-01,3050.0
2009-07-01,3036.0
2009-08-01,4719.0
2009-09-01,4788.0
2009-10-01,50546.0
2009-11-01,2013.0
2009-12-01,55527.0
2010-01-01,53312.0
2010-02-01,25596.0
2010-03-01,25999.0
2010-04-01,26037.0
2010-05-01,25664.0
2010-06-01,25727.0
2010-07-01,25564.0
2010-08-01,5237.0
2010-09-01,4000.0
2010-10-01,51334.0
2010-11-01,5181.0
2010-12-01,5683.0
2011-01-01,6326.0
2011-02-01,10432.0
2011-03-01,5713.0
2011-04-01,5680.0
2011-05-01,307.0
2011-06-01,439.0
2011-07-01,335.0
2011-08-01,97.0
2011-09-01,285.0
2011-10-01,178.0
2011-11-01,237.0
2011-12-01,517.0
2012-01-01,808.0
2012-02-01,916.0
2012-03-01,634.0
2012-04-01,618.0
2012-05-01,2230.0
2012-06-01,2038.0
2012-07-01,2664.0
2012-08-01,1247.0
2012-09-01,1649.0
2012-10-01,2229.0
2012-11-01,3435.0
2012-12-01,8854.0
2013-01-01,7945.0
2013-02-01,9782.0
2013-03-01,5518.0
2013-04-01,2386.0
2013-05-01,9644.0
2013-06-01,22192.0
2013-07-01,24916.0
2013-08-01,28514.0
2013-09-01,11667.0
2013-10-01,10965.0
2013-11-01,33115.0
2013-12-01,32819.0
2014-01-01,28713.0
2014-02-01,37335.0
2014-03-01,69244.0
2014-04-01,37904.0
2014-05-01,14268.0
2014-06-01,21550.0
2014-07-01,15790.0
2014-08-01,21589.0
2014-09-01,56090.0
2014-10-01,34036.0
2014-11-01,43843.0
2014-12-01,50074.0
2015-01-01,48738.0
2015-02-01,56715.0
2015-03-01,62552.0
2015-04-01,48191.0
2015-05-01,40539.0
2015-06-01,59650.0
2015-07-01,53993.0
2015-08-01,34648.0
2015-09-01,44430.0
2015-10-01,51609.0
2015-11-01,51312.0
2015-12-01,45066.0
2016-01-01,41164.0
2016-02-01,26523.0
2016-03-01,20412.0
2016-04-01,12739.0
2016-05-01,27012.0
2016-06-01,35908.0
2016-07-01,80570.0
2016-08-01,48661.0
2016-09-01,16067.0
2016-10-01,30423.0
2016-11-01,86183.0
2016-12-01,98656.0
2017-01-01,46884.0
2017-02-01,21352.0
2017-03-01,17780.0
2017-04-01,10977.0
2017-05-01,15212.0
2017-06-01,25554.0
2017-07-01,52384.0
2017-08-01,71130.0
2017-09-01,39711.0
2017-10-01,70831.0
2017-11-01,84942.0
2017-12-01,109126.0
2018-01-01,87273.0
2018-02-01,63341.0
2018-03-01,36009.0
2018-04-01,41798.0
2018-05-01,69132.0
2018-06-01,99359.0
2018-07-01,73588.0
2018-08-01,46136.0
2018-09-01,39504.0
2018-10-01,322750.0
2018-11-01,217537.0
2018-12-01,269415.0
2019-01-01,186005.0
2019-02-01,47598.0
2019-03-01,27559.0
2019-04-01,34996.0
2019-05-01,75507.0
2019-06-01,135014.0
2019-07-01,106057.0
2019-08-01,81657.0
2019-09-01,123527.0
2019-10-01,88784.0
2019-11-01,116448.0
2019-12-01,143909.0
2020-01-01,122087.0
2020-02-01,91702.0
2020-03-01,158503.0
2020-04-01,120704.0
2020-05-01,163535.0
2020-06-01,179132.0
2020-07-01,108790.0
2020-08-01,84145.0
2020-09-01,112815.0
2020-10-01,95745.0
2020-11-01,37039.0
2020-12-01,55714.0
2021-01-01,115003.0
2021-02-01,167482.0
2021-03-01,287291.0
2021-04-01,223311.0
2021-05-01,100994.0
2021-06-01,114878.0
2021-07-01,133894.0
2021-08-01,246301.0
2021-09-01,284352.0
2021-10-01,165885.0
2021-11-01,187103.0
2021-12-01,223233.0
2022-01-01,358402.0
2022-02-01,680215.0
2022-03-01,174167.0
2022-04-01,168414.0
2022-05-01,342894.0
2022-06-01,443863.0
2022-07-01,472491.0
2022-08-01,590439.0
2022-09-01,343430.0
2022-10-01,319276.0
2022-11-01,195019.0
2022-12-01,156799.0
2023-01-01,421892.0
2023-02-01,263767.0
2023-03-01,299889.0
2023-04-01,250747.0
2023-05-01,413646.0
2023-06-01,1148494.0
2023-07-01,1609155.0
2023-08-01,742623.0
2023-09-01,646534.0
2023-10-01,348909.0
2023-11-01,599534.0
2023-12-01,952597.0
2024-01-01,1123900.0
2024-02-01,2668183.0
2024-03-01,3577263.0
2024-04-01,2646181.0
2024-05-01,2883738.0
2024-06-01,3209458.0
2024-07-01,3781256.0
2024-08-01,1195765.0
2024-09-01,2921620.0
2024-10-01,2328947.0
2024-11-01,4117420.0
2024-12-01,1087980.0
2025-01-01,4967776.0
2025-02-01,1964552.0
2025-03-01,2697494.0
2025-04-01,2559999.0
2025-05-01,3114329.0
2025-06-01,3034677.0
2025-07-01,2034813.0
2025-08-01,2920814.0
