Tarih,TP_KM_D23
2000-01-01,1328.0
2000-02-01,2627.0
2000-03-01,3284.0
2000-04-01,2468.0
2000-05-01,3369.0
2000-06-01,4355.0
2000-07-01,3576.0
2000-08-01,4456.0
2000-09-01,4578.0
2000-10-01,4573.0
2000-11-01,4486.0
2000-12-01,4349.0
2001-01-01,2947.0
2001-02-01,2852.0
2001-03-01,2799.0
2001-04-01,3319.0
2001-05-01,2457.0
2001-06-01,2389.0
2001-07-01,2334.0
2001-08-01,2394.0
2001-09-01,2189.0
2001-10-01,2624.0
2001-11-01,2862.0
2001-12-01,3160.0
2002-01-01,2701.0
2002-02-01,2617.0
2002-03-01,2915.0
2002-04-01,2725.0
2002-05-01,2639.0
2002-06-01,2367.0
2002-07-01,2532.0
2002-08-01,2555.0
2002-09-01,2510.0
2002-10-01,2490.0
2002-11-01,2838.0
2002-12-01,2479.0
2003-01-01,2567.0
2003-02-01,2644.0
2003-03-01,2489.0
2003-04-01,2843.0
2003-05-01,2778.0
2003-06-01,2912.0
2003-07-01,2893.0
2003-08-01,3107.0
2003-09-01,3305.0
2003-10-01,3357.0
2003-11-01,3424.0
2003-12-01,3792.0
2004-01-01,4867.0
2004-02-01,5054.0
2004-03-01,5784.0
2004-04-01,5520.0
2004-05-01,5807.0
2004-06-01,5579.0
2004-07-01,5893.0
2004-08-01,6104.0
2004-09-01,6331.0
2004-10-01,6210.0
2004-11-01,6094.0
2004-12-01,6468.0
2005-01-01,6723.0
2005-02-01,6753.0
2005-03-01,6429.0
2005-04-01,6265.0
2005-05-01,6655.0
2005-06-01,6858.0
2005-07-01,7212.0
2005-08-01,7203.0
2005-09-01,8040.0
2005-10-01,7986.0
2005-11-01,8318.0
2005-12-01,8417.0
2006-01-01,8958.0
2006-02-01,9209.0
2006-03-01,8878.0
2006-04-01,8968.0
2006-05-01,9162.0
2006-06-01,8211.0
2006-07-01,8355.0
2006-08-01,8536.0
2006-09-01,8643.0
2006-10-01,6581.0
2006-11-01,5832.0
2006-12-01,5952.0
2007-01-01,6026.0
2007-02-01,6077.0
2007-03-01,6207.0
2007-04-01,6365.0
2007-05-01,6471.0
2007-06-01,6519.0
2007-07-01,6681.0
2007-08-01,6763.0
2007-09-01,6908.0
2007-10-01,6833.0
2007-11-01,6766.0
2007-12-01,6803.0
2008-01-01,6433.0
2008-02-01,6565.0
2008-03-01,6409.0
2008-04-01,6566.0
2008-05-01,6469.0
2008-06-01,6404.0
2008-07-01,6492.0
2008-08-01,6562.0
2008-09-01,6365.0
2008-10-01,6353.0
2008-11-01,6167.0
2008-12-01,6277.0
