Tarih,TP_KM_E084
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,101730.0
2003-01-01,57952.0
2003-02-01,60261.0
2003-03-01,57628.0
2003-04-01,57634.0
2003-05-01,47821.0
2003-06-01,46360.0
2003-07-01,47662.0
2003-08-01,52560.0
2003-09-01,39118.0
2003-10-01,36055.0
2003-11-01,39236.0
2003-12-01,49451.0
2004-01-01,39289.0
2004-02-01,39645.0
2004-03-01,40601.0
2004-04-01,56370.0
2004-05-01,46670.0
2004-06-01,27314.0
2004-07-01,28036.0
2004-08-01,31016.0
2004-09-01,35036.0
2004-10-01,40628.0
2004-11-01,37774.0
2004-12-01,40544.0
2005-01-01,41608.0
2005-02-01,42625.0
2005-03-01,48184.0
2005-04-01,51523.0
2005-05-01,51725.0
2005-06-01,51342.0
2005-07-01,53541.0
2005-08-01,54195.0
2005-09-01,52632.0
2005-10-01,56855.0
2005-11-01,53362.0
2005-12-01,51663.0
2006-01-01,54114.0
2006-02-01,42520.0
2006-03-01,37939.0
2006-04-01,13540.0
2006-05-01,12805.0
2006-06-01,10263.0
2006-07-01,7726.0
2006-08-01,6310.0
2006-09-01,9548.0
2006-10-01,7350.0
2006-11-01,3639.0
2006-12-01,4070.0
2007-01-01,479.0
2007-02-01,1172.0
2007-03-01,553.0
2007-04-01,1337.0
2007-05-01,344.0
2007-06-01,1035.0
2007-07-01,371.0
2007-08-01,738.0
2007-09-01,608.0
2007-10-01,240.0
2007-11-01,465.0
2007-12-01,597.0
2008-01-01,303.0
2008-02-01,552.0
2008-03-01,50.0
2008-04-01,376.0
2008-05-01,266.0
2008-06-01,1796.0
2008-07-01,661.0
2008-08-01,610.0
2008-09-01,4222.0
2008-10-01,425.0
2008-11-01,594.0
2008-12-01,6421.0
2009-01-01,5735.0
2009-02-01,5934.0
2009-03-01,5472.0
2009-04-01,6083.0
2009-05-01,5803.0
2009-06-01,5290.0
2009-07-01,5207.0
2009-08-01,5679.0
2009-09-01,5195.0
2009-10-01,5212.0
2009-11-01,4786.0
2009-12-01,4465.0
2010-01-01,5903.0
2010-02-01,4938.0
2010-03-01,4137.0
2010-04-01,5140.0
2010-05-01,4917.0
2010-06-01,4100.0
2010-07-01,4599.0
2010-08-01,5150.0
2010-09-01,3836.0
2010-10-01,3841.0
2010-11-01,3985.0
2010-12-01,4959.0
2011-01-01,5860.0
2011-02-01,6176.0
2011-03-01,3124.0
2011-04-01,3448.0
2011-05-01,2605.0
2011-06-01,3204.0
2011-07-01,3471.0
2011-08-01,4933.0
2011-09-01,2842.0
2011-10-01,3578.0
2011-11-01,3347.0
2011-12-01,4135.0
2012-01-01,2037.0
2012-02-01,3430.0
2012-03-01,2454.0
2012-04-01,4684.0
2012-05-01,10099.0
2012-06-01,18030.0
2012-07-01,17846.0
2012-08-01,33048.0
2012-09-01,24182.0
2012-10-01,91654.0
2012-11-01,32426.0
2012-12-01,90258.0
2013-01-01,42530.0
2013-02-01,38142.0
2013-03-01,28427.0
2013-04-01,32751.0
2013-05-01,35856.0
2013-06-01,80982.0
