Tarih,TP_KM_E091
2000-01-01,2352027.0
2000-02-01,2392991.0
2000-03-01,2995095.0
2000-04-01,2901779.0
2000-05-01,2855619.0
2000-06-01,3092543.0
2000-07-01,2397165.0
2000-08-01,2703175.0
2000-09-01,3312720.0
2000-10-01,3057160.0
2000-11-01,2820507.0
2000-12-01,3146941.0
2001-01-01,3200325.0
2001-02-01,4284731.0
2001-03-01,4274679.0
2001-04-01,4035455.0
2001-05-01,2882396.0
2001-06-01,5211844.0
2001-07-01,3918971.0
2001-08-01,3779944.0
2001-09-01,4577842.0
2001-10-01,5640635.0
2001-11-01,2990399.0
2001-12-01,3099736.0
2002-01-01,2574388.0
2002-02-01,1967851.0
2002-03-01,1761048.0
2002-04-01,1151123.0
2002-05-01,1517729.0
2002-06-01,2249028.0
2002-07-01,2216223.0
2002-08-01,2111075.0
2002-09-01,2301970.0
2002-10-01,1974561.0
2002-11-01,1850850.0
2002-12-01,1745531.0
2003-01-01,1970898.0
2003-02-01,1552788.0
2003-03-01,2022334.0
2003-04-01,2085419.0
2003-05-01,1615853.0
2003-06-01,2029829.0
2003-07-01,1829358.0
2003-08-01,1747041.0
2003-09-01,2017979.0
2003-10-01,1812720.0
2003-11-01,1691841.0
2003-12-01,2499591.0
2004-01-01,1885376.0
2004-02-01,1863802.0
2004-03-01,2017303.0
2004-04-01,2064316.0
2004-05-01,2541800.0
2004-06-01,2143810.0
2004-07-01,2432645.0
2004-08-01,2069326.0
2004-09-01,2224462.0
2004-10-01,1751527.0
2004-11-01,1606352.0
2004-12-01,1672963.0
2005-01-01,1232305.0
2005-02-01,1229843.0
2005-03-01,1762210.0
2005-04-01,1488065.0
2005-05-01,1540826.0
2005-06-01,2598019.0
2005-07-01,1914042.0
2005-08-01,1968281.0
2005-09-01,2804854.0
2005-10-01,2371763.0
2005-11-01,2083180.0
2005-12-01,3033908.0
2006-01-01,1552329.0
2006-02-01,1841026.0
2006-03-01,3203735.0
2006-04-01,2164188.0
2006-05-01,2197389.0
2006-06-01,2804279.0
2006-07-01,2054815.0
2006-08-01,1199282.0
2006-09-01,1955770.0
2006-10-01,1599034.0
2006-11-01,1374215.0
2006-12-01,2640865.0
2007-01-01,1720384.0
2007-02-01,1447338.0
2007-03-01,2375198.0
2007-04-01,1548592.0
2007-05-01,1239486.0
2007-06-01,2042902.0
2007-07-01,1430830.0
2007-08-01,1447495.0
2007-09-01,1838683.0
2007-10-01,1984329.0
2007-11-01,2233556.0
2007-12-01,2814605.0
2008-01-01,1873593.0
2008-02-01,2128744.0
2008-03-01,3326078.0
2008-04-01,2271358.0
2008-05-01,2704865.0
2008-06-01,3660347.0
2008-07-01,2007681.0
2008-08-01,3773552.0
2008-09-01,4158630.0
2008-10-01,3677080.0
2008-11-01,4700464.0
2008-12-01,4330159.0
2009-01-01,2503593.0
2009-02-01,1987624.0
2009-03-01,2844397.0
2009-04-01,2352427.0
2009-05-01,2400783.0
2009-06-01,5094116.0
2009-07-01,3037383.0
2009-08-01,2641813.0
2009-09-01,3631981.0
2009-10-01,2689926.0
2009-11-01,3053003.0
2009-12-01,3627220.0
2010-01-01,2373284.0
2010-02-01,4144362.0
2010-03-01,4013361.0
2010-04-01,4336159.0
2010-05-01,4490023.0
2010-06-01,5367430.0
2010-07-01,5516330.0
2010-08-01,4162831.0
2010-09-01,5220237.0
2010-10-01,5672551.0
2010-11-01,5693220.0
2010-12-01,6638269.0
2011-01-01,4928724.0
2011-02-01,7967020.0
2011-03-01,7456198.0
2011-04-01,8730791.0
2011-05-01,7280856.0
2011-06-01,7825804.0
2011-07-01,7309070.0
2011-08-01,9080003.0
2011-09-01,8772548.0
2011-10-01,9174978.0
2011-11-01,8630046.0
2011-12-01,11054357.0
2012-01-01,9906479.0
2012-02-01,9329308.0
2012-03-01,10722397.0
2012-04-01,13657330.0
2012-05-01,13853798.0
2012-06-01,14811096.0
2012-07-01,14893066.0
2012-08-01,15152718.0
2012-09-01,14350560.0
2012-10-01,14260291.0
2012-11-01,14275851.0
2012-12-01,15036450.0
2013-01-01,15337905.0
2013-02-01,14173603.0
2013-03-01,15704964.0
2013-04-01,15503474.0
2013-05-01,17592486.0
2013-06-01,17214543.0
2013-07-01,21128571.0
2013-08-01,20741942.0
