Tarih,TP_KM_E102
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,2135371.0
2003-01-01,1895740.0
2003-02-01,1770532.0
2003-03-01,1977056.0
2003-04-01,1785668.0
2003-05-01,1783995.0
2003-06-01,1815872.0
2003-07-01,1884170.0
2003-08-01,1797890.0
2003-09-01,1886874.0
2003-10-01,2024928.0
2003-11-01,1997067.0
2003-12-01,1662240.0
2004-01-01,1573017.0
2004-02-01,1616879.0
2004-03-01,1654081.0
2004-04-01,1827819.0
2004-05-01,1698405.0
2004-06-01,1633113.0
2004-07-01,1655267.0
2004-08-01,1749650.0
2004-09-01,2107172.0
2004-10-01,2297755.0
2004-11-01,2088786.0
2004-12-01,2135267.0
2005-01-01,1950854.0
2005-02-01,2034991.0
2005-03-01,2070401.0
2005-04-01,2056889.0
2005-05-01,1990381.0
2005-06-01,1897928.0
2005-07-01,1891642.0
2005-08-01,2046316.0
2005-09-01,2409932.0
2005-10-01,2148550.0
2005-11-01,2806523.0
2005-12-01,1914051.0
2006-01-01,2011804.0
2006-02-01,2136073.0
2006-03-01,2609528.0
2006-04-01,1973660.0
2006-05-01,6491855.0
2006-06-01,3838186.0
2006-07-01,2059509.0
2006-08-01,2045405.0
2006-09-01,2283476.0
2006-10-01,2525220.0
2006-11-01,2498781.0
2006-12-01,2546634.0
2007-01-01,2543654.0
2007-02-01,2202522.0
2007-03-01,2478295.0
2007-04-01,2106205.0
2007-05-01,1165370.0
2007-06-01,1102776.0
2007-07-01,904249.0
2007-08-01,955764.0
2007-09-01,863785.0
2007-10-01,708880.0
2007-11-01,773670.0
2007-12-01,874133.0
2008-01-01,991460.0
2008-02-01,1089150.0
2008-03-01,1462470.0
2008-04-01,2012606.0
2008-05-01,1919751.0
2008-06-01,1559157.0
2008-07-01,1279923.0
2008-08-01,1181940.0
2008-09-01,1301467.0
2008-10-01,1880811.0
2008-11-01,1854705.0
2008-12-01,1976496.0
2009-01-01,2129031.0
2009-02-01,2190051.0
2009-03-01,2363488.0
2009-04-01,2408283.0
2009-05-01,2433944.0
2009-06-01,2542593.0
2009-07-01,2498896.0
2009-08-01,2496505.0
2009-09-01,2614636.0
2009-10-01,2614879.0
2009-11-01,2523237.0
2009-12-01,1860118.0
2010-01-01,2125940.0
2010-02-01,3256471.0
2010-03-01,4470259.0
2010-04-01,3784172.0
2010-05-01,3039031.0
2010-06-01,2765238.0
2010-07-01,3004795.0
2010-08-01,3128650.0
2010-09-01,3428998.0
2010-10-01,3665229.0
2010-11-01,3727295.0
2010-12-01,3227122.0
2011-01-01,2640877.0
2011-02-01,3403572.0
2011-03-01,4147864.0
2011-04-01,4130576.0
2011-05-01,4810508.0
2011-06-01,4190255.0
2011-07-01,5420051.0
2011-08-01,4681557.0
2011-09-01,4737770.0
2011-10-01,4382547.0
2011-11-01,4999302.0
2011-12-01,4737347.0
2012-01-01,4644930.0
2012-02-01,4516134.0
2012-03-01,4507554.0
2012-04-01,3598443.0
2012-05-01,4593405.0
2012-06-01,4085180.0
2012-07-01,3473461.0
2012-08-01,3422575.0
