Tarih,TP_KM_E107
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,300007.0
2003-01-01,202587.0
2003-02-01,204083.0
2003-03-01,235606.0
2003-04-01,202741.0
2003-05-01,206159.0
2003-06-01,192224.0
2003-07-01,203589.0
2003-08-01,206363.0
2003-09-01,210645.0
2003-10-01,234694.0
2003-11-01,230938.0
2003-12-01,231373.0
2004-01-01,206224.0
2004-02-01,204376.0
2004-03-01,213444.0
2004-04-01,214062.0
2004-05-01,237206.0
2004-06-01,239497.0
2004-07-01,243643.0
2004-08-01,250393.0
2004-09-01,356742.0
2004-10-01,426239.0
2004-11-01,372031.0
2004-12-01,565095.0
2005-01-01,420110.0
2005-02-01,473079.0
2005-03-01,507789.0
2005-04-01,527398.0
2005-05-01,606349.0
2005-06-01,546869.0
2005-07-01,524033.0
2005-08-01,592494.0
2005-09-01,721979.0
2005-10-01,583798.0
2005-11-01,646252.0
2005-12-01,84929.0
2006-01-01,84995.0
2006-02-01,84935.0
2006-03-01,85125.0
2006-04-01,1524.0
2006-05-01,673.0
2006-06-01,782.0
2006-07-01,4371.0
2006-08-01,3707.0
2006-09-01,1870.0
2006-10-01,1018.0
2006-11-01,1315.0
2006-12-01,1080.0
2007-01-01,38986.0
2007-02-01,38199.0
2007-03-01,40522.0
2007-04-01,40691.0
2007-05-01,26760.0
2007-06-01,28370.0
2007-07-01,40718.0
2007-08-01,11003.0
2007-09-01,3830.0
2007-10-01,3908.0
2007-11-01,5555.0
2007-12-01,14534.0
2008-01-01,8999.0
2008-02-01,6248.0
2008-03-01,8993.0
2008-04-01,8560.0
2008-05-01,10703.0
2008-06-01,8496.0
2008-07-01,9087.0
2008-08-01,9795.0
2008-09-01,11876.0
2008-10-01,10401.0
2008-11-01,10071.0
2008-12-01,13801.0
2009-01-01,9497.0
2009-02-01,41207.0
2009-03-01,13952.0
2009-04-01,9191.0
2009-05-01,40373.0
2009-06-01,17487.0
2009-07-01,12820.0
2009-08-01,21689.0
2009-09-01,11867.0
2009-10-01,11436.0
2009-11-01,14676.0
2009-12-01,13030.0
2010-01-01,10404.0
2010-02-01,57366.0
2010-03-01,14598.0
2010-04-01,13296.0
2010-05-01,14417.0
2010-06-01,33307.0
2010-07-01,17800.0
2010-08-01,31811.0
2010-09-01,34315.0
2010-10-01,21850.0
2010-11-01,17462.0
2010-12-01,39612.0
2011-01-01,15807.0
2011-02-01,205515.0
2011-03-01,115305.0
2011-04-01,16747.0
2011-05-01,189487.0
2011-06-01,80021.0
2011-07-01,82369.0
2011-08-01,41590.0
2011-09-01,50064.0
2011-10-01,49949.0
2011-11-01,35852.0
2011-12-01,36900.0
2012-01-01,54749.0
2012-02-01,79105.0
2012-03-01,60294.0
2012-04-01,48487.0
2012-05-01,127884.0
2012-06-01,37906.0
2012-07-01,87610.0
2012-08-01,92719.0
2012-09-01,93720.0
2012-10-01,32007.0
2012-11-01,47100.0
2012-12-01,32681.0
2013-01-01,25199.0
2013-02-01,55411.0
2013-03-01,21445.0
2013-04-01,36588.0
2013-05-01,27551.0
