Tarih,TP_KM_G02
2000-01-01,3771791.0
2000-02-01,3806718.0
2000-03-01,3903261.0
2000-04-01,3968200.0
2000-05-01,4548824.0
2000-06-01,4488052.0
2000-07-01,5029538.0
2000-08-01,4682311.0
2000-09-01,4736388.0
2000-10-01,5147329.0
2000-11-01,5237037.0
2000-12-01,5802245.0
2001-01-01,5578582.0
2001-02-01,6541435.0
2001-03-01,6010409.0
2001-04-01,6560474.0
2001-05-01,6581720.0
2001-06-01,6777408.0
2001-07-01,7686663.0
2001-08-01,7508771.0
2001-09-01,6847744.0
2001-10-01,7599688.0
2001-11-01,7085568.0
2001-12-01,7940109.0
2002-01-01,8218063.0
2002-02-01,8782789.0
2002-03-01,7612236.0
2002-04-01,8093586.0
2002-05-01,8008750.0
2002-06-01,8075469.0
2002-07-01,9291155.0
2002-08-01,8365475.0
2002-09-01,9733185.0
2002-10-01,10075735.0
2002-11-01,9261175.0
2002-12-01,10380665.0
2003-01-01,9594882.0
2003-02-01,9685767.0
2003-03-01,9583080.0
2003-04-01,10600724.0
2003-05-01,10235087.0
2003-06-01,11632004.0
2003-07-01,12448402.0
2003-08-01,11929894.0
2003-09-01,13925084.0
2003-10-01,14099982.0
2003-11-01,14506200.0
2003-12-01,16197358.0
2004-01-01,13302398.0
2004-02-01,15880565.0
2004-03-01,15489363.0
2004-04-01,15852212.0
2004-05-01,16202126.0
2004-06-01,18736404.0
2004-07-01,16626046.0
2004-08-01,18132602.0
2004-09-01,18473088.0
2004-10-01,19528229.0
2004-11-01,18663835.0
2004-12-01,19818874.0
2005-01-01,18318006.0
2005-02-01,21430747.0
2005-03-01,19932178.0
2005-04-01,20215794.0
2005-05-01,20453317.0
2005-06-01,21812018.0
2005-07-01,21289080.0
2005-08-01,23036810.0
2005-09-01,22970919.0
2005-10-01,23131691.0
2005-11-01,24927746.0
2005-12-01,29049723.0
2006-01-01,23625651.0
2006-02-01,26277020.0
2006-03-01,25830511.0
2006-04-01,25330851.0
2006-05-01,29349537.0
2006-06-01,29580109.0
2006-07-01,26716264.0
2006-08-01,26721866.0
2006-09-01,27865531.0
2006-10-01,26132705.0
2006-11-01,25427502.0
2006-12-01,28137213.0
2007-01-01,25178953.0
2007-02-01,27851319.0
2007-03-01,25755694.0
2007-04-01,29656255.0
2007-05-01,27072904.0
2007-06-01,28612612.0
2007-07-01,31460027.0
2007-08-01,28264182.0
2007-09-01,27913120.0
2007-10-01,28403116.0
2007-11-01,28975225.0
2007-12-01,32212873.0
2008-01-01,30072221.0
2008-02-01,30864401.0
2008-03-01,33074840.0
2008-04-01,36233138.0
2008-05-01,31231895.0
2008-06-01,37618986.0
2008-07-01,37207889.0
2008-08-01,31492047.0
2008-09-01,38956863.0
2008-10-01,33409132.0
2008-11-01,32352052.0
2008-12-01,35168671.0
2009-01-01,32054102.0
2009-02-01,38851025.0
2009-03-01,35565891.0
2009-04-01,35978827.0
2009-05-01,36009015.0
2009-06-01,37292961.0
2009-07-01,41953526.0
2009-08-01,37163535.0
2009-09-01,45297763.0
2009-10-01,40189733.0
2009-11-01,44115640.0
2009-12-01,46535446.0
2010-01-01,42122414.0
2010-02-01,49463228.0
2010-03-01,46509465.0
2010-04-01,45326787.0
2010-05-01,46379666.0
2010-06-01,54717989.0
2010-07-01,52420282.0
2010-08-01,48869561.0
2010-09-01,51980060.0
2010-10-01,56203689.0
2010-11-01,51924274.0
2010-12-01,60807774.0
2011-01-01,57504176.0
2011-02-01,63546380.0
2011-03-01,60492323.0
2011-04-01,59622966.0
2011-05-01,62081456.0
2011-06-01,70200545.0
2011-07-01,65611571.0
2011-08-01,70912923.0
2011-09-01,65402169.0
2011-10-01,62813897.0
2011-11-01,69986442.0
2011-12-01,67002091.0
2012-01-01,63035575.0
2012-02-01,68231275.0
2012-03-01,62424598.0
2012-04-01,69851187.0
2012-05-01,65598317.0
2012-06-01,68290009.0
2012-07-01,76103854.0
2012-08-01,66876964.0
2012-09-01,71958137.0
2012-10-01,76545979.0
2012-11-01,68700903.0
2012-12-01,75955500.0
2013-01-01,72893226.0
2013-02-01,80320362.0
2013-03-01,77053333.0
2013-04-01,77719804.0
2013-05-01,82528037.0
2013-06-01,89396897.0
2013-07-01,99011277.0
2013-08-01,88854025.0
2013-09-01,98660657.0
2013-10-01,90477223.0
2013-11-01,89376342.0
2013-12-01,98296218.0
2014-01-01,93277618.0
2014-02-01,91239067.0
2014-03-01,92393868.0
2014-04-01,99895191.0
2014-05-01,90805471.0
2014-06-01,105034760.0
2014-07-01,113121791.0
2014-08-01,98832118.0
2014-09-01,105067261.0
2014-10-01,99686809.0
2014-11-01,100137857.0
2014-12-01,108225530.0
2015-01-01,105687045.0
2015-02-01,117232576.0
2015-03-01,110236869.0
2015-04-01,114329012.0
2015-05-01,112766424.0
2015-06-01,114312975.0
2015-07-01,131397825.0
2015-08-01,118810327.0
2015-09-01,131734502.0
2015-10-01,114789582.0
2015-11-01,127684636.0
2015-12-01,123448673.0
2016-01-01,122948519.0
2016-02-01,132908817.0
2016-03-01,123313207.0
2016-04-01,124082383.0
2016-05-01,131591051.0
2016-06-01,141658935.0
2016-07-01,142730391.0
2016-08-01,140280810.0
2016-09-01,143559326.0
2016-10-01,143132924.0
2016-11-01,159652012.0
2016-12-01,156447701.0
2017-01-01,148234308.0
2017-02-01,158604227.0
2017-03-01,162379642.0
2017-04-01,166932757.0
2017-05-01,164928008.0
2017-06-01,165150643.0
2017-07-01,169957512.0
2017-08-01,163559209.0
2017-09-01,173621310.0
2017-10-01,176952445.0
2017-11-01,174886954.0
2017-12-01,177507259.0
2018-01-01,171230938.0
2018-02-01,187831067.0
2018-03-01,182151551.0
2018-04-01,197298929.0
2018-05-01,187934594.0
2018-06-01,193250666.0
2018-07-01,198122129.0
2018-08-01,207160910.0
2018-09-01,185668017.0
2018-10-01,175032252.0
2018-11-01,168826184.0
2018-12-01,171895466.0
2019-01-01,174339208.0
2019-02-01,191221076.0
2019-03-01,184453814.0
2019-04-01,182760794.0
2019-05-01,195416160.0
2019-06-01,192066089.0
2019-07-01,193829438.0
2019-08-01,207261030.0
2019-09-01,214170607.0
2019-10-01,216204052.0
2019-11-01,223157948.0
2019-12-01,243790145.0
2020-01-01,252394131.0
2020-02-01,257564368.0
2020-03-01,269081812.0
2020-04-01,337733232.0
2020-05-01,341013926.0
2020-06-01,366557052.0
2020-07-01,367110279.0
2020-08-01,339037142.0
2020-09-01,335246380.0
2020-10-01,327645168.0
2020-11-01,303672081.0
2020-12-01,297476025.0
2021-01-01,294315258.0
2021-02-01,317954357.0
2021-03-01,322068314.0
2021-04-01,325944794.0
2021-05-01,355576558.0
2021-06-01,364390965.0
2021-07-01,387815667.0
2021-08-01,363110387.0
2021-09-01,389690867.0
2021-10-01,407253603.0
2021-11-01,436025085.0
2021-12-01,423393769.0
2022-01-01,465890782.0
2022-02-01,461370035.0
2022-03-01,498102456.0
2022-04-01,554979670.0
2022-05-01,557071435.0
2022-06-01,591686196.0
2022-07-01,663444310.0
2022-08-01,674917290.0
2022-09-01,709662430.0
2022-10-01,755198858.0
2022-11-01,797573689.0
2022-12-01,922873219.0
2023-01-01,896962516.0
2023-02-01,1008368285.0
2023-03-01,1107501476.0
2023-04-01,1193054215.0
2023-05-01,1005378950.0
2023-06-01,1095967162.0
2023-07-01,1167754460.0
2023-08-01,1235523669.0
2023-09-01,1240162137.0
2023-10-01,1221237330.0
2023-11-01,1186508071.0
2023-12-01,1267437958.0
2024-01-01,1268328778.0
2024-02-01,1338104429.0
2024-03-01,1332589327.0
2024-04-01,1361360335.0
2024-05-01,1393730700.0
2024-06-01,1642627370.0
2024-07-01,1565666833.0
2024-08-01,1606133452.0
2024-09-01,1802257552.0
2024-10-01,1681161035.0
2024-11-01,1644581547.0
2024-12-01,1826722640.0
2025-01-01,1808857091.0
2025-02-01,1990486449.0
2025-03-01,2109865015.0
2025-04-01,2028388588.0
2025-05-01,2059009667.0
2025-06-01,2374703846.0
2025-07-01,2206681808.0
2025-08-01,2241637249.0
