Tarih,TP_KM_G33
2000-01-01,1506.0
2000-02-01,313.0
2000-03-01,1147.0
2000-04-01,1150.0
2000-05-01,1251.0
2000-06-01,461.0
2000-07-01,3513.0
2000-08-01,4296.0
2000-09-01,4325.0
2000-10-01,38348.0
2000-11-01,67538.0
2000-12-01,67354.0
2001-01-01,30935.0
2001-02-01,808.0
2001-03-01,889.0
2001-04-01,935.0
2001-05-01,16637.0
2001-06-01,37518.0
2001-07-01,37516.0
2001-08-01,21281.0
2001-09-01,560.0
2001-10-01,560.0
2001-11-01,2597.0
2001-12-01,4067.0
2002-01-01,3428.0
2002-02-01,5789.0
2002-03-01,6247.0
2002-04-01,495630.0
2002-05-01,93168.0
2002-06-01,9011.0
2002-07-01,943.0
2002-08-01,943.0
2002-09-01,1080.0
2002-10-01,3813.0
2002-11-01,47812.0
2002-12-01,44083.0
2003-01-01,53093.0
2003-02-01,50764.0
2003-03-01,13860.0
2003-04-01,10187.0
2003-05-01,10188.0
2003-06-01,10178.0
2003-07-01,11429.0
2003-08-01,11415.0
2003-09-01,11360.0
2003-10-01,25233.0
2003-11-01,25233.0
2003-12-01,12860.0
2004-01-01,39.0
2004-02-01,38.0
2004-03-01,28.0
2004-04-01,19.0
2004-05-01,19.0
2004-06-01,21.0
2004-07-01,22.0
2004-08-01,22.0
2004-09-01,326.0
2004-10-01,324.0
2004-11-01,325.0
2004-12-01,325.0
2005-01-01,53.0
2005-02-01,54.0
2005-03-01,60.0
2005-04-01,1542.0
2005-05-01,19944.0
2005-06-01,18483.0
2005-07-01,18483.0
2005-08-01,79.0
2005-09-01,79.0
2005-10-01,193.0
2005-11-01,204.0
2005-12-01,265.0
2006-01-01,268.0
2006-02-01,7566.0
2006-03-01,156685.0
2006-04-01,156685.0
2006-05-01,152646.0
2006-06-01,144116.0
2006-07-01,25810.0
2006-08-01,22443.0
2006-09-01,22444.0
2006-10-01,20215.0
2006-11-01,20217.0
2006-12-01,39076.0
2007-01-01,264934.0
2007-02-01,589922.0
2007-03-01,269968.0
2007-04-01,319954.0
2007-05-01,164107.0
2007-06-01,166678.0
2007-07-01,432553.0
2007-08-01,573895.0
2007-09-01,799313.0
2007-10-01,728478.0
2007-11-01,832141.0
2007-12-01,491191.0
2008-01-01,491362.0
2008-02-01,476363.0
2008-03-01,522828.0
2008-04-01,460493.0
2008-05-01,450495.0
2008-06-01,480878.0
2008-07-01,1015012.0
2008-08-01,1014715.0
2008-09-01,932737.0
2008-10-01,483192.0
2008-11-01,578193.0
2008-12-01,400172.0
2009-01-01,555174.0
2009-02-01,530179.0
2009-03-01,605181.0
2009-04-01,455182.0
2009-05-01,720185.0
2009-06-01,612282.0
2009-07-01,637291.0
2009-08-01,292401.0
2009-09-01,230297.0
2009-10-01,300299.0
2009-11-01,385291.0
2009-12-01,565183.0
2010-01-01,830334.0
2010-02-01,1155337.0
2010-03-01,1265332.0
2010-04-01,1502615.0
2010-05-01,1672576.0
2010-06-01,1612592.0
2010-07-01,1340410.0
2010-08-01,925380.0
2010-09-01,930716.0
2010-10-01,1021413.0
2010-11-01,1035529.0
2010-12-01,930569.0
2011-01-01,389763.0
2011-02-01,487054.0
2011-03-01,784776.0
2011-04-01,816404.0
2011-05-01,599473.0
2011-06-01,421662.0
2011-07-01,467362.0
2011-08-01,653213.0
2011-09-01,701741.0
2011-10-01,701681.0
2011-11-01,510692.0
2011-12-01,131792.0
2012-01-01,130519.0
2012-02-01,134466.0
2012-03-01,78473.0
2012-04-01,80098.0
2012-05-01,79554.0
2012-06-01,239232.0
2012-07-01,274673.0
2012-08-01,274673.0
2012-09-01,18839.0
2012-10-01,31331.0
2012-11-01,48162.0
2012-12-01,2235.0
2013-01-01,1834.0
2013-02-01,1834.0
2013-03-01,8835.0
2013-04-01,11112.0
2013-05-01,181819.0
2013-06-01,195813.0
2013-07-01,196804.0
2013-08-01,73571.0
2013-09-01,91575.0
2013-10-01,84688.0
2013-11-01,85688.0
2013-12-01,72878.0
2014-01-01,26255.0
2014-02-01,25255.0
