Tarih,TP_KM_G38
2000-01-01,283925.0
2000-02-01,281094.0
2000-03-01,293678.0
2000-04-01,281579.0
2000-05-01,224729.0
2000-06-01,171769.0
2000-07-01,114871.0
2000-08-01,120815.0
2000-09-01,116657.0
2000-10-01,97403.0
2000-11-01,84585.0
2000-12-01,85271.0
2001-01-01,94005.0
2001-02-01,77525.0
2001-03-01,36971.0
2001-04-01,19134.0
2001-05-01,22093.0
2001-06-01,41535.0
2001-07-01,41419.0
2001-08-01,31065.0
2001-09-01,45476.0
2001-10-01,70397.0
2001-11-01,66502.0
2001-12-01,116283.0
2002-01-01,162914.0
2002-02-01,164742.0
2002-03-01,148229.0
2002-04-01,237916.0
2002-05-01,195863.0
2002-06-01,249998.0
2002-07-01,208953.0
2002-08-01,197350.0
2002-09-01,261492.0
2002-10-01,132902.0
2002-11-01,242338.0
2002-12-01,257841.0
2003-01-01,254450.0
2003-02-01,247483.0
2003-03-01,250422.0
2003-04-01,269900.0
2003-05-01,101917.0
2003-06-01,93232.0
2003-07-01,98007.0
2003-08-01,117905.0
2003-09-01,127677.0
2003-10-01,210722.0
2003-11-01,206617.0
2003-12-01,267874.0
2004-01-01,357754.0
2004-02-01,406161.0
2004-03-01,456634.0
2004-04-01,442949.0
2004-05-01,431647.0
2004-06-01,397988.0
2004-07-01,441658.0
2004-08-01,396485.0
2004-09-01,438246.0
2004-10-01,448087.0
2004-11-01,443648.0
2004-12-01,447946.0
2005-01-01,403598.0
2005-02-01,451803.0
2005-03-01,269169.0
2005-04-01,277491.0
2005-05-01,282602.0
2005-06-01,340362.0
2005-07-01,323196.0
2005-08-01,328670.0
2005-09-01,290168.0
2005-10-01,362540.0
2005-11-01,343843.0
2005-12-01,320276.0
2006-01-01,334734.0
2006-02-01,373566.0
2006-03-01,550634.0
2006-04-01,564300.0
2006-05-01,556801.0
2006-06-01,457744.0
2006-07-01,439880.0
2006-08-01,655864.0
2006-09-01,636885.0
2006-10-01,565946.0
2006-11-01,414097.0
2006-12-01,316985.0
2007-01-01,309467.0
2007-02-01,61668.0
2007-03-01,58320.0
2007-04-01,123172.0
2007-05-01,122629.0
2007-06-01,87333.0
2007-07-01,105952.0
2007-08-01,117599.0
2007-09-01,135135.0
2007-10-01,141130.0
2007-11-01,158475.0
2007-12-01,143028.0
2008-01-01,182374.0
2008-02-01,202865.0
2008-03-01,290289.0
2008-04-01,283944.0
2008-05-01,333162.0
2008-06-01,333501.0
2008-07-01,312856.0
2008-08-01,427440.0
2008-09-01,406031.0
2008-10-01,301568.0
2008-11-01,460959.0
2008-12-01,628332.0
2009-01-01,1368776.0
2009-02-01,1350671.0
2009-03-01,1307806.0
2009-04-01,1376171.0
2009-05-01,1403420.0
2009-06-01,1201109.0
2009-07-01,1332470.0
2009-08-01,1258219.0
2009-09-01,1584628.0
2009-10-01,1600383.0
2009-11-01,1452313.0
2009-12-01,1444714.0
2010-01-01,700629.0
2010-02-01,643044.0
2010-03-01,337006.0
2010-04-01,286109.0
2010-05-01,278535.0
2010-06-01,272554.0
2010-07-01,371542.0
2010-08-01,373628.0
2010-09-01,407217.0
2010-10-01,652213.0
2010-11-01,748381.0
2010-12-01,814790.0
2011-01-01,1100979.0
2011-02-01,1096924.0
2011-03-01,1229807.0
2011-04-01,2053323.0
2011-05-01,2447963.0
2011-06-01,2834176.0
2011-07-01,2992881.0
2011-08-01,3387796.0
2011-09-01,4013513.0
2011-10-01,3684358.0
2011-11-01,3582435.0
2011-12-01,3693932.0
2012-01-01,3541532.0
2012-02-01,3571731.0
2012-03-01,3976212.0
2012-04-01,3046383.0
2012-05-01,2875168.0
2012-06-01,2820569.0
2012-07-01,2749462.0
2012-08-01,2486859.0
2012-09-01,2127511.0
2012-10-01,2088379.0
2012-11-01,2197233.0
2012-12-01,2133230.0
2013-01-01,3233857.0
2013-02-01,4140927.0
2013-03-01,5907560.0
2013-04-01,6182670.0
2013-05-01,7514199.0
2013-06-01,7705012.0
2013-07-01,8785129.0
2013-08-01,7819500.0
2013-09-01,5695420.0
2013-10-01,5527059.0
2013-11-01,4823226.0
2013-12-01,4439853.0
2014-01-01,3959045.0
2014-02-01,3470363.0
2014-03-01,3415020.0
2014-04-01,3420384.0
2014-05-01,3765896.0
2014-06-01,3949451.0
2014-07-01,3999645.0
2014-08-01,3846225.0
2014-09-01,3737832.0
2014-10-01,3998775.0
2014-11-01,4472005.0
2014-12-01,4543308.0
2015-01-01,5422106.0
2015-02-01,5948393.0
2015-03-01,6968050.0
2015-04-01,7102484.0
2015-05-01,5849371.0
2015-06-01,5661162.0
2015-07-01,4951177.0
2015-08-01,4460172.0
2015-09-01,4128573.0
2015-10-01,3928233.0
2015-11-01,4096379.0
2015-12-01,4264127.0
2016-01-01,4437585.0
2016-02-01,4728742.0
2016-03-01,5203629.0
2016-04-01,5837397.0
2016-05-01,5940654.0
2016-06-01,6310600.0
2016-07-01,6352266.0
2016-08-01,7231552.0
2016-09-01,7520242.0
2016-10-01,7358725.0
2016-11-01,7862312.0
2016-12-01,8887123.0
2017-01-01,10131586.0
2017-02-01,10251161.0
2017-03-01,10625437.0
2017-04-01,12230214.0
2017-05-01,13243829.0
2017-06-01,13654082.0
2017-07-01,13373096.0
2017-08-01,13501671.0
2017-09-01,13803875.0
2017-10-01,12956561.0
2017-11-01,13137364.0
2017-12-01,12651901.0
2018-01-01,12218624.0
2018-02-01,12733147.0
2018-03-01,11934078.0
2018-04-01,11660322.0
2018-05-01,11126925.0
2018-06-01,11938299.0
2018-07-01,11594377.0
2018-08-01,13154074.0
2018-09-01,14771246.0
2018-10-01,15999521.0
2018-11-01,17671496.0
2018-12-01,17124351.0
2019-01-01,16366266.0
2019-02-01,15593205.0
2019-03-01,15553013.0
2019-04-01,15050469.0
2019-05-01,12212773.0
2019-06-01,12467265.0
2019-07-01,12519791.0
2019-08-01,13839260.0
2019-09-01,14392150.0
2019-10-01,13822015.0
2019-11-01,13440945.0
2019-12-01,12423254.0
2020-01-01,13007998.0
2020-02-01,12414900.0
2020-03-01,12680807.0
2020-04-01,11993323.0
2020-05-01,11700313.0
2020-06-01,11409846.0
2020-07-01,11319248.0
2020-08-01,10277368.0
2020-09-01,9268486.0
2020-10-01,11147141.0
2020-11-01,11199672.0
2020-12-01,15015509.0
2021-01-01,16326053.0
2021-02-01,16678748.0
2021-03-01,21030375.0
2021-04-01,22229775.0
2021-05-01,23329168.0
2021-06-01,22845550.0
2021-07-01,24857040.0
2021-08-01,24899065.0
2021-09-01,26463184.0
2021-10-01,25348067.0
2021-11-01,25030287.0
2021-12-01,22258963.0
2022-01-01,65484594.0
2022-02-01,165093735.0
2022-03-01,186147832.0
2022-04-01,195142947.0
2022-05-01,201333327.0
2022-06-01,193604080.0
2022-07-01,188809887.0
2022-08-01,115494316.0
2022-09-01,104348191.0
2022-10-01,108969953.0
2022-11-01,120557885.0
2022-12-01,122051660.0
2023-01-01,116235201.0
2023-02-01,115532256.0
2023-03-01,120304884.0
2023-04-01,144495894.0
2023-05-01,167083923.0
2023-06-01,175496796.0
2023-07-01,207311259.0
2023-08-01,209197134.0
2023-09-01,235434557.0
2023-10-01,282450623.0
2023-11-01,382271588.0
2023-12-01,408451195.0
2024-01-01,455818530.0
2024-02-01,495876258.0
2024-03-01,503079784.0
2024-04-01,514512301.0
