Tarih,TP_PB_S02
2000-01-01,8271302.0
2000-02-01,8846612.0
2000-03-01,9666383.0
2000-04-01,9929988.0
2000-05-01,11536422.0
2000-06-01,10812101.0
2000-07-01,10884631.0
2000-08-01,10635093.0
2000-09-01,11514092.0
2000-10-01,11787052.0
2000-11-01,11874682.0
2000-12-01,12587870.0
2001-01-01,12693164.0
2001-02-01,13544137.0
2001-03-01,13066904.0
2001-04-01,12658306.0
2001-05-01,12900894.0
2001-06-01,15209120.0
2001-07-01,16243812.0
2001-08-01,16200475.0
2001-09-01,16989372.0
2001-10-01,19270923.0
2001-11-01,18026563.0
2001-12-01,19735315.0
2002-01-01,18484374.0
2002-02-01,19646485.0
2002-03-01,18726765.0
2002-04-01,18787345.0
2002-05-01,19837931.0
2002-06-01,21150471.0
2002-07-01,23681718.0
2002-08-01,23163570.0
2002-09-01,24862166.0
2002-10-01,26007889.0
2002-11-01,24484048.0
2002-12-01,27372094.0
2003-01-01,26333844.0
2003-02-01,25726071.0
2003-03-01,24970267.0
2003-04-01,25773708.0
2003-05-01,24895121.0
2003-06-01,26445831.0
2003-07-01,27263112.0
2003-08-01,26378559.0
2003-09-01,28608433.0
2003-10-01,29822493.0
2003-11-01,30676552.0
2003-12-01,33166257.0
2004-01-01,28075420.0
2004-02-01,30669787.0
2004-03-01,30513310.0
2004-04-01,31364438.0
2004-05-01,32906067.0
2004-06-01,36118171.0
2004-07-01,33674528.0
2004-08-01,36787652.0
2004-09-01,37871014.0
2004-10-01,39439941.0
2004-11-01,38474639.0
2004-12-01,40415163.0
2005-01-01,37175509.0
2005-02-01,40308906.0
2005-03-01,38420209.0
2005-04-01,39303167.0
2005-05-01,39516391.0
2005-06-01,41478987.0
2005-07-01,40198917.0
2005-08-01,42925012.0
2005-09-01,44107718.0
2005-10-01,42387143.0
2005-11-01,44309120.0
2005-12-01,49083088.0
2006-01-01,42911142.0
2006-02-01,45466228.0
2006-03-01,44063619.0
2006-04-01,44653909.0
2006-05-01,56332842.0
2006-06-01,54876194.0
2006-07-01,50115865.0
2006-08-01,50587572.0
2006-09-01,51417767.0
2006-10-01,50698384.0
2006-11-01,49390711.0
2006-12-01,52242273.0
2007-01-01,49168603.0
2007-02-01,51779461.0
2007-03-01,49660798.0
2007-04-01,55066714.0
2007-05-01,50682552.0
2007-06-01,54038342.0
2007-07-01,57616894.0
2007-08-01,53305740.0
2007-09-01,51588236.0
2007-10-01,52050276.0
2007-11-01,51952999.0
2007-12-01,56654715.0
2008-01-01,53184538.0
2008-02-01,53661286.0
2008-03-01,59390753.0
2008-04-01,62366586.0
2008-05-01,57535321.0
2008-06-01,64375294.0
2008-07-01,62542262.0
2008-08-01,55811048.0
2008-09-01,64164681.0
2008-10-01,59232664.0
2008-11-01,56499371.0
2008-12-01,61171962.0
2009-01-01,56480577.0
2009-02-01,63265243.0
2009-03-01,62059076.0
2009-04-01,61850610.0
2009-05-01,62787001.0
2009-06-01,64416094.0
2009-07-01,69297501.0
2009-08-01,64946421.0
2009-09-01,74881651.0
2009-10-01,69303582.0
2009-11-01,73678520.0
2009-12-01,76816602.0
2010-01-01,72174367.0
2010-02-01,79292821.0
2010-03-01,76485921.0
2010-04-01,75402457.0
2010-05-01,75509214.0
2010-06-01,85826040.0
2010-07-01,86079935.0
2010-08-01,80955607.0
2010-09-01,86483277.0
2010-10-01,89789945.0
2010-11-01,85582635.0
2010-12-01,95748031.0
2011-01-01,89660834.0
2011-02-01,96882268.0
2011-03-01,95057109.0
2011-04-01,93898920.0
2011-05-01,97827746.0
2011-06-01,107300719.0
2011-07-01,103972822.0
2011-08-01,115999539.0
2011-09-01,111290066.0
2011-10-01,109223421.0
2011-11-01,114769410.0
2011-12-01,117131101.0
2012-01-01,110282001.0
2012-02-01,115250439.0
2012-03-01,111178596.0
2012-04-01,120159315.0
2012-05-01,118522655.0
2012-06-01,120955684.0
2012-07-01,128361529.0
2012-08-01,117667753.0
2012-09-01,123929586.0
2012-10-01,128289159.0
2012-11-01,119267543.0
2012-12-01,133431629.0
2013-01-01,126712214.0
2013-02-01,133203669.0
2013-03-01,134537006.0
2013-04-01,134785652.0
2013-05-01,139178639.0
2013-06-01,147055438.0
2013-07-01,158021214.0
2013-08-01,149631463.0
2013-09-01,162879272.0
2013-10-01,153909114.0
2013-11-01,153513536.0
2013-12-01,169342710.0
2014-01-01,163074047.0
2014-02-01,161673394.0
2014-03-01,169320548.0
2014-04-01,171996285.0
2014-05-01,164036481.0
2014-06-01,185118599.0
2014-07-01,191325686.0
2014-08-01,173497830.0
2014-09-01,188159671.0
2014-10-01,179578440.0
2014-11-01,180608673.0
2014-12-01,191937036.0
2015-01-01,185593228.0
2015-02-01,194677605.0
2015-03-01,198125795.0
2015-04-01,201167659.0
2015-05-01,204417588.0
2015-06-01,214438706.0
2015-07-01,227920192.0
2015-08-01,218108685.0
2015-09-01,241047356.0
2015-10-01,223041880.0
2015-11-01,229571273.0
2015-12-01,226549028.0
2016-01-01,224749886.0
2016-02-01,238110737.0
2016-03-01,236358047.0
2016-04-01,235704671.0
2016-05-01,238046328.0
2016-06-01,250490831.0
2016-07-01,244257752.0
2016-08-01,245092639.0
2016-09-01,247117134.0
2016-10-01,252743455.0
2016-11-01,281398902.0
2016-12-01,289878663.0
2017-01-01,291281274.0
2017-02-01,300483047.0
2017-03-01,312311415.0
2017-04-01,324629267.0
2017-05-01,320914058.0
2017-06-01,323056637.0
2017-07-01,321532705.0
2017-08-01,318297096.0
2017-09-01,330479890.0
2017-10-01,327103773.0
2017-11-01,332230763.0
2017-12-01,341874322.0
2018-01-01,332975969.0
2018-02-01,350438947.0
2018-03-01,349875793.0
2018-04-01,373518631.0
2018-05-01,392864412.0
2018-06-01,401751562.0
2018-07-01,402073425.0
2018-08-01,474037762.0
2018-09-01,444224300.0
2018-10-01,417845148.0
2018-11-01,402434469.0
2018-12-01,422120994.0
2019-01-01,415612804.0
2019-02-01,440665980.0
2019-03-01,480380881.0
2019-04-01,470633692.0
2019-05-01,491541493.0
2019-06-01,494917017.0
2019-07-01,487535332.0
2019-08-01,511839345.0
2019-09-01,524252767.0
2019-10-01,529148229.0
2019-11-01,538471266.0
2019-12-01,576553767.0
2020-01-01,594188994.0
2020-02-01,639711955.0
2020-03-01,680402816.0
2020-04-01,788910482.0
2020-05-01,820278205.0
2020-06-01,877345739.0
2020-07-01,933580757.0
2020-08-01,968395457.0
2020-09-01,1002605569.0
2020-10-01,1048317844.0
2020-11-01,1007813018.0
2020-12-01,994288642.0
2021-01-01,979355761.0
2021-02-01,997263717.0
