Tarih,TP_PB_S03
2000-01-01,38281623.0
2000-02-01,38545531.0
2000-03-01,40247593.0
2000-04-01,41196591.0
2000-05-01,41105533.0
2000-06-01,44910045.0
2000-07-01,45942301.0
2000-08-01,46958948.0
2000-09-01,48720487.0
2000-10-01,49520497.0
2000-11-01,50195754.0
2000-12-01,52355113.0
2001-01-01,53246676.0
2001-02-01,59487774.0
2001-03-01,65549040.0
2001-04-01,67385499.0
2001-05-01,67838610.0
2001-06-01,75899160.0
2001-07-01,74826208.0
2001-08-01,80266360.0
2001-09-01,89282946.0
2001-10-01,92975249.0
2001-11-01,88571416.0
2001-12-01,90786261.0
2002-01-01,84760727.0
2002-02-01,87452137.0
2002-03-01,88360891.0
2002-04-01,88622890.0
2002-05-01,92830965.0
2002-06-01,98570294.0
2002-07-01,103083715.0
2002-08-01,101628042.0
2002-09-01,104302369.0
2002-10-01,105525782.0
2002-11-01,102459568.0
2002-12-01,108203094.0
2003-01-01,109565640.0
2003-02-01,107029462.0
2003-03-01,110053151.0
2003-04-01,105588202.0
2003-05-01,104108989.0
2003-06-01,105758876.0
2003-07-01,106816464.0
2003-08-01,108084186.0
2003-09-01,111600080.0
2003-10-01,117113206.0
2003-11-01,118194316.0
2003-12-01,121018838.0
2004-01-01,122955060.0
2004-02-01,123215430.0
2004-03-01,125373108.0
2004-04-01,128734233.0
2004-05-01,131777794.0
2004-06-01,132529874.0
2004-07-01,133053506.0
2004-08-01,136621777.0
2004-09-01,140906285.0
2004-10-01,142740497.0
2004-11-01,143641735.0
2004-12-01,146874357.0
2005-01-01,142372188.0
2005-02-01,143045771.0
2005-03-01,149934554.0
2005-04-01,152296309.0
2005-05-01,154501545.0
2005-06-01,160559116.0
2005-07-01,162981207.0
2005-08-01,167726475.0
2005-09-01,173608864.0
2005-10-01,174143230.0
2005-11-01,178014570.0
2005-12-01,184344791.0
2006-01-01,184544519.0
2006-02-01,190331919.0
2006-03-01,199357415.0
2006-04-01,197467692.0
2006-05-01,209569149.0
2006-06-01,213330982.0
2006-07-01,208482452.0
2006-08-01,210547815.0
2006-09-01,219198570.0
2006-10-01,217800102.0
2006-11-01,226700018.0
2006-12-01,233245558.0
2007-01-01,237652249.0
2007-02-01,239548448.0
2007-03-01,245000677.0
2007-04-01,242547587.0
2007-05-01,249245502.0
2007-06-01,253696994.0
2007-07-01,255012861.0
2007-08-01,259661797.0
2007-09-01,260438999.0
2007-10-01,259968344.0
2007-11-01,263181789.0
2007-12-01,272226666.0
2008-01-01,273379982.0
2008-02-01,281570141.0
2008-03-01,298821488.0
2008-04-01,294873454.0
2008-05-01,295246565.0
2008-06-01,304847871.0
2008-07-01,304133074.0
2008-08-01,304953656.0
2008-09-01,316497154.0
2008-10-01,332138548.0
2008-11-01,342458637.0
2008-12-01,354154899.0
2009-01-01,355214008.0
2009-02-01,357397222.0
2009-03-01,361256408.0
2009-04-01,351553686.0
2009-05-01,353833225.0
2009-06-01,362837962.0
2009-07-01,359853320.0
2009-08-01,364340276.0
2009-09-01,369586251.0
2009-10-01,374552504.0
2009-11-01,379189852.0
2009-12-01,387052329.0
2010-01-01,388974832.0
2010-02-01,396890230.0
2010-03-01,407167060.0
2010-04-01,401406912.0
2010-05-01,408770047.0
2010-06-01,422301257.0
2010-07-01,423953683.0
2010-08-01,426587924.0
2010-09-01,428951648.0
2010-10-01,432883426.0
2010-11-01,442987233.0
2010-12-01,460155004.0
2011-01-01,461975727.0
2011-02-01,477479883.0
2011-03-01,489135464.0
2011-04-01,487004029.0
2011-05-01,496229575.0
2011-06-01,500570966.0
2011-07-01,509589790.0
2011-08-01,513655884.0
2011-09-01,521300077.0
2011-10-01,517024724.0
2011-11-01,520915010.0
2011-12-01,529124538.0
2012-01-01,526576415.0
2012-02-01,529391141.0
2012-03-01,537950189.0
2012-04-01,538360711.0
2012-05-01,547475356.0
2012-06-01,552845790.0
2012-07-01,556014292.0
2012-08-01,561909598.0
2012-09-01,566229290.0
2012-10-01,571787117.0
2012-11-01,577770030.0
2012-12-01,585521007.0
2013-01-01,591112765.0
2013-02-01,596787559.0
2013-03-01,605984037.0
2013-04-01,609168327.0
2013-05-01,626081701.0
2013-06-01,631076034.0
2013-07-01,653012052.0
2013-08-01,665326799.0
2013-09-01,675060246.0
2013-10-01,679607168.0
2013-11-01,691006895.0
2013-12-01,710102923.0
2014-01-01,732716692.0
2014-02-01,736494608.0
2014-03-01,728420368.0
2014-04-01,734609849.0
2014-05-01,733438494.0
2014-06-01,732514065.0
2014-07-01,752459390.0
2014-08-01,760209781.0
2014-09-01,775457866.0
2014-10-01,779706828.0
2014-11-01,783130356.0
2014-12-01,800136565.0
2015-01-01,811363462.0
2015-02-01,833595574.0
2015-03-01,847689556.0
2015-04-01,871362781.0
2015-05-01,874111290.0
2015-06-01,879350376.0
2015-07-01,906586038.0
2015-08-01,928383124.0
2015-09-01,946834188.0
2015-10-01,938158788.0
2015-11-01,931962872.0
2015-12-01,943912894.0
2016-01-01,951167929.0
2016-02-01,961923372.0
2016-03-01,974569622.0
2016-04-01,970112423.0
2016-05-01,995469775.0
2016-06-01,983511005.0
2016-07-01,1012292573.0
2016-08-01,1008957499.0
2016-09-01,1030001337.0
2016-10-01,1048103440.0
2016-11-01,1086941604.0
2016-12-01,1097965300.0
2017-01-01,1137395707.0
2017-02-01,1124530218.0
2017-03-01,1142521387.0
2017-04-01,1158815216.0
2017-05-01,1173127040.0
2017-06-01,1195449996.0
2017-07-01,1199646475.0
2017-08-01,1206017655.0
2017-09-01,1222118305.0
2017-10-01,1273890701.0
2017-11-01,1293973825.0
2017-12-01,1285394291.0
2018-01-01,1299691013.0
2018-02-01,1314372500.0
2018-03-01,1347638291.0
2018-04-01,1375505796.0
2018-05-01,1414172638.0
2018-06-01,1416114398.0
2018-07-01,1477020595.0
2018-08-01,1635997248.0
2018-09-01,1591820617.0
2018-10-01,1552298336.0
2018-11-01,1511146508.0
2018-12-01,1530830088.0
2019-01-01,1549510795.0
2019-02-01,1571010378.0
2019-03-01,1634066073.0
2019-04-01,1698515718.0
2019-05-01,1665146888.0
2019-06-01,1654939190.0
2019-07-01,1662921831.0
2019-08-01,1715248498.0
2019-09-01,1700854089.0
2019-10-01,1749740649.0
2019-11-01,1765763054.0
2019-12-01,1824701781.0
2020-01-01,1828560257.0
2020-02-01,1877519184.0
2020-03-01,1932073882.0
2020-04-01,2002194600.0
2020-05-01,1964339065.0
2020-06-01,1983623008.0
2020-07-01,2066523302.0
2020-08-01,2131798999.0
2020-09-01,2212488285.0
2020-10-01,2303466672.0
2020-11-01,2233937251.0
2020-12-01,2240578750.0
2021-01-01,2223745178.0
2021-02-01,2235624596.0
2021-03-01,2367798982.0
2021-04-01,2388438354.0
2021-05-01,2419453786.0
2021-06-01,2445268225.0
2021-07-01,2456480725.0
2021-08-01,2479625397.0
2021-09-01,2594406966.0
2021-10-01,2719950809.0
2021-11-01,3134250289.0
