Tarih,TP_PB_S09
2000-01-01,595997.0
2000-02-01,677692.0
2000-03-01,713582.0
2000-04-01,806505.0
2000-05-01,932253.0
2000-06-01,964661.0
2000-07-01,954325.0
2000-08-01,1147111.0
2000-09-01,1052635.0
2000-10-01,1055952.0
2000-11-01,1005157.0
2000-12-01,1273538.0
2001-01-01,1201128.0
2001-02-01,1465742.0
2001-03-01,1428285.0
2001-04-01,1424225.0
2001-05-01,1083979.0
2001-06-01,1401695.0
2001-07-01,1131919.0
2001-08-01,1230363.0
2001-09-01,1391299.0
2001-10-01,1411518.0
2001-11-01,1317321.0
2001-12-01,1327316.0
2002-01-01,1158364.0
2002-02-01,1131730.0
2002-03-01,1032973.0
2002-04-01,1025500.0
2002-05-01,1065442.0
2002-06-01,1144118.0
2002-07-01,1220487.0
2002-08-01,1185863.0
2002-09-01,1215942.0
2002-10-01,2263874.0
2002-11-01,2372550.0
2002-12-01,1482304.0
2003-01-01,1530514.0
2003-02-01,1448298.0
2003-03-01,1400866.0
2003-04-01,1382977.0
2003-05-01,1408066.0
2003-06-01,1449761.0
2003-07-01,1576661.0
2003-08-01,1587196.0
2003-09-01,1619219.0
2003-10-01,1728006.0
2003-11-01,1674326.0
2003-12-01,1701985.0
2004-01-01,1600642.0
2004-02-01,1508007.0
2004-03-01,1547902.0
2004-04-01,1556001.0
2004-05-01,1856198.0
2004-06-01,1907616.0
2004-07-01,1990550.0
2004-08-01,1909527.0
2004-09-01,1979259.0
2004-10-01,1997962.0
2004-11-01,1949713.0
2004-12-01,1877228.0
2005-01-01,1803272.0
2005-02-01,1755109.0
2005-03-01,1787639.0
2005-04-01,1771947.0
2005-05-01,1719208.0
2005-06-01,1771183.0
2005-07-01,1857576.0
2005-08-01,1730793.0
2005-09-01,1720000.0
2005-10-01,1837834.0
2005-11-01,1903582.0
2005-12-01,1845249.0
2006-01-01,1766870.0
2006-02-01,1784169.0
2006-03-01,1978098.0
2006-04-01,2167814.0
2006-05-01,2241119.0
2006-06-01,2077620.0
2006-07-01,2312134.0
2006-08-01,2215983.0
2006-09-01,2356642.0
2006-10-01,2255250.0
2006-11-01,2328637.0
2006-12-01,2517078.0
2007-01-01,2345563.0
2007-02-01,2334628.0
2007-03-01,2400938.0
2007-04-01,2344248.0
2007-05-01,2354280.0
2007-06-01,2443925.0
2007-07-01,2352510.0
2007-08-01,2370355.0
2007-09-01,2449603.0
2007-10-01,2331840.0
2007-11-01,2376623.0
2007-12-01,2550713.0
2008-01-01,2289269.0
2008-02-01,2422488.0
2008-03-01,2379658.0
2008-04-01,2571985.0
2008-05-01,2682925.0
2008-06-01,2642222.0
2008-07-01,2624871.0
2008-08-01,2564659.0
2008-09-01,2723615.0
2008-10-01,3005272.0
2008-11-01,3044021.0
2008-12-01,2932885.0
2009-01-01,2756909.0
2009-02-01,2757335.0
2009-03-01,2960026.0
2009-04-01,2792871.0
2009-05-01,2777908.0
2009-06-01,2932460.0
2009-07-01,2774549.0
2009-08-01,2661414.0
2009-09-01,2815761.0
2009-10-01,2521319.0
2009-11-01,2497679.0
2009-12-01,2518511.0
2010-01-01,2118079.0
2010-02-01,2159702.0
2010-03-01,2102166.0
2010-04-01,2078736.0
2010-05-01,2152581.0
2010-06-01,2393874.0
2010-07-01,2469265.0
2010-08-01,2385179.0
2010-09-01,2413350.0
2010-10-01,2657817.0
2010-11-01,2382298.0
2010-12-01,2410116.0
2011-01-01,2362589.0
2011-02-01,2637447.0
2011-03-01,2875944.0
2011-04-01,3105119.0
2011-05-01,3239784.0
2011-06-01,3373009.0
2011-07-01,3382039.0
2011-08-01,3626868.0
2011-09-01,3903116.0
2011-10-01,3612012.0
2011-11-01,3855160.0
2011-12-01,3891498.0
2012-01-01,3770976.0
2012-02-01,3854653.0
2012-03-01,3985907.0
2012-04-01,4101940.0
2012-05-01,4583524.0
2012-06-01,4499452.0
2012-07-01,4489554.0
2012-08-01,4570980.0
2012-09-01,4552499.0
2012-10-01,4457781.0
2012-11-01,4247892.0
2012-12-01,4301741.0
2013-01-01,4285866.0
2013-02-01,4323843.0
2013-03-01,4341789.0
2013-04-01,4261648.0
2013-05-01,4188375.0
2013-06-01,4569151.0
2013-07-01,5042717.0
2013-08-01,5431924.0
2013-09-01,5410459.0
2013-10-01,5527238.0
2013-11-01,5499585.0
2013-12-01,5553541.0
2014-01-01,5697536.0
2014-02-01,5609878.0
2014-03-01,5611655.0
2014-04-01,5541625.0
2014-05-01,5460878.0
2014-06-01,5409036.0
2014-07-01,5217277.0
2014-08-01,5257793.0
2014-09-01,5068087.0
2014-10-01,4778643.0
2014-11-01,4665133.0
2014-12-01,4733767.0
2015-01-01,4587411.0
2015-02-01,4595763.0
2015-03-01,4479042.0
2015-04-01,4733774.0
2015-05-01,4761583.0
2015-06-01,5361783.0
2015-07-01,5608346.0
2015-08-01,5859797.0
2015-09-01,6167759.0
2015-10-01,5996019.0
2015-11-01,5902376.0
2015-12-01,6283852.0
2016-01-01,6214479.0
2016-02-01,6142381.0
2016-03-01,6548547.0
2016-04-01,6770164.0
2016-05-01,6640842.0
2016-06-01,6802347.0
2016-07-01,7266032.0
2016-08-01,7259044.0
2016-09-01,7502725.0
2016-10-01,7425018.0
2016-11-01,7793220.0
2016-12-01,8189126.0
2017-01-01,8518584.0
2017-02-01,7966364.0
2017-03-01,7915635.0
2017-04-01,8323827.0
2017-05-01,8323402.0
2017-06-01,7768198.0
2017-07-01,8830939.0
2017-08-01,8949580.0
2017-09-01,8908289.0
2017-10-01,9624475.0
2017-11-01,10447332.0
2017-12-01,10594331.0
2018-01-01,10224962.0
2018-02-01,10112591.0
2018-03-01,10717133.0
2018-04-01,11237911.0
2018-05-01,12561608.0
2018-06-01,14090060.0
2018-07-01,16927228.0
2018-08-01,21183135.0
2018-09-01,18739847.0
2018-10-01,17820173.0
2018-11-01,18614303.0
2018-12-01,19286293.0
2019-01-01,17338045.0
2019-02-01,18372461.0
2019-03-01,19751748.0
2019-04-01,20651952.0
2019-05-01,19889799.0
2019-06-01,19930323.0
2019-07-01,21028030.0
2019-08-01,21299718.0
2019-09-01,22175944.0
2019-10-01,21194014.0
2019-11-01,20975670.0
2019-12-01,22440228.0
2020-01-01,22876736.0
2020-02-01,19752556.0
2020-03-01,19950403.0
2020-04-01,20934023.0
2020-05-01,23196373.0
2020-06-01,21908290.0
2020-07-01,23938427.0
2020-08-01,23036885.0
2020-09-01,23416784.0
2020-10-01,24464153.0
2020-11-01,22046920.0
2020-12-01,21989375.0
2021-01-01,20655323.0
2021-02-01,20979515.0
2021-03-01,22532395.0
2021-04-01,22557301.0
2021-05-01,25530181.0
2021-06-01,24777803.0
2021-07-01,22768746.0
2021-08-01,21439022.0
2021-09-01,23160107.0
2021-10-01,23621732.0
2021-11-01,28777316.0
2021-12-01,29986468.0
2022-01-01,30852470.0
2022-02-01,30964690.0
2022-03-01,32626953.0
2022-04-01,28596593.0
2022-05-01,32623225.0
2022-06-01,33914288.0
2022-07-01,35388481.0
2022-08-01,36476017.0
2022-09-01,36128225.0
2022-10-01,36165347.0
2022-11-01,36808564.0
2022-12-01,37178605.0
2023-01-01,37772580.0
2023-02-01,35966527.0
2023-03-01,40222284.0
2023-04-01,31700563.0
2023-05-01,35673158.0
2023-06-01,40362529.0
2023-07-01,44590546.0
2023-08-01,34517596.0
2023-09-01,33474878.0
2023-10-01,31509920.0
2023-11-01,42892747.0
2023-12-01,38078762.0
2024-01-01,41656394.0
2024-02-01,47179763.0
2024-03-01,45712108.0
2024-04-01,38728180.0
2024-05-01,38544593.0
2024-06-01,38066045.0
2024-07-01,38197858.0
2024-08-01,56122366.0
2024-09-01,49341465.0
2024-10-01,58982353.0
2024-11-01,46017636.0
2024-12-01,55766239.0
2025-01-01,52274490.0
2025-02-01,53938239.0
2025-03-01,63858894.0
2025-04-01,73386149.0
2025-05-01,61061198.0
2025-06-01,70499681.0
2025-07-01,71022029.0
2025-08-01,74374717.0
