Tarih,TP_PB_S32
2000-01-01,1401864.0
2000-02-01,1665035.0
2000-03-01,1687841.0
2000-04-01,1672200.0
2000-05-01,1604659.0
2000-06-01,2225770.0
2000-07-01,3100398.0
2000-08-01,2970248.0
2000-09-01,3119753.0
2000-10-01,3179427.0
2000-11-01,3224896.0
2000-12-01,3043900.0
2001-01-01,3038604.0
2001-02-01,2963622.0
2001-03-01,2712021.0
2001-04-01,2916431.0
2001-05-01,2852544.0
2001-06-01,3016025.0
2001-07-01,2655762.0
2001-08-01,2502387.0
2001-09-01,2773385.0
2001-10-01,2752124.0
2001-11-01,3025269.0
2001-12-01,3365989.0
2002-01-01,3530082.0
2002-02-01,3459090.0
2002-03-01,3377723.0
2002-04-01,3634434.0
2002-05-01,3646701.0
2002-06-01,3763804.0
2002-07-01,1437019.0
2002-08-01,1386029.0
2002-09-01,1072457.0
2002-10-01,1305236.0
2002-11-01,1199848.0
2002-12-01,1286166.0
2003-01-01,1365141.0
2003-02-01,881571.0
2003-03-01,290664.0
2003-04-01,786073.0
2003-05-01,972498.0
2003-06-01,795681.0
2003-07-01,753233.0
2003-08-01,1121942.0
2003-09-01,1233756.0
2003-10-01,1428083.0
2003-11-01,1411346.0
2003-12-01,1975004.0
2004-01-01,2033757.0
2004-02-01,2128200.0
2004-03-01,2855100.0
2004-04-01,2160374.0
2004-05-01,1264795.0
2004-06-01,1406076.0
2004-07-01,1771310.0
2004-08-01,2211884.0
2004-09-01,2903936.0
2004-10-01,2992934.0
2004-11-01,2977086.0
2004-12-01,3721987.0
2005-01-01,18752686.0
2005-02-01,18790700.0
2005-03-01,18324539.0
2005-04-01,17783650.0
2005-05-01,17732159.0
2005-06-01,17324784.0
2005-07-01,17633192.0
2005-08-01,17544431.0
2005-09-01,17683414.0
2005-10-01,17577814.0
2005-11-01,19499780.0
2005-12-01,18674671.0
2006-01-01,19270501.0
2006-02-01,19795784.0
2006-03-01,16398950.0
2006-04-01,16945253.0
2006-05-01,13999983.0
2006-06-01,12017353.0
2006-07-01,13269538.0
2006-08-01,13193950.0
2006-09-01,13156832.0
2006-10-01,13139681.0
2006-11-01,12915422.0
2006-12-01,11069456.0
2007-01-01,13275368.0
2007-02-01,12952717.0
2007-03-01,12915737.0
2007-04-01,13336511.0
2007-05-01,13839854.0
2007-06-01,13222842.0
2007-07-01,13254103.0
2007-08-01,12824984.0
2007-09-01,13771469.0
2007-10-01,14106453.0
2007-11-01,13544029.0
2007-12-01,13706472.0
2008-01-01,12875320.0
2008-02-01,12564492.0
2008-03-01,11246298.0
2008-04-01,12177080.0
2008-05-01,11568900.0
2008-06-01,10251441.0
2008-07-01,12038989.0
2008-08-01,12638176.0
2008-09-01,11912623.0
2008-10-01,9791486.0
2008-11-01,10489635.0
2008-12-01,11655806.0
2009-01-01,11754897.0
2009-02-01,11389270.0
2009-03-01,11939208.0
2009-04-01,13249733.0
2009-05-01,13237407.0
2009-06-01,13309854.0
2009-07-01,14112856.0
2009-08-01,15146088.0
2009-09-01,16105432.0
2009-10-01,16422314.0
2009-11-01,16022065.0
2009-12-01,16521986.0
2010-01-01,16882056.0
2010-02-01,16377606.0
2010-03-01,16982084.0
2010-04-01,16481070.0
2010-05-01,15519918.0
2010-06-01,15092561.0
2010-07-01,15766933.0
2010-08-01,16115846.0
2010-09-01,17665253.0
2010-10-01,19219721.0
2010-11-01,18947472.0
2010-12-01,19127718.0
2011-01-01,16991023.0
2011-02-01,16389779.0
2011-03-01,17619300.0
2011-04-01,18143360.0
2011-05-01,17637672.0
2011-06-01,17157660.0
2011-07-01,16663720.0
2011-08-01,15569348.0
2011-09-01,15274233.0
2011-10-01,14984490.0
2011-11-01,13682202.0
2011-12-01,13127497.0
2012-01-01,14571742.0
2012-02-01,15820256.0
2012-03-01,16536523.0
2012-04-01,16863455.0
2012-05-01,15920368.0
2012-06-01,18139084.0
2012-07-01,19573126.0
2012-08-01,19702375.0
2012-09-01,20127431.0
2012-10-01,21442836.0
2012-11-01,22661438.0
2012-12-01,25667487.0
2013-01-01,26106514.0
2013-02-01,25805562.0
2013-03-01,25252090.0
2013-04-01,26546751.0
2013-05-01,25004324.0
2013-06-01,18120879.0
2013-07-01,16336931.0
2013-08-01,13670648.0
2013-09-01,16612747.0
2013-10-01,18836573.0
2013-11-01,17087181.0
2013-12-01,15585319.0
2014-01-01,15854367.0
2014-02-01,16403607.0
2014-03-01,19910552.0
2014-04-01,23442472.0
2014-05-01,24729755.0
2014-06-01,24828627.0
2014-07-01,25353618.0
2014-08-01,24570949.0
2014-09-01,23195578.0
2014-10-01,25696872.0
2014-11-01,28173726.0
2014-12-01,28166740.0
2015-01-01,29168064.0
2015-02-01,27150087.0
2015-03-01,26291965.0
2015-04-01,24662891.0
2015-05-01,26317371.0
2015-06-01,26703439.0
2015-07-01,25711072.0
2015-08-01,26983671.0
2015-09-01,23318628.0
2015-10-01,27482185.0
2015-11-01,27745417.0
2015-12-01,28832350.0
2016-01-01,28379933.0
2016-02-01,28991154.0
2016-03-01,32180134.0
2016-04-01,34257567.0
2016-05-01,31931130.0
2016-06-01,32178338.0
2016-07-01,29988516.0
2016-08-01,30870308.0
2016-09-01,30633005.0
2016-10-01,29465923.0
2016-11-01,25791133.0
2016-12-01,28685279.0
2017-01-01,32715457.0
2017-02-01,34111228.0
2017-03-01,35692555.0
2017-04-01,37684748.0
2017-05-01,38333775.0
2017-06-01,37948573.0
2017-07-01,38758872.0
2017-08-01,37915348.0
2017-09-01,38752527.0
2017-10-01,38777951.0
2017-11-01,37116511.0
2017-12-01,40503288.0
2018-01-01,44136039.0
2018-02-01,43295988.0
2018-03-01,37319470.0
2018-04-01,37148462.0
2018-05-01,36584898.0
2018-06-01,34264942.0
2018-07-01,32802140.0
2018-08-01,27556708.0
2018-09-01,34455781.0
2018-10-01,32013700.0
2018-11-01,33462405.0
2018-12-01,33799476.0
2019-01-01,34327287.0
2019-02-01,35988199.0
2019-03-01,29170403.0
2019-04-01,32474611.0
2019-05-01,29123717.0
2019-06-01,33837183.0
2019-07-01,34923398.0
2019-08-01,32609121.0
2019-09-01,38085506.0
2019-10-01,38869613.0
2019-11-01,42162925.0
2019-12-01,48472662.0
2020-01-01,52552101.0
2020-02-01,48246812.0
2020-03-01,38214947.0
2020-04-01,44268974.0
2020-05-01,57989755.0
2020-06-01,66020505.0
2020-07-01,65601728.0
2020-08-01,64137410.0
2020-09-01,62384259.0
2020-10-01,61665192.0
2020-11-01,67694078.0
2020-12-01,74440317.0
2021-01-01,75254589.0
2021-02-01,75289584.0
2021-03-01,69226294.0
2021-04-01,74872697.0
2021-05-01,74435086.0
2021-06-01,76257833.0
2021-07-01,75069052.0
2021-08-01,77366395.0
2021-09-01,76507169.0
2021-10-01,77343207.0
2021-11-01,90518904.0
2021-12-01,98478457.0
2022-01-01,115511483.0
2022-02-01,136892161.0
2022-03-01,202694445.0
2022-04-01,205855760.0
2022-05-01,226353999.0
2022-06-01,207966984.0
2022-07-01,190806587.0
2022-08-01,236260687.0
2022-09-01,246804893.0
2022-10-01,271468323.0
2022-11-01,277003457.0
2022-12-01,307147124.0
2023-01-01,281533669.0
2023-02-01,326021466.0
2023-03-01,362526963.0
2023-04-01,302522673.0
2023-05-01,300449003.0
2023-06-01,320079881.0
2023-07-01,374422745.0
2023-08-01,379415159.0
2023-09-01,329375329.0
2023-10-01,320674674.0
2023-11-01,298463458.0
2023-12-01,382708779.0
2024-01-01,374516272.0
2024-02-01,378877943.0
2024-03-01,393158808.0
2024-04-01,385946780.0
2024-05-01,390983232.0
2024-06-01,398169731.0
2024-07-01,401164232.0
2024-08-01,392346997.0
2024-09-01,408757873.0
2024-10-01,374896103.0
2024-11-01,390322503.0
2024-12-01,461310787.0
2025-01-01,492559614.0
2025-02-01,487180080.0
2025-03-01,469404119.0
2025-04-01,448746344.0
2025-05-01,478231834.0
2025-06-01,534806674.0
2025-07-01,555042474.0
2025-08-01,566257897.0
