Tarih,TP_PB_K06
2000-01-01,2104.0
2000-02-01,2886.0
2000-03-01,1749.0
2000-04-01,1797.0
2000-05-01,1733.0
2000-06-01,1090.0
2000-07-01,1337.0
2000-08-01,690.0
2000-09-01,1070.0
2000-10-01,996.0
2000-11-01,797.0
2000-12-01,1195.0
2001-01-01,392.0
2001-02-01,666.0
2001-03-01,2335.0
2001-04-01,441.0
2001-05-01,1554.0
2001-06-01,797.0
2001-07-01,531.0
2001-08-01,299.0
2001-09-01,2633.0
2001-10-01,3316.0
2001-11-01,6626.0
2001-12-01,5314.0
2002-01-01,12729.0
2002-02-01,1291.0
2002-03-01,475.0
2002-04-01,787.0
2002-05-01,656.0
2002-06-01,989.0
2002-07-01,4709.0
2002-08-01,5181.0
2002-09-01,3731.0
2002-10-01,2581.0
2002-11-01,137.0
2002-12-01,1089.0
2003-01-01,270.0
2003-02-01,1491.0
2003-03-01,722.0
2003-04-01,474.0
2003-05-01,871.0
2003-06-01,3385.0
2003-07-01,247.0
2003-08-01,317.0
2003-09-01,734.0
2003-10-01,1473.0
2003-11-01,1379.0
2003-12-01,299.0
2004-01-01,4456.0
2004-02-01,1742.0
2004-03-01,36.0
2004-04-01,301.0
2004-05-01,3359.0
2004-06-01,3154.0
2004-07-01,3828.0
2004-08-01,4062.0
2004-09-01,3154.0
2004-10-01,3558.0
2004-11-01,6186.0
2004-12-01,3114.0
2005-01-01,3632.0
2005-02-01,1235.0
2005-03-01,1447.0
2005-04-01,3627.0
2005-05-01,1607.0
2005-06-01,2222.0
2005-07-01,1819.0
2005-08-01,3549.0
2005-09-01,4916.0
2005-10-01,4012.0
2005-11-01,5182.0
2005-12-01,60643.0
2006-01-01,73959.0
2006-02-01,77623.0
2006-03-01,87311.0
2006-04-01,79656.0
2006-05-01,288019.0
2006-06-01,355328.0
2006-07-01,244369.0
2006-08-01,184022.0
2006-09-01,210680.0
2006-10-01,132192.0
2006-11-01,156504.0
2006-12-01,133630.0
2007-01-01,173131.0
2007-02-01,211608.0
2007-03-01,147683.0
2007-04-01,124198.0
2007-05-01,72677.0
2007-06-01,28138.0
2007-07-01,76274.0
2007-08-01,51933.0
2007-09-01,162243.0
2007-10-01,121825.0
2007-11-01,260328.0
2007-12-01,323174.0
2008-01-01,237939.0
2008-02-01,234695.0
2008-03-01,231017.0
2008-04-01,134852.0
2008-05-01,119158.0
2008-06-01,169672.0
2008-07-01,115916.0
2008-08-01,64845.0
2008-09-01,147681.0
2008-10-01,197027.0
2008-11-01,347367.0
2008-12-01,348073.0
2009-01-01,471216.0
2009-02-01,331832.0
2009-03-01,342067.0
2009-04-01,334723.0
2009-05-01,352839.0
2009-06-01,361132.0
2009-07-01,272667.0
2009-08-01,261935.0
2009-09-01,227041.0
2009-10-01,299420.0
2009-11-01,418906.0
2009-12-01,572376.0
2010-01-01,514671.0
2010-02-01,503488.0
2010-03-01,321359.0
2010-04-01,311025.0
2010-05-01,337709.0
2010-06-01,393306.0
2010-07-01,372651.0
2010-08-01,534517.0
2010-09-01,434417.0
2010-10-01,498612.0
2010-11-01,624687.0
2010-12-01,681357.0
2011-01-01,806003.0
2011-02-01,908503.0
2011-03-01,879859.0
2011-04-01,988596.0
2011-05-01,1123260.0
2011-06-01,1702742.0
2011-07-01,1719303.0
2011-08-01,2015842.0
2011-09-01,1354910.0
2011-10-01,1521850.0
2011-11-01,1461386.0
2011-12-01,1361836.0
2012-01-01,1466898.0
2012-02-01,1716529.0
2012-03-01,1188329.0
2012-04-01,1294854.0
2012-05-01,1231905.0
2012-06-01,560446.0
2012-07-01,464680.0
2012-08-01,475171.0
2012-09-01,928692.0
2012-10-01,1000838.0
2012-11-01,982102.0
2012-12-01,539520.0
2013-01-01,514727.0
2013-02-01,484307.0
2013-03-01,522808.0
2013-04-01,358507.0
2013-05-01,387941.0
2013-06-01,283997.0
2013-07-01,438009.0
2013-08-01,602222.0
2013-09-01,717573.0
2013-10-01,609810.0
2013-11-01,385509.0
2013-12-01,364600.0
2014-01-01,1110971.0
2014-02-01,1481779.0
2014-03-01,1063715.0
2014-04-01,571184.0
2014-05-01,361837.0
2014-06-01,1059269.0
2014-07-01,1275694.0
2014-08-01,902056.0
2014-09-01,629221.0
2014-10-01,478104.0
2014-11-01,602730.0
2014-12-01,1127248.0
2015-01-01,2172911.0
2015-02-01,1669336.0
2015-03-01,1848811.0
2015-04-01,1596614.0
2015-05-01,1410233.0
2015-06-01,1843614.0
2015-07-01,895531.0
2015-08-01,1771979.0
2015-09-01,1508607.0
2015-10-01,1648819.0
2015-11-01,708399.0
2015-12-01,814073.0
2016-01-01,1039138.0
2016-02-01,2593997.0
2016-03-01,2011298.0
2016-04-01,1303512.0
2016-05-01,2179185.0
2016-06-01,1936137.0
2016-07-01,2257334.0
2016-08-01,1735837.0
2016-09-01,1808140.0
2016-10-01,962945.0
2016-11-01,1301679.0
2016-12-01,1774143.0
2017-01-01,1445953.0
2017-02-01,892748.0
2017-03-01,869879.0
2017-04-01,1170953.0
2017-05-01,1029764.0
2017-06-01,897007.0
2017-07-01,573067.0
2017-08-01,880201.0
2017-09-01,1696761.0
2017-10-01,1700432.0
2017-11-01,1675864.0
2017-12-01,1195972.0
2018-01-01,1570540.0
2018-02-01,1071946.0
2018-03-01,1410779.0
2018-04-01,1646077.0
2018-05-01,2012489.0
2018-06-01,1503134.0
2018-07-01,1518359.0
2018-08-01,5771157.0
2018-09-01,4468373.0
2018-10-01,3518333.0
2018-11-01,2194469.0
2018-12-01,2771636.0
2019-01-01,2889929.0
2019-02-01,3287899.0
2019-03-01,3066539.0
2019-04-01,3041658.0
2019-05-01,3234467.0
2019-06-01,4114288.0
2019-07-01,3547895.0
2019-08-01,3880652.0
2019-09-01,3995725.0
2019-10-01,5966839.0
2019-11-01,3207574.0
2019-12-01,6055205.0
2020-01-01,10146725.0
2020-02-01,7507158.0
2020-03-01,5176638.0
2020-04-01,6300725.0
2020-05-01,4376211.0
2020-06-01,3342816.0
2020-07-01,3566373.0
2020-08-01,3808922.0
2020-09-01,3936624.0
2020-10-01,4915611.0
2020-11-01,3743266.0
2020-12-01,3410829.0
2021-01-01,2941708.0
2021-02-01,3327706.0
2021-03-01,3525820.0
2021-04-01,4920910.0
2021-05-01,5560576.0
2021-06-01,6413881.0
2021-07-01,6332126.0
2021-08-01,3926207.0
2021-09-01,4675802.0
2021-10-01,6731941.0
2021-11-01,11012794.0
2021-12-01,10249926.0
2022-01-01,15696799.0
2022-02-01,17940501.0
2022-03-01,15824344.0
2022-04-01,15658602.0
2022-05-01,12239790.0
2022-06-01,13546900.0
2022-07-01,12142999.0
2022-08-01,16901933.0
2022-09-01,12965466.0
2022-10-01,11104114.0
2022-11-01,15085701.0
2022-12-01,14463379.0
2023-01-01,14519242.0
2023-02-01,13615623.0
2023-03-01,10539822.0
2023-04-01,9143177.0
2023-05-01,17587740.0
2023-06-01,15086687.0
2023-07-01,18602796.0
2023-08-01,15470168.0
2023-09-01,11388719.0
2023-10-01,17394118.0
2023-11-01,22912596.0
2023-12-01,13710976.0
2024-01-01,18888037.0
2024-02-01,31023165.0
2024-03-01,25320688.0
2024-04-01,24103037.0
2024-05-01,27098302.0
2024-06-01,57883017.0
2024-07-01,111080233.0
2024-08-01,53191656.0
2024-09-01,48296504.0
2024-10-01,41389798.0
2024-11-01,70532378.0
2024-12-01,69736858.0
2025-01-01,85304260.0
2025-02-01,61476514.0
2025-03-01,57210135.0
2025-04-01,60361655.0
2025-05-01,57125366.0
2025-06-01,86142125.0
2025-07-01,63758462.0
2025-08-01,65083701.0
