Tarih,TP_PBD_S02
2000-01-01,134956.0
2000-02-01,134120.0
2000-03-01,164048.0
2000-04-01,159811.0
2000-05-01,184896.0
2000-06-01,188254.0
2000-07-01,183915.0
2000-08-01,195489.0
2000-09-01,226892.0
2000-10-01,220169.0
2000-11-01,240052.0
2000-12-01,306051.0
2001-01-01,177367.0
2001-02-01,204779.0
2001-03-01,172580.0
2001-04-01,198855.0
2001-05-01,256438.0
2001-06-01,249366.0
2001-07-01,269769.0
2001-08-01,287182.0
2001-09-01,316354.0
2001-10-01,285952.0
2001-11-01,330727.0
2001-12-01,442900.0
2002-01-01,275187.0
2002-02-01,236864.0
2002-03-01,172623.0
2002-04-01,188900.0
2002-05-01,240475.0
2002-06-01,230304.0
2002-07-01,227474.0
2002-08-01,225450.0
2002-09-01,257534.0
2002-10-01,245812.0
2002-11-01,300207.0
2002-12-01,397447.0
2003-01-01,287642.0
2003-02-01,258859.0
2003-03-01,255502.0
2003-04-01,278756.0
2003-05-01,378354.0
2003-06-01,352060.0
2003-07-01,308062.0
2003-08-01,312417.0
2003-09-01,417251.0
2003-10-01,336299.0
2003-11-01,413776.0
2003-12-01,569220.0
2004-01-01,357787.0
2004-02-01,565376.0
2004-03-01,330601.0
2004-04-01,373139.0
2004-05-01,501695.0
2004-06-01,497565.0
2004-07-01,500260.0
2004-08-01,478780.0
2004-09-01,586576.0
2004-10-01,503044.0
2004-11-01,604132.0
2004-12-01,694919.0
2005-01-01,643696.0
2005-02-01,524359.0
2005-03-01,523345.0
2005-04-01,485037.0
2005-05-01,729449.0
2005-06-01,654897.0
2005-07-01,693607.0
2005-08-01,792353.0
2005-09-01,756787.0
2005-10-01,741283.0
2005-11-01,758644.0
2005-12-01,968096.0
2006-01-01,735400.0
2006-02-01,628028.0
2006-03-01,795270.0
2006-04-01,721407.0
2006-05-01,980666.0
2006-06-01,823402.0
2006-07-01,871965.0
2006-08-01,849744.0
2006-09-01,781138.0
2006-10-01,758734.0
2006-11-01,839304.0
2006-12-01,1231265.0
2007-01-01,826468.0
2007-02-01,682010.0
2007-03-01,618649.0
2007-04-01,799197.0
2007-05-01,985779.0
2007-06-01,992543.0
2007-07-01,993452.0
2007-08-01,946915.0
2007-09-01,851451.0
2007-10-01,810982.0
2007-11-01,954510.0
2007-12-01,947743.0
2008-01-01,752099.0
2008-02-01,668041.0
2008-03-01,826138.0
2008-04-01,1119454.0
2008-05-01,1050004.0
2008-06-01,1266453.0
2008-07-01,1252732.0
2008-08-01,972112.0
2008-09-01,1056434.0
2008-10-01,938041.0
2008-11-01,1080536.0
2008-12-01,1080144.0
2009-01-01,1161669.0
2009-02-01,908750.0
2009-03-01,887044.0
2009-04-01,994947.0
2009-05-01,1069625.0
2009-06-01,1006571.0
2009-07-01,1107590.0
2009-08-01,927381.0
2009-09-01,933380.0
2009-10-01,1052037.0
2009-11-01,1018251.0
2009-12-01,1329759.0
2010-01-01,1147580.0
2010-02-01,1125564.0
2010-03-01,1219677.0
2010-04-01,1424879.0
2010-05-01,1699909.0
2010-06-01,1829361.0
