Tarih,TP_PBD_K05
2000-01-01,650079.0
2000-02-01,918261.0
2000-03-01,1026601.0
2000-04-01,854739.0
2000-05-01,852063.0
2000-06-01,1192040.0
2000-07-01,1125861.0
2000-08-01,930701.0
2000-09-01,946334.0
2000-10-01,1174755.0
2000-11-01,783969.0
2000-12-01,1233053.0
2001-01-01,1132177.0
2001-02-01,1263703.0
2001-03-01,1950730.0
2001-04-01,2067053.0
2001-05-01,1621077.0
2001-06-01,1770122.0
2001-07-01,1701533.0
2001-08-01,1547004.0
2001-09-01,1516479.0
2001-10-01,2134000.0
2001-11-01,1901665.0
2001-12-01,2162417.0
2002-01-01,2217318.0
2002-02-01,2041653.0
2002-03-01,1958949.0
2002-04-01,2185312.0
2002-05-01,2262464.0
2002-06-01,2031777.0
2002-07-01,1965354.0
2002-08-01,1892597.0
2002-09-01,2177668.0
2002-10-01,2173512.0
2002-11-01,2195389.0
2002-12-01,2611122.0
2003-01-01,2399168.0
2003-02-01,2221855.0
2003-03-01,2786621.0
2003-04-01,2244449.0
2003-05-01,2174441.0
2003-06-01,2259020.0
2003-07-01,1665556.0
2003-08-01,1733610.0
2003-09-01,2335828.0
2003-10-01,2184485.0
2003-11-01,2380121.0
2003-12-01,2962882.0
2004-01-01,2775766.0
2004-02-01,3073383.0
2004-03-01,3171260.0
2004-04-01,2775667.0
2004-05-01,3160700.0
2004-06-01,4373780.0
2004-07-01,3161173.0
2004-08-01,3237923.0
2004-09-01,4997454.0
2004-10-01,3812141.0
2004-11-01,4028679.0
2004-12-01,5357273.0
2005-01-01,4383654.0
2005-02-01,4751449.0
2005-03-01,4395761.0
2005-04-01,4296994.0
2005-05-01,4467281.0
2005-06-01,5075350.0
2005-07-01,4585698.0
2005-08-01,4520098.0
2005-09-01,7394299.0
2005-10-01,5128429.0
2005-11-01,4492283.0
2005-12-01,12053117.0
2006-01-01,8114760.0
2006-02-01,8979874.0
2006-03-01,9558939.0
2006-04-01,11670982.0
2006-05-01,9054640.0
2006-06-01,12399726.0
2006-07-01,9784602.0
2006-08-01,9576344.0
2006-09-01,11631178.0
2006-10-01,11650426.0
2006-11-01,11759969.0
2006-12-01,16344009.0
2007-01-01,14900190.0
2007-02-01,16890852.0
2007-03-01,16176106.0
2007-04-01,16015869.0
2007-05-01,13869386.0
2007-06-01,16405704.0
2007-07-01,16331864.0
2007-08-01,15962864.0
2007-09-01,15798559.0
2007-10-01,14383602.0
2007-11-01,16155584.0
2007-12-01,19719159.0
2008-01-01,17836754.0
2008-02-01,18520961.0
2008-03-01,20208087.0
2008-04-01,16295236.0
2008-05-01,18831356.0
2008-06-01,25614308.0
2008-07-01,21357327.0
2008-08-01,16094381.0
2008-09-01,20605985.0
2008-10-01,27482675.0
2008-11-01,28709211.0
2008-12-01,35652484.0
2009-01-01,23253625.0
2009-02-01,24336748.0
2009-03-01,32693683.0
2009-04-01,22216928.0
2009-05-01,27895061.0
2009-06-01,31392488.0
2009-07-01,25175040.0
2009-08-01,21284135.0
2009-09-01,35341035.0
2009-10-01,25615124.0
2009-11-01,15228331.0
2009-12-01,29728672.0
2010-01-01,21253890.0
2010-02-01,21007053.0
2010-03-01,23174181.0
2010-04-01,25075532.0
2010-05-01,24065189.0
2010-06-01,31114489.0
