Tarih,TP_PBD_S371
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,427439.0
2010-02-01,422086.0
2010-03-01,418844.0
2010-04-01,511291.0
2010-05-01,594993.0
2010-06-01,563403.0
2010-07-01,560487.0
2010-08-01,414700.0
2010-09-01,430140.0
2010-10-01,371622.0
2010-11-01,410203.0
2010-12-01,336658.0
2011-01-01,420241.0
2011-02-01,389625.0
2011-03-01,413782.0
2011-04-01,570633.0
2011-05-01,576927.0
2011-06-01,608216.0
2011-07-01,682956.0
2011-08-01,933864.0
2011-09-01,972159.0
2011-10-01,783142.0
2011-11-01,780362.0
2011-12-01,740397.0
2012-01-01,823168.0
2012-02-01,664546.0
2012-03-01,570002.0
2012-04-01,622050.0
2012-05-01,732453.0
2012-06-01,609513.0
2012-07-01,763314.0
2012-08-01,443831.0
2012-09-01,499186.0
2012-10-01,371480.0
2012-11-01,424198.0
2012-12-01,371447.0
2013-01-01,442144.0
2013-02-01,471967.0
2013-03-01,549620.0
2013-04-01,528327.0
2013-05-01,689372.0
2013-06-01,840990.0
2013-07-01,845411.0
2013-08-01,1013172.0
2013-09-01,1181500.0
2013-10-01,1052290.0
2013-11-01,899590.0
2013-12-01,1239263.0
2014-01-01,2147473.0
2014-02-01,1510544.0
2014-03-01,1603470.0
2014-04-01,1374082.0
2014-05-01,1404339.0
2014-06-01,1011304.0
2014-07-01,1044838.0
2014-08-01,1133839.0
2014-09-01,1263446.0
2014-10-01,1758929.0
2014-11-01,1450126.0
2014-12-01,1191886.0
2015-01-01,1894956.0
