Tarih,TP_PBD_S16
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,165755.0
2002-03-01,296061.0
2002-04-01,233694.0
2002-05-01,263560.0
2002-06-01,236801.0
2002-07-01,301018.0
2002-08-01,189244.0
2002-09-01,101825.0
2002-10-01,80340.0
2002-11-01,97740.0
2002-12-01,353326.0
2003-01-01,462999.0
2003-02-01,451767.0
2003-03-01,732963.0
2003-04-01,404759.0
2003-05-01,435676.0
2003-06-01,416459.0
2003-07-01,553782.0
2003-08-01,498259.0
2003-09-01,210859.0
2003-10-01,461103.0
2003-11-01,415099.0
2003-12-01,285945.0
2004-01-01,274244.0
2004-02-01,245797.0
2004-03-01,256095.0
2004-04-01,283883.0
2004-05-01,307806.0
2004-06-01,226009.0
2004-07-01,255254.0
2004-08-01,246022.0
2004-09-01,235329.0
2004-10-01,278649.0
2004-11-01,127788.0
2004-12-01,162755.0
2005-01-01,142826.0
2005-02-01,102773.0
2005-03-01,69599.0
2005-04-01,148754.0
2005-05-01,105072.0
2005-06-01,59988.0
2005-07-01,139728.0
2005-08-01,71470.0
2005-09-01,165772.0
2005-10-01,42225.0
2005-11-01,119870.0
2005-12-01,215940.0
2006-01-01,82158.0
2006-02-01,88749.0
2006-03-01,315922.0
2006-04-01,70908.0
2006-05-01,156320.0
2006-06-01,102493.0
2006-07-01,327727.0
2006-08-01,47027.0
2006-09-01,45910.0
2006-10-01,165631.0
2006-11-01,84931.0
2006-12-01,420498.0
2007-01-01,231379.0
2007-02-01,359023.0
2007-03-01,403992.0
2007-04-01,255944.0
2007-05-01,222731.0
2007-06-01,341588.0
2007-07-01,282704.0
2007-08-01,299447.0
2007-09-01,12306.0
2007-10-01,391867.0
2007-11-01,395942.0
2007-12-01,5358.0
2008-01-01,243536.0
2008-02-01,152950.0
2008-03-01,90113.0
2008-04-01,322674.0
2008-05-01,525129.0
2008-06-01,25644.0
2008-07-01,371412.0
2008-08-01,378435.0
2008-09-01,80080.0
2008-10-01,613873.0
2008-11-01,611275.0
2008-12-01,34366.0
2009-01-01,203292.0
2009-02-01,176831.0
2009-03-01,26090.0
2009-04-01,388032.0
2009-05-01,437983.0
2009-06-01,5810.0
2009-07-01,209770.0
2009-08-01,249639.0
2009-09-01,1031.0
2009-10-01,269147.0
2009-11-01,165382.0
2009-12-01,1390.0
2010-01-01,224140.0
2010-02-01,297073.0
2010-03-01,3351.0
2010-04-01,202410.0
2010-05-01,278614.0
2010-06-01,6744.0
2010-07-01,77322.0
2010-08-01,151910.0
2010-09-01,4221.0
2010-10-01,1029648.0
2010-11-01,76166.0
2010-12-01,3066.0
2011-01-01,254102.0
2011-02-01,145961.0
2011-03-01,4306.0
2011-04-01,655344.0
2011-05-01,263937.0
2011-06-01,19290.0
2011-07-01,233587.0
2011-08-01,4830.0
2011-09-01,57298.0
2011-10-01,1075.0
2011-11-01,400904.0
2011-12-01,2537.0
2012-01-01,8051.0
2012-02-01,14287.0
2012-03-01,643742.0
2012-04-01,14609.0
2012-05-01,283910.0
2012-06-01,335765.0
2012-07-01,351262.0
2012-08-01,720856.0
2012-09-01,668631.0
2012-10-01,21455.0
2012-11-01,19882.0
2012-12-01,61947.0
2013-01-01,38570.0
2013-02-01,24911.0
2013-03-01,4472.0
2013-04-01,8538.0
2013-05-01,30557.0
2013-06-01,24092.0
2013-07-01,64890.0
2013-08-01,1931026.0
2013-09-01,6956.0
2013-10-01,19074.0
2013-11-01,15065.0
2013-12-01,25.0
2014-01-01,958439.0
2014-02-01,528243.0
2014-03-01,581705.0
2014-04-01,626727.0
2014-05-01,89587.0
2014-06-01,10151.0
2014-07-01,85842.0
2014-08-01,2147239.0
2014-09-01,106176.0
2014-10-01,70871.0
2014-11-01,38617.0
2014-12-01,45063.0
2015-01-01,773800.0
2015-02-01,744342.0
2015-03-01,79387.0
2015-04-01,69056.0
2015-05-01,2006.0
2015-06-01,3152.0
2015-07-01,966459.0
2015-08-01,164097.0
2015-09-01,2406.0
2015-10-01,3398.0
2015-11-01,85.0
2015-12-01,0.0
2016-01-01,84.0
2016-02-01,179135.0
2016-03-01,55.0
2016-04-01,104.0
2016-05-01,162.0
2016-06-01,504.0
2016-07-01,616644.0
2016-08-01,81.0
2016-09-01,160.0
2016-10-01,15.0
2016-11-01,143.0
2016-12-01,0.0
2017-01-01,13122.0
2017-02-01,324827.0
2017-03-01,676627.0
2017-04-01,301014.0
2017-05-01,87.0
2017-06-01,134454.0
2017-07-01,150.0
2017-08-01,0.0
2017-09-01,149.0
2017-10-01,43.0
2017-11-01,51.0
2017-12-01,0.0
2018-01-01,44.0
2018-02-01,15.0
2018-03-01,686.0
2018-04-01,195.0
