Tarih,TP_PBD_S17
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,3026748.0
2002-03-01,2432795.0
2002-04-01,2157732.0
2002-05-01,2391251.0
2002-06-01,2785929.0
2002-07-01,2386629.0
2002-08-01,3057520.0
2002-09-01,2157116.0
2002-10-01,2132368.0
2002-11-01,2185968.0
2002-12-01,1960123.0
2003-01-01,2414113.0
2003-02-01,2419696.0
2003-03-01,2466356.0
2003-04-01,1822357.0
2003-05-01,1769603.0
2003-06-01,1882086.0
2003-07-01,1803441.0
2003-08-01,2056523.0
2003-09-01,1507327.0
2003-10-01,1784971.0
2003-11-01,2561361.0
2003-12-01,1181260.0
2004-01-01,1271749.0
2004-02-01,1255181.0
2004-03-01,1226392.0
2004-04-01,1334480.0
2004-05-01,1188375.0
2004-06-01,1184243.0
2004-07-01,945445.0
2004-08-01,1225660.0
2004-09-01,1286430.0
2004-10-01,953426.0
2004-11-01,890456.0
2004-12-01,946044.0
2005-01-01,779092.0
2005-02-01,642018.0
2005-03-01,555303.0
2005-04-01,835542.0
2005-05-01,745984.0
2005-06-01,539245.0
2005-07-01,531573.0
2005-08-01,479366.0
2005-09-01,607343.0
2005-10-01,749317.0
2005-11-01,668784.0
2005-12-01,709297.0
2006-01-01,589379.0
2006-02-01,569495.0
2006-03-01,591858.0
2006-04-01,629110.0
2006-05-01,719083.0
2006-06-01,1185318.0
2006-07-01,1124331.0
2006-08-01,1155679.0
2006-09-01,1047060.0
2006-10-01,919395.0
2006-11-01,979621.0
2006-12-01,951712.0
2007-01-01,863379.0
2007-02-01,819275.0
2007-03-01,899488.0
2007-04-01,1086429.0
2007-05-01,1581155.0
2007-06-01,2007164.0
2007-07-01,1986016.0
2007-08-01,2163944.0
2007-09-01,1599500.0
2007-10-01,1742417.0
2007-11-01,1594967.0
2007-12-01,1419324.0
2008-01-01,1568321.0
2008-02-01,1567407.0
2008-03-01,1527696.0
2008-04-01,1477833.0
2008-05-01,1196649.0
2008-06-01,1066316.0
2008-07-01,1260911.0
2008-08-01,1346722.0
2008-09-01,1168873.0
2008-10-01,2193773.0
2008-11-01,1594015.0
2008-12-01,1035215.0
2009-01-01,1266208.0
2009-02-01,1227928.0
2009-03-01,1093964.0
2009-04-01,1073207.0
2009-05-01,990364.0
2009-06-01,726650.0
2009-07-01,845744.0
2009-08-01,864432.0
2009-09-01,867822.0
2009-10-01,681135.0
2009-11-01,862149.0
2009-12-01,759276.0
2010-01-01,936782.0
2010-02-01,876112.0
2010-03-01,777228.0
2010-04-01,520149.0
2010-05-01,495406.0
2010-06-01,582828.0
2010-07-01,891323.0
2010-08-01,865806.0
2010-09-01,505578.0
2010-10-01,999631.0
2010-11-01,636295.0
2010-12-01,845254.0
2011-01-01,1120173.0
2011-02-01,934623.0
2011-03-01,886461.0
2011-04-01,790829.0
2011-05-01,918743.0
2011-06-01,424962.0
2011-07-01,938372.0
2011-08-01,584340.0
2011-09-01,475965.0
2011-10-01,586496.0
2011-11-01,1146955.0
2011-12-01,393216.0
2012-01-01,700144.0
2012-02-01,555899.0
2012-03-01,834359.0
2012-04-01,2060284.0
2012-05-01,1127827.0
2012-06-01,731342.0
2012-07-01,689909.0
2012-08-01,721619.0
2012-09-01,617615.0
2012-10-01,564997.0
2012-11-01,500768.0
2012-12-01,541803.0
2013-01-01,501413.0
2013-02-01,607768.0
2013-03-01,992300.0
2013-04-01,673813.0
2013-05-01,793720.0
2013-06-01,1933765.0
2013-07-01,804746.0
2013-08-01,787424.0
2013-09-01,545892.0
2013-10-01,827686.0
2013-11-01,761982.0
2013-12-01,560829.0
2014-01-01,3098389.0
2014-02-01,2273660.0
2014-03-01,1266667.0
2014-04-01,1804947.0
2014-05-01,565116.0
2014-06-01,612640.0
2014-07-01,644127.0
2014-08-01,1081381.0
2014-09-01,648261.0
2014-10-01,659981.0
2014-11-01,871841.0
2014-12-01,774772.0
2015-01-01,1070697.0
2015-02-01,1419985.0
2015-03-01,682653.0
2015-04-01,841032.0
2015-05-01,614007.0
2015-06-01,653885.0
2015-07-01,543110.0
2015-08-01,967749.0
2015-09-01,450568.0
2015-10-01,443039.0
2015-11-01,459722.0
2015-12-01,563797.0
2016-01-01,521911.0
2016-02-01,327633.0
2016-03-01,203121.0
2016-04-01,275765.0
2016-05-01,458625.0
2016-06-01,502960.0
2016-07-01,772529.0
2016-08-01,604240.0
2016-09-01,426052.0
2016-10-01,426433.0
2016-11-01,383320.0
2016-12-01,1451994.0
2017-01-01,428836.0
2017-02-01,1039520.0
2017-03-01,595202.0
2017-04-01,379977.0
2017-05-01,762914.0
2017-06-01,590463.0
2017-07-01,425155.0
2017-08-01,804081.0
