Tarih,TP_KB_FON004
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,55232.0
2006-01-01,75030.0
2006-02-01,106187.0
2006-03-01,62344.0
2006-04-01,56311.0
2006-05-01,55136.0
2006-06-01,53405.0
2006-07-01,64570.0
2006-08-01,44606.0
2006-09-01,43142.0
2006-10-01,42057.0
2006-11-01,43007.0
2006-12-01,29135.0
2007-01-01,40518.0
2007-02-01,88130.0
2007-03-01,15437.0
2007-04-01,94541.0
2007-05-01,12550.0
2007-06-01,12288.0
2007-07-01,124637.0
2007-08-01,3039.0
2007-09-01,3853.0
2007-10-01,5069.0
2007-11-01,4116.0
2007-12-01,3123.0
2008-01-01,17320.0
2008-02-01,3246.0
2008-03-01,21630.0
2008-04-01,119946.0
2008-05-01,3173.0
2008-06-01,113106.0
2008-07-01,158444.0
2008-08-01,3194.0
2008-09-01,103873.0
2008-10-01,5320.0
2008-11-01,28666.0
2008-12-01,32201.0
2009-01-01,43338.0
2009-02-01,87502.0
2009-03-01,33328.0
2009-04-01,20261.0
2009-05-01,14502.0
2009-06-01,13629.0
2009-07-01,111530.0
2009-08-01,8368.0
2009-09-01,100561.0
2009-10-01,12115.0
2009-11-01,84129.0
2009-12-01,1969.0
2010-01-01,28304.0
2010-02-01,95121.0
2010-03-01,29617.0
2010-04-01,14940.0
2010-05-01,11744.0
2010-06-01,114363.0
2010-07-01,147863.0
2010-08-01,10401.0
2010-09-01,12623.0
2010-10-01,160013.0
2010-11-01,14120.0
2010-12-01,5845.0
2011-01-01,59773.0
2011-02-01,131763.0
2011-03-01,31838.0
2011-04-01,15461.0
2011-05-01,18885.0
2011-06-01,50962.0
2011-07-01,60671.0
2011-08-01,139168.0
2011-09-01,21334.0
2011-10-01,17485.0
2011-11-01,145444.0
2011-12-01,9764.0
2012-01-01,66983.0
2012-02-01,149854.0
2012-03-01,32027.0
2012-04-01,169999.0
2012-05-01,26345.0
2012-06-01,18982.0
2012-07-01,237830.0
2012-08-01,16852.0
2012-09-01,42390.0
2012-10-01,217493.0
2012-11-01,28122.0
2012-12-01,18104.0
2013-01-01,114677.0
2013-02-01,263185.0
2013-03-01,110856.0
2013-04-01,106154.0
2013-05-01,100381.0
2013-06-01,98554.0
2013-07-01,430486.0
2013-08-01,57317.0
2013-09-01,251032.0
2013-10-01,34445.0
2013-11-01,33652.0
2013-12-01,15818.0
2014-01-01,92124.0
2014-02-01,23791.0
2014-03-01,75108.0
2014-04-01,277343.0
2014-05-01,36775.0
