Tarih,TP_KB_FON012
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,36675.0
2006-01-01,39171.0
2006-02-01,39138.0
2006-03-01,23135.0
2006-04-01,23149.0
2006-05-01,27509.0
2006-06-01,29465.0
2006-07-01,27730.0
2006-08-01,27460.0
2006-09-01,28366.0
2006-10-01,27967.0
2006-11-01,28729.0
2006-12-01,19766.0
2007-01-01,27.0
2007-02-01,46025.0
2007-03-01,46229.0
2007-04-01,45226.0
2007-05-01,44510.0
2007-06-01,35409.0
2007-07-01,48566.0
2007-08-01,49305.0
2007-09-01,20691.0
2007-10-01,20426.0
2007-11-01,64265.0
2007-12-01,71515.0
2008-01-01,72426.0
2008-02-01,62207.0
2008-03-01,53087.0
2008-04-01,54669.0
2008-05-01,52007.0
2008-06-01,30597.0
2008-07-01,11858.0
2008-08-01,11836.0
2008-09-01,12320.0
2008-10-01,14968.0
2008-11-01,15670.0
2008-12-01,15144.0
2009-01-01,16122.0
2009-02-01,16833.0
2009-03-01,42261.0
2009-04-01,39971.0
2009-05-01,39100.0
2009-06-01,38289.0
2009-07-01,36960.0
2009-08-01,37278.0
2009-09-01,14842.0
2009-10-01,283.0
2009-11-01,288.0
2009-12-01,294.0
2010-01-01,272.0
2010-02-01,294.0
2010-03-01,312.0
2010-04-01,267.0
2010-05-01,457.0
2010-06-01,20077.0
2010-07-01,18269.0
2010-08-01,3372.0
2010-09-01,765.0
2010-10-01,234.0
2010-11-01,116.0
2010-12-01,135.0
2011-01-01,879.0
2011-02-01,319.0
2011-03-01,215.0
2011-04-01,233.0
2011-05-01,177.0
2011-06-01,10996.0
2011-07-01,1671.0
2011-08-01,593.0
2011-09-01,913.0
2011-10-01,2249.0
2011-11-01,432.0
2011-12-01,436.0
2012-01-01,1497.0
2012-02-01,1483.0
2012-03-01,3685.0
2012-04-01,1036.0
2012-05-01,5062.0
2012-06-01,6768.0
2012-07-01,911.0
2012-08-01,2679.0
2012-09-01,3174.0
2012-10-01,5440.0
2012-11-01,5481.0
2012-12-01,14781.0
2013-01-01,6463.0
2013-02-01,6877.0
2013-03-01,6928.0
2013-04-01,7139.0
2013-05-01,7616.0
2013-06-01,6437.0
2013-07-01,6282.0
2013-08-01,8375.0
2013-09-01,7876.0
2013-10-01,7300.0
2013-11-01,8959.0
2013-12-01,9026.0
2014-01-01,9553.0
2014-02-01,7686.0
2014-03-01,12405.0
2014-04-01,2080.0
2014-05-01,1393.0
2014-06-01,1718.0
2014-07-01,2107.0
