Tarih,TP_KB_FON024
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,1152.0
2006-01-01,1057.0
2006-02-01,2115.0
2006-03-01,1291.0
2006-04-01,813.0
2006-05-01,1111.0
2006-06-01,801.0
2006-07-01,440.0
2006-08-01,1015.0
2006-09-01,898.0
2006-10-01,1011.0
2006-11-01,1318.0
2006-12-01,1952.0
2007-01-01,1812.0
2007-02-01,1776.0
2007-03-01,1540.0
2007-04-01,1301.0
2007-05-01,975.0
2007-06-01,1014.0
2007-07-01,871.0
2007-08-01,1206.0
2007-09-01,1153.0
2007-10-01,11493.0
2007-11-01,31706.0
2007-12-01,3047.0
2008-01-01,2487.0
2008-02-01,1744.0
2008-03-01,2010.0
2008-04-01,1832.0
2008-05-01,6957.0
2008-06-01,6296.0
2008-07-01,6680.0
2008-08-01,6331.0
2008-09-01,6499.0
2008-10-01,4287.0
2008-11-01,2580.0
2008-12-01,4825.0
2009-01-01,4107.0
2009-02-01,3932.0
2009-03-01,2919.0
2009-04-01,3022.0
2009-05-01,2042.0
2009-06-01,1427.0
2009-07-01,1119.0
2009-08-01,1213.0
2009-09-01,1673.0
2009-10-01,1229.0
2009-11-01,2135.0
2009-12-01,4212.0
2010-01-01,3941.0
2010-02-01,3398.0
2010-03-01,2867.0
2010-04-01,2563.0
2010-05-01,1488.0
2010-06-01,2008.0
2010-07-01,1841.0
2010-08-01,1881.0
2010-09-01,1965.0
2010-10-01,1856.0
2010-11-01,2388.0
2010-12-01,2867.0
2011-01-01,3557.0
2011-02-01,4504.0
2011-03-01,7818.0
2011-04-01,3479.0
2011-05-01,10956.0
2011-06-01,10413.0
2011-07-01,11014.0
2011-08-01,11838.0
2011-09-01,11388.0
2011-10-01,57190.0
2011-11-01,58778.0
2011-12-01,16708.0
2012-01-01,15293.0
2012-02-01,56025.0
2012-03-01,95680.0
2012-04-01,56359.0
2012-05-01,14194.0
2012-06-01,7055.0
2012-07-01,7349.0
2012-08-01,60468.0
2012-09-01,59274.0
2012-10-01,59872.0
2012-11-01,60337.0
2012-12-01,10776.0
2013-01-01,54105.0
2013-02-01,11570.0
2013-03-01,9815.0
2013-04-01,10494.0
2013-05-01,9576.0
2013-06-01,10414.0
2013-07-01,12768.0
2013-08-01,12954.0
2013-09-01,10289.0
2013-10-01,11622.0
2013-11-01,14749.0
2013-12-01,23028.0
2014-01-01,23612.0
2014-02-01,14156.0
2014-03-01,12093.0
2014-04-01,13206.0
2014-05-01,9312.0
