Tarih,TP_KB_FON026
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,8036763.0
2006-01-01,7701995.0
2006-02-01,7752727.0
2006-03-01,8095487.0
2006-04-01,8375063.0
2006-05-01,9104723.0
2006-06-01,9339460.0
2006-07-01,9168261.0
2006-08-01,9389331.0
2006-09-01,9822451.0
2006-10-01,10068663.0
2006-11-01,10179159.0
2006-12-01,10720913.0
2007-01-01,10405113.0
2007-02-01,10606836.0
2007-03-01,10999147.0
2007-04-01,11188211.0
2007-05-01,11523981.0
2007-06-01,12021833.0
2007-07-01,12382731.0
2007-08-01,12516022.0
2007-09-01,12744084.0
2007-10-01,13282676.0
2007-11-01,13470370.0
2007-12-01,13943774.0
2008-01-01,14024519.0
2008-02-01,14452380.0
2008-03-01,15422100.0
2008-04-01,16087424.0
2008-05-01,16138427.0
2008-06-01,16431107.0
2008-07-01,16405457.0
2008-08-01,16306723.0
2008-09-01,16812075.0
2008-10-01,17612118.0
2008-11-01,17760396.0
2008-12-01,18185186.0
2009-01-01,19088513.0
2009-02-01,20370128.0
2009-03-01,20871811.0
2009-04-01,20884371.0
2009-05-01,21322355.0
2009-06-01,21663490.0
2009-07-01,22243738.0
2009-08-01,23003818.0
2009-09-01,23838603.0
2009-10-01,24626650.0
2009-11-01,25216761.0
2009-12-01,26006368.0
2010-01-01,26033069.0
2010-02-01,26439339.0
2010-03-01,26553335.0
2010-04-01,27475853.0
2010-05-01,27235542.0
2010-06-01,27522292.0
2010-07-01,27858413.0
2010-08-01,28448708.0
2010-09-01,28894217.0
2010-10-01,30152743.0
2010-11-01,30226539.0
2010-12-01,32151317.0
2011-01-01,32232215.0
2011-02-01,32566012.0
2011-03-01,32613857.0
2011-04-01,33319335.0
2011-05-01,33494029.0
2011-06-01,33640288.0
2011-07-01,34460422.0
2011-08-01,35476388.0
2011-09-01,35629474.0
2011-10-01,36109743.0
2011-11-01,36755502.0
2011-12-01,38026115.0
2012-01-01,36741314.0
2012-02-01,37263643.0
2012-03-01,38623257.0
2012-04-01,38899784.0
2012-05-01,40627208.0
2012-06-01,41240672.0
2012-07-01,41447518.0
2012-08-01,42826343.0
2012-09-01,43812984.0
2012-10-01,44344242.0
2012-11-01,45260401.0
2012-12-01,46149174.0
2013-01-01,47305961.0
2013-02-01,48005802.0
2013-03-01,48980461.0
2013-04-01,49453600.0
2013-05-01,51652133.0
2013-06-01,51657494.0
2013-07-01,51691886.0
2013-08-01,54484491.0
2013-09-01,54193806.0
