Tarih,TP_KB_FON055
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,22270.0
2006-01-01,22353.0
2006-02-01,12470.0
2006-03-01,26121.0
2006-04-01,29572.0
2006-05-01,40881.0
2006-06-01,54308.0
2006-07-01,51960.0
2006-08-01,43311.0
2006-09-01,27710.0
2006-10-01,24101.0
2006-11-01,24970.0
2006-12-01,56331.0
2007-01-01,21933.0
2007-02-01,20098.0
2007-03-01,25533.0
2007-04-01,33311.0
2007-05-01,34029.0
2007-06-01,40415.0
2007-07-01,51961.0
2007-08-01,32378.0
2007-09-01,33969.0
2007-10-01,45008.0
2007-11-01,51835.0
2007-12-01,52067.0
2008-01-01,102690.0
2008-02-01,107723.0
2008-03-01,117471.0
2008-04-01,138395.0
2008-05-01,125948.0
2008-06-01,164007.0
2008-07-01,115964.0
2008-08-01,83978.0
2008-09-01,98460.0
2008-10-01,117631.0
2008-11-01,122040.0
2008-12-01,119091.0
2009-01-01,112059.0
2009-02-01,103149.0
2009-03-01,76684.0
2009-04-01,86682.0
2009-05-01,73072.0
2009-06-01,86036.0
2009-07-01,72840.0
2009-08-01,67157.0
2009-09-01,72209.0
2009-10-01,77879.0
2009-11-01,88963.0
2009-12-01,106132.0
2010-01-01,96537.0
2010-02-01,103218.0
2010-03-01,95249.0
2010-04-01,108201.0
2010-05-01,104380.0
2010-06-01,96699.0
2010-07-01,86288.0
2010-08-01,81949.0
2010-09-01,132833.0
2010-10-01,109061.0
2010-11-01,161715.0
2010-12-01,105412.0
2011-01-01,156381.0
2011-02-01,160268.0
2011-03-01,159420.0
2011-04-01,158646.0
2011-05-01,132846.0
2011-06-01,118170.0
2011-07-01,154599.0
2011-08-01,136443.0
2011-09-01,182617.0
2011-10-01,147829.0
2011-11-01,143880.0
2011-12-01,252500.0
2012-01-01,178506.0
2012-02-01,165316.0
2012-03-01,138467.0
2012-04-01,154726.0
2012-05-01,142600.0
2012-06-01,193102.0
2012-07-01,251459.0
2012-08-01,293934.0
2012-09-01,253940.0
2012-10-01,439703.0
2012-11-01,392002.0
2012-12-01,382875.0
2013-01-01,418303.0
2013-02-01,622833.0
2013-03-01,620004.0
2013-04-01,412767.0
2013-05-01,510922.0
2013-06-01,523621.0
2013-07-01,618493.0
2013-08-01,558581.0
2013-09-01,548233.0
2013-10-01,633142.0
2013-11-01,617745.0
2013-12-01,589439.0
2014-01-01,523610.0
2014-02-01,443342.0
2014-03-01,393918.0
2014-04-01,380455.0
2014-05-01,461065.0
