Tarih,TP_KB_FON070
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,9571.0
2006-01-01,10168.0
2006-02-01,10220.0
2006-03-01,19045.0
2006-04-01,19285.0
2006-05-01,20038.0
2006-06-01,21568.0
2006-07-01,21793.0
2006-08-01,22287.0
2006-09-01,24430.0
2006-10-01,24501.0
2006-11-01,24871.0
2006-12-01,46123.0
2007-01-01,54714.0
2007-02-01,53978.0
2007-03-01,31473.0
2007-04-01,32262.0
2007-05-01,33172.0
2007-06-01,44423.0
2007-07-01,45751.0
2007-08-01,64138.0
2007-09-01,63341.0
2007-10-01,119580.0
2007-11-01,129515.0
2007-12-01,129450.0
2008-01-01,99656.0
2008-02-01,83810.0
2008-03-01,49064.0
2008-04-01,50686.0
2008-05-01,40535.0
2008-06-01,41567.0
2008-07-01,41853.0
2008-08-01,32933.0
2008-09-01,44828.0
2008-10-01,43632.0
2008-11-01,77273.0
2008-12-01,91117.0
2009-01-01,77365.0
2009-02-01,43386.0
2009-03-01,53380.0
2009-04-01,86894.0
2009-05-01,125397.0
2009-06-01,149295.0
2009-07-01,139390.0
2009-08-01,151067.0
2009-09-01,138120.0
2009-10-01,80104.0
2009-11-01,73849.0
2009-12-01,81395.0
2010-01-01,94542.0
2010-02-01,96371.0
2010-03-01,104695.0
2010-04-01,133449.0
2010-05-01,139441.0
2010-06-01,186956.0
2010-07-01,139150.0
2010-08-01,124758.0
2010-09-01,169415.0
2010-10-01,139335.0
2010-11-01,145693.0
2010-12-01,119305.0
2011-01-01,91107.0
2011-02-01,99846.0
2011-03-01,138710.0
2011-04-01,115836.0
2011-05-01,90086.0
2011-06-01,94583.0
2011-07-01,165834.0
2011-08-01,131407.0
2011-09-01,166268.0
2011-10-01,132359.0
2011-11-01,115857.0
2011-12-01,136079.0
2012-01-01,193004.0
2012-02-01,204147.0
2012-03-01,131599.0
2012-04-01,122227.0
2012-05-01,153548.0
2012-06-01,166494.0
2012-07-01,174647.0
2012-08-01,185459.0
2012-09-01,169439.0
2012-10-01,183718.0
2012-11-01,190895.0
2012-12-01,207174.0
2013-01-01,319534.0
2013-02-01,439634.0
2013-03-01,469493.0
2013-04-01,438487.0
2013-05-01,513865.0
2013-06-01,474988.0
2013-07-01,459120.0
2013-08-01,208809.0
2013-09-01,288507.0
2013-10-01,236857.0
2013-11-01,238382.0
2013-12-01,254590.0
2014-01-01,255067.0
2014-02-01,237797.0
2014-03-01,233213.0
2014-04-01,208875.0
2014-05-01,258604.0
