Tarih,TP_KB_FON073
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,59.0
2006-01-01,48.0
2006-02-01,50.0
2006-03-01,23.0
2006-04-01,14.0
2006-05-01,25.0
2006-06-01,26.0
2006-07-01,76.0
2006-08-01,58.0
2006-09-01,40.0
2006-10-01,34.0
2006-11-01,30.0
2006-12-01,22.0
2007-01-01,34.0
2007-02-01,17.0
2007-03-01,95.0
2007-04-01,33.0
2007-05-01,25.0
2007-06-01,48.0
2007-07-01,28.0
2007-08-01,37.0
2007-09-01,33.0
2007-10-01,13.0
2007-11-01,44.0
2007-12-01,27.0
2008-01-01,16.0
2008-02-01,24.0
2008-03-01,6.0
2008-04-01,3.0
2008-05-01,11.0
2008-06-01,6.0
2008-07-01,10.0
2008-08-01,18.0
2008-09-01,27.0
2008-10-01,17.0
2008-11-01,38.0
2008-12-01,49.0
2009-01-01,25.0
2009-02-01,23.0
2009-03-01,174.0
2009-04-01,312.0
2009-05-01,263.0
2009-06-01,235.0
2009-07-01,211.0
2009-08-01,193.0
2009-09-01,192.0
2009-10-01,169.0
2009-11-01,149.0
2009-12-01,174.0
2010-01-01,141.0
2010-02-01,360.0
2010-03-01,155.0
2010-04-01,150.0
2010-05-01,210.0
2010-06-01,276.0
2010-07-01,193.0
2010-08-01,195.0
2010-09-01,149.0
2010-10-01,156.0
2010-11-01,162.0
2010-12-01,95.0
2011-01-01,242.0
2011-02-01,296.0
2011-03-01,820.0
2011-04-01,347.0
2011-05-01,333.0
2011-06-01,360.0
2011-07-01,55921.0
2011-08-01,6100.0
2011-09-01,20313.0
2011-10-01,4087.0
2011-11-01,3636.0
2011-12-01,4849.0
2012-01-01,5276.0
2012-02-01,4700.0
2012-03-01,4984.0
2012-04-01,3746.0
2012-05-01,4082.0
2012-06-01,5421.0
2012-07-01,4301.0
2012-08-01,15896.0
2012-09-01,14558.0
2012-10-01,15933.0
2012-11-01,13425.0
2012-12-01,31381.0
2013-01-01,46892.0
2013-02-01,62671.0
2013-03-01,45698.0
2013-04-01,34938.0
2013-05-01,32223.0
2013-06-01,30006.0
2013-07-01,22870.0
2013-08-01,22073.0
2013-09-01,26414.0
2013-10-01,20111.0
2013-11-01,22828.0
2013-12-01,25064.0
2014-01-01,24378.0
2014-02-01,20809.0
2014-03-01,14986.0
2014-04-01,10617.0
2014-05-01,21358.0
2014-06-01,37992.0
2014-07-01,34959.0
2014-08-01,48255.0
2014-09-01,50644.0
2014-10-01,38163.0
