Tarih,TP_KB_FON079
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,9324.0
2006-01-01,9324.0
2006-02-01,9510.0
2006-03-01,18396.0
2006-04-01,18508.0
2006-05-01,18704.0
2006-06-01,20763.0
2006-07-01,20963.0
2006-08-01,21173.0
2006-09-01,23502.0
2006-10-01,23753.0
2006-11-01,24025.0
2006-12-01,45387.0
2007-01-01,35000.0
2007-02-01,35000.0
2007-03-01,15000.0
2007-04-01,15000.0
2007-05-01,15000.0
2007-06-01,15000.0
2007-07-01,15000.0
2007-08-01,35000.0
2007-09-01,35000.0
2007-10-01,90000.0
2007-11-01,100000.0
2007-12-01,100000.0
2008-01-01,70000.0
2008-02-01,55000.0
2008-03-01,20000.0
2008-04-01,20000.0
2008-05-01,10000.0
2008-06-01,10000.0
2008-07-01,10000.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,35000.0
2008-12-01,55000.0
2009-01-01,40000.0
2009-02-01,5200.0
2009-03-01,15300.0
2009-04-01,45300.0
2009-05-01,80471.0
2009-06-01,90470.0
2009-07-01,80470.0
2009-08-01,91681.0
2009-09-01,85995.0
2009-10-01,35995.0
2009-11-01,36045.0
2009-12-01,41135.0
2010-01-01,46135.0
2010-02-01,36170.0
2010-03-01,46180.0
2010-04-01,75000.0
2010-05-01,80000.0
2010-06-01,125000.0
2010-07-01,80000.0
2010-08-01,60000.0
2010-09-01,105000.0
2010-10-01,70000.0
2010-11-01,80000.0
2010-12-01,50000.0
2011-01-01,20000.0
2011-02-01,30341.0
2011-03-01,57377.0
2011-04-01,38007.0
2011-05-01,12564.0
2011-06-01,3881.0
2011-07-01,5590.0
2011-08-01,22827.0
2011-09-01,47952.0
2011-10-01,32200.0
2011-11-01,20851.0
2011-12-01,42034.0
2012-01-01,98978.0
2012-02-01,115196.0
2012-03-01,39342.0
2012-04-01,28175.0
2012-05-01,54045.0
2012-06-01,70030.0
2012-07-01,76206.0
2012-08-01,72282.0
2012-09-01,52739.0
2012-10-01,62606.0
2012-11-01,71309.0
2012-12-01,75618.0
2013-01-01,169334.0
2013-02-01,243171.0
2013-03-01,290829.0
2013-04-01,264209.0
2013-05-01,339173.0
2013-06-01,284218.0
2013-07-01,272909.0
2013-08-01,16526.0
2013-09-01,86467.0
2013-10-01,35646.0
2013-11-01,20186.0
2013-12-01,21233.0
2014-01-01,23858.0
2014-02-01,20492.0
2014-03-01,29987.0
2014-04-01,20134.0
2014-05-01,22054.0
