Tarih,TP_KB_FVD08
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,2579608.0
2006-01-01,2637163.0
2006-02-01,2730991.0
2006-03-01,2920772.0
2006-04-01,3032838.0
2006-05-01,3456600.0
2006-06-01,3583129.0
2006-07-01,3437980.0
2006-08-01,3348438.0
2006-09-01,3391614.0
2006-10-01,3259926.0
2006-11-01,3302080.0
2006-12-01,3185759.0
2007-01-01,3156493.0
2007-02-01,3167619.0
2007-03-01,3280963.0
2007-04-01,3307831.0
2007-05-01,3452120.0
2007-06-01,3538969.0
2007-07-01,3642517.0
2007-08-01,3718904.0
2007-09-01,3514976.0
2007-10-01,3493610.0
2007-11-01,3609976.0
2007-12-01,3693334.0
2008-01-01,3863567.0
2008-02-01,3989735.0
2008-03-01,4228472.0
2008-04-01,4297014.0
2008-05-01,4073566.0
2008-06-01,3990136.0
2008-07-01,3813408.0
2008-08-01,3725255.0
2008-09-01,3823809.0
2008-10-01,4307748.0
2008-11-01,4233819.0
2008-12-01,4095940.0
2009-01-01,4186184.0
2009-02-01,4562961.0
2009-03-01,4832731.0
2009-04-01,5027397.0
2009-05-01,4953803.0
2009-06-01,5206189.0
2009-07-01,5307137.0
2009-08-01,5543105.0
2009-09-01,5767586.0
2009-10-01,6114704.0
2009-11-01,6538023.0
2009-12-01,6786579.0
2010-01-01,7225836.0
2010-02-01,7845431.0
2010-03-01,8069613.0
2010-04-01,8307464.0
2010-05-01,8623919.0
2010-06-01,8753972.0
2010-07-01,8577074.0
2010-08-01,8495687.0
2010-09-01,8583517.0
2010-10-01,8798630.0
2010-11-01,9110592.0
2010-12-01,10028737.0
2011-01-01,10312935.0
2011-02-01,10004305.0
2011-03-01,9180844.0
2011-04-01,8275626.0
2011-05-01,8071207.0
2011-06-01,7890324.0
2011-07-01,7630689.0
2011-08-01,7084469.0
2011-09-01,6596891.0
2011-10-01,6225440.0
2011-11-01,6096212.0
2011-12-01,5888614.0
2012-01-01,5601477.0
2012-02-01,5545863.0
2012-03-01,5320556.0
2012-04-01,5133185.0
2012-05-01,5142773.0
2012-06-01,5143351.0
2012-07-01,5287192.0
2012-08-01,5648549.0
2012-09-01,5907073.0
2012-10-01,5998533.0
2012-11-01,6127868.0
2012-12-01,6516055.0
2013-01-01,7529889.0
2013-02-01,8832646.0
2013-03-01,9569385.0
2013-04-01,9930158.0
2013-05-01,10698131.0
2013-06-01,11085464.0
2013-07-01,11213229.0
2013-08-01,11657053.0
2013-09-01,11838548.0
