Tarih,TP_ISTIRAKBS_A10
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,531342.0
2007-11-01,502448.0
2007-12-01,484187.0
2008-01-01,418116.0
2008-02-01,383865.0
2008-03-01,332220.0
2008-04-01,369604.0
2008-05-01,340407.0
2008-06-01,317863.0
2008-07-01,366570.0
2008-08-01,374374.0
2008-09-01,303264.0
2008-10-01,232707.0
2008-11-01,261704.0
2008-12-01,258885.0
2009-01-01,278261.0
2009-02-01,300551.0
2009-03-01,306107.0
2009-04-01,340489.0
2009-05-01,351365.0
2009-06-01,341179.0
2009-07-01,372391.0
2009-08-01,459256.0
2009-09-01,478306.0
2009-10-01,486159.0
2009-11-01,438675.0
2009-12-01,481113.0
2010-01-01,489343.0
2010-02-01,452864.0
2010-03-01,492497.0
2010-04-01,521333.0
2010-05-01,457793.0
2010-06-01,448264.0
2010-07-01,461991.0
2010-08-01,469524.0
2010-09-01,507103.0
2010-10-01,994585.0
2010-11-01,963030.0
2010-12-01,984532.0
2011-01-01,993260.0
2011-02-01,970831.0
2011-03-01,973338.0
2011-04-01,1002006.0
2011-05-01,969163.0
2011-06-01,958377.0
2011-07-01,976225.0
2011-08-01,913192.0
2011-09-01,936815.0
2011-10-01,948222.0
2011-11-01,926775.0
2011-12-01,939910.0
2012-01-01,992361.0
2012-02-01,1051875.0
2012-03-01,1073024.0
2012-04-01,1055792.0
2012-05-01,1012947.0
2012-06-01,1053803.0
2012-07-01,1029216.0
2012-08-01,1088053.0
2012-09-01,1088377.0
2012-10-01,1125918.0
2012-11-01,1146644.0
2012-12-01,1307946.0
2013-01-01,1322851.0
2013-02-01,1287239.0
2013-03-01,1296361.0
2013-04-01,1255349.0
2013-05-01,1283160.0
2013-06-01,1264825.0
2013-07-01,1352226.0
2013-08-01,1255471.0
2013-09-01,1457647.0
2013-10-01,1427018.0
2013-11-01,1586923.0
2013-12-01,1613537.0
2014-01-01,1547501.0
2014-02-01,1534748.0
2014-03-01,1452700.0
2014-04-01,1423778.0
2014-05-01,1511756.0
2014-06-01,1450064.0
2014-07-01,1501108.0
2014-08-01,1509360.0
2014-09-01,1417794.0
