Tarih,TP_FINSVERI1_K17
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,27291480.02
2010-04-01,28246272.81
2010-07-01,29711972.77
2010-10-01,32271718.3
2011-01-01,33517333.78
2011-04-01,37176696.43
2011-07-01,39214446.37
2011-10-01,40505073.41
2012-01-01,41198674.56
2012-04-01,43955759.18
2012-07-01,45992701.22
2012-10-01,49167981.05
2013-01-01,51040366.08
2013-04-01,56955240.46
2013-07-01,59690130.39
2013-10-01,66151217.38
2014-01-01,66246186.05
2014-04-01,69523627.39
2014-07-01,73102483.22
2014-10-01,78176489.55
2015-01-01,81866098.95
2015-04-01,85544595.98
2015-07-01,88622575.72
2015-10-01,90783455.25
2016-01-01,89969127.56
2016-04-01,95659045.1
2016-07-01,97261722.55
2016-10-01,108048165.76
2017-01-01,113286816.08
2017-04-01,117606262.13
2017-07-01,123702195.9
2017-10-01,137757459.09
2018-01-01,152817348.62
2018-04-01,161404444.18
2018-07-01,166998724.99
2018-10-01,155106216.6
2019-01-01,150886947.94
2019-04-01,147216663.68
2019-07-01,139081546.76
2019-10-01,143081779.44
2020-01-01,138246175.74
2020-04-01,138499772.05
2020-07-01,151577503.69
2020-10-01,167636820.94
2021-01-01,174020670.14
2021-04-01,183981383.65
2021-07-01,188249959.01
2021-10-01,223148038.73
2022-01-01,242807731.0
2022-04-01,277596524.89
2022-07-01,289695875.09
2022-10-01,367828839.43
2023-01-01,456059566.58
2023-04-01,549512757.62
2023-07-01,638460887.59
2023-10-01,767226801.64
2024-01-01,951671044.96
2024-04-01,1116028335.15
2024-07-01,1202486495.62
2024-10-01,1233325183.62
2025-01-01,1581504108.7
2025-04-01,1715273983.75
