Tarih,TP_FINSVERI1_K14
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,12634742.47
2010-04-01,11926137.51
2010-07-01,12396904.12
2010-10-01,13033334.49
2011-01-01,13618159.46
2011-04-01,10732955.89
2011-07-01,10631598.98
2011-10-01,9844808.71
2012-01-01,9699819.18
2012-04-01,9952996.77
2012-07-01,10020968.33
2012-10-01,10890525.42
2013-01-01,11515456.74
2013-04-01,11450642.78
2013-07-01,11716073.4
2013-10-01,13421760.19
2014-01-01,12994654.67
2014-04-01,12785098.73
2014-07-01,13129215.49
2014-10-01,14109547.64
2015-01-01,14785545.15
2015-04-01,14666234.76
2015-07-01,17888464.46
2015-10-01,16939446.3
2016-01-01,16328482.89
2016-04-01,18493570.28
2016-07-01,18146279.53
2016-10-01,18545671.14
2017-01-01,17368143.13
2017-04-01,17529891.79
2017-07-01,17683162.33
2017-10-01,18094431.99
2018-01-01,87703665.02
2018-04-01,91404050.06
2018-07-01,94472666.46
2018-10-01,129466679.58
2019-01-01,110003942.67
2019-04-01,124782691.56
2019-07-01,138282765.31
2019-10-01,155839332.16
2020-01-01,121686946.42
2020-04-01,135689402.69
2020-07-01,139045538.18
2020-10-01,141468246.87
2021-01-01,142574889.87
2021-04-01,159298766.13
2021-07-01,160487475.3
2021-10-01,218374746.03
2022-01-01,265654977.02
2022-04-01,310888114.94
2022-07-01,352907235.92
2022-10-01,388732885.81
2023-01-01,401967086.85
2023-04-01,514890966.35
2023-07-01,574753156.73
2023-10-01,636843125.63
2024-01-01,807887869.04
2024-04-01,869400529.25
2024-07-01,1000434658.45
2024-10-01,1129531455.59
2025-01-01,1327170154.51
2025-04-01,1504115604.82
