Tarih,TP_FINSVERI3_K4
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,285770.53
2010-04-01,301293.79
2010-07-01,332136.07
2010-10-01,379600.31
2011-01-01,297046.59
2011-04-01,307744.81
2011-07-01,507231.98
2011-10-01,591109.6
2012-01-01,460029.97
2012-04-01,482222.15
2012-07-01,530033.51
2012-10-01,623990.28
2013-01-01,537547.33
2013-04-01,835774.79
2013-07-01,642427.97
2013-10-01,919093.5
2014-01-01,812994.03
2014-04-01,1190834.21
2014-07-01,1100960.2
2014-10-01,1265561.76
2015-01-01,1588921.81
2015-04-01,1977035.31
2015-07-01,2371732.61
2015-10-01,2312712.0
2016-01-01,2362033.16
2016-04-01,2379802.45
2016-07-01,2762131.3
2016-10-01,2614739.65
2017-01-01,2821964.54
2017-04-01,2945174.84
2017-07-01,2901408.7
2017-10-01,3398365.35
2018-01-01,4209522.72
2018-04-01,3906574.83
2018-07-01,3576907.99
2018-10-01,3220946.65
2019-01-01,3355699.59
2019-04-01,1967476.99
2019-07-01,1853015.71
2019-10-01,1530526.04
2020-01-01,2441398.84
2020-04-01,2531768.92
2020-07-01,3601388.72
2020-10-01,3358815.24
2021-01-01,4983623.04
2021-04-01,5186039.65
2021-07-01,5022400.59
2021-10-01,7005878.88
2022-01-01,8426473.64
2022-04-01,10541643.83
2022-07-01,12146610.0
2022-10-01,14045473.95
2023-01-01,22032784.07
2023-04-01,28358121.46
2023-07-01,29578776.64
2023-10-01,29673943.38
2024-01-01,27124071.03
2024-04-01,25781834.4
2024-07-01,30371804.0
2024-10-01,25109738.29
2025-01-01,30276998.21
2025-04-01,34711394.02
