Tarih,TP_FINSVERI3_K35
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,106640.49
2010-04-01,125201.8
2010-07-01,135547.74
2010-10-01,9357.7
2011-01-01,85080.42
2011-04-01,148352.88
2011-07-01,167362.81
2011-10-01,72219.33
2012-01-01,120504.69
2012-04-01,163479.85
2012-07-01,173365.08
2012-10-01,126125.43
2013-01-01,176339.84
2013-04-01,179009.23
2013-07-01,150577.94
2013-10-01,148810.0
2014-01-01,113635.11
2014-04-01,139413.56
2014-07-01,117675.88
2014-10-01,115035.7
2015-01-01,134756.78
2015-04-01,138669.9
2015-07-01,150732.79
2015-10-01,184585.26
2016-01-01,149212.07
2016-04-01,157299.71
2016-07-01,261264.55
2016-10-01,304699.86
2017-01-01,335154.96
2017-04-01,473350.04
2017-07-01,671325.96
2017-10-01,706639.58
2018-01-01,765377.87
2018-04-01,773846.58
2018-07-01,853199.36
2018-10-01,792485.18
2019-01-01,2914089.38
2019-04-01,3787470.48
2019-07-01,3730135.04
2019-10-01,3035144.74
2020-01-01,3621199.13
2020-04-01,3978960.67
2020-07-01,5426970.81
2020-10-01,5661782.18
2021-01-01,6668484.02
2021-04-01,7617731.39
2021-07-01,8324143.68
2021-10-01,12186631.36
2022-01-01,13716454.72
2022-04-01,18402395.31
2022-07-01,21131959.32
2022-10-01,21972273.32
2023-01-01,25204674.73
2023-04-01,29423345.86
2023-07-01,32965928.74
2023-10-01,30117732.59
2024-01-01,35935849.38
2024-04-01,39015415.53
2024-07-01,42957760.38
2024-10-01,41900886.16
2025-01-01,46504112.44
2025-04-01,57036889.09
