Tarih,TP_FINSVERI3_K56
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,382316.49
2010-04-01,716611.32
2010-07-01,994080.47
2010-10-01,1285265.15
2011-01-01,431752.26
2011-04-01,854069.38
2011-07-01,1230737.26
2011-10-01,1521417.86
2012-01-01,452783.17
2012-04-01,852575.64
2012-07-01,1176743.57
2012-10-01,1481159.12
2013-01-01,473785.12
2013-04-01,841322.91
2013-07-01,1570058.76
2013-10-01,1655590.48
2014-01-01,442911.44
2014-04-01,909989.76
2014-07-01,1428363.82
2014-10-01,1757047.17
2015-01-01,680778.6
2015-04-01,1256367.51
2015-07-01,1711736.21
2015-10-01,1991156.53
2016-01-01,663545.83
2016-04-01,1284805.84
2016-07-01,1864983.92
2016-10-01,2427300.56
2017-01-01,966328.44
2017-04-01,1720949.98
2017-07-01,2598771.38
2017-10-01,3301340.92
2018-01-01,1355745.37
2018-04-01,2580213.88
2018-07-01,3701369.38
2018-10-01,4125224.42
2019-01-01,1319956.16
2019-04-01,2592561.36
2019-07-01,3781923.07
2019-10-01,4778276.63
2020-01-01,1774700.26
2020-04-01,3629446.76
2020-07-01,5931751.83
2020-10-01,7986945.79
2021-01-01,3387083.8
2021-04-01,5656221.99
2021-07-01,7969830.66
2021-10-01,11038727.63
2022-01-01,4513507.32
2022-04-01,10330415.54
2022-07-01,16060720.53
2022-10-01,20633160.53
2023-01-01,11424854.54
2023-04-01,29857804.31
2023-07-01,49215187.16
2023-10-01,69053629.87
2024-01-01,22255327.01
2024-04-01,47918963.86
2024-07-01,45506149.01
2024-10-01,95657537.81
2025-01-01,36062583.57
2025-04-01,78560251.27
