Tarih,TP_FINSVERI3_K54
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,11091104.96
2010-04-01,10796738.4
2010-07-01,11331300.18
2010-10-01,12583286.16
2011-01-01,13514049.38
2011-04-01,11704834.63
2011-07-01,11486412.79
2011-10-01,10068859.71
2012-01-01,11053975.59
2012-04-01,11082010.78
2012-07-01,12884059.52
2012-10-01,14159894.36
2013-01-01,16133064.79
2013-04-01,16973856.81
2013-07-01,14752839.85
2013-10-01,22995974.27
2014-01-01,22562941.5
2014-04-01,24272145.45
2014-07-01,23528291.02
2014-10-01,22942161.05
2015-01-01,25846935.0
2015-04-01,24743437.28
2015-07-01,35238092.54
2015-10-01,33585384.96
2016-01-01,34252355.85
2016-04-01,36269909.08
2016-07-01,37132802.45
2016-10-01,38887880.11
2017-01-01,40791925.11
2017-04-01,42231094.34
2017-07-01,42803310.28
2017-10-01,43829884.96
2018-01-01,48172472.4
2018-04-01,46889101.76
2018-07-01,42175716.4
2018-10-01,41075226.68
2019-01-01,39434915.26
2019-04-01,39268390.49
2019-07-01,46304835.53
2019-10-01,56631378.89
2020-01-01,99585009.33
2020-04-01,126485978.79
2020-07-01,126313476.77
2020-10-01,125266269.13
2021-01-01,140635094.21
2021-04-01,161019717.28
2021-07-01,179158837.04
2021-10-01,270833740.03
2022-01-01,314071426.86
2022-04-01,357182899.18
2022-07-01,446209570.96
2022-10-01,660471658.09
2023-01-01,829051271.08
2023-04-01,1042307303.64
2023-07-01,1361190148.63
2023-10-01,1612875362.17
2024-01-01,2186111171.22
2024-04-01,2476956339.73
2024-07-01,2921535124.99
2024-10-01,3248825196.85
2025-01-01,4130715822.66
2025-04-01,4964834768.16
