Tarih,TP_FINSVERI2_K5
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,449.26
2010-04-01,529.21
2010-07-01,2537.0
2010-10-01,358.32
2011-01-01,945.17
2011-04-01,786.31
2011-07-01,6444.04
2011-10-01,346.72
2012-01-01,4906.0
2012-04-01,6157.56
2012-07-01,13173.61
2012-10-01,8176.42
2013-01-01,5211.45
2013-04-01,4342.76
2013-07-01,5117.35
2013-10-01,6653.78
2014-01-01,5457.35
2014-04-01,679.8
2014-07-01,1243.6
2014-10-01,4525.18
2015-01-01,6252.06
2015-04-01,8068.95
2015-07-01,16558.96
2015-10-01,7008.71
2016-01-01,5849.2
2016-04-01,5451.2
2016-07-01,3877.35
2016-10-01,6446.55
2017-01-01,5872.67
2017-04-01,1440.01
2017-07-01,6819.59
2017-10-01,7046.66
2018-01-01,10271.49
2018-04-01,9676.09
2018-07-01,40498.59
2018-10-01,8849.6
2019-01-01,9237.45
2019-04-01,13706.53
2019-07-01,10712.2
2019-10-01,11259.38
2020-01-01,9735.19
2020-04-01,23584.54
2020-07-01,34571.58
2020-10-01,38598.36
2021-01-01,33380.21
2021-04-01,64791.68
2021-07-01,38857.61
2021-10-01,68414.49
2022-01-01,68078.6
2022-04-01,43164.86
2022-07-01,56563.63
2022-10-01,247634.49
2023-01-01,247333.03
2023-04-01,48346.14
2023-07-01,47017.97
2023-10-01,58429.94
2024-01-01,73124.54
2024-04-01,84026.36
2024-07-01,121686.23
2024-10-01,177693.57
2025-01-01,150457.49
2025-04-01,120267.61
