Tarih,TP_ITHISICREV4_58
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,9892.999
2013-02-01,10447.609
2013-03-01,11847.568
2013-04-01,12372.163
2013-05-01,12939.599
2013-06-01,11465.784
2013-07-01,19901.195
2013-08-01,21588.272
2013-09-01,17302.954
2013-10-01,13243.565
2013-11-01,15024.114
2013-12-01,13995.898
2014-01-01,12692.217
2014-02-01,10643.045
2014-03-01,16140.603
2014-04-01,12427.928
2014-05-01,13196.598
2014-06-01,21718.13
2014-07-01,17641.018
2014-08-01,25941.36
2014-09-01,17283.173
2014-10-01,12140.114
2014-11-01,13941.15
2014-12-01,12494.256
2015-01-01,11086.95
2015-02-01,11810.041
2015-03-01,10975.849
2015-04-01,9826.516
2015-05-01,11997.332
2015-06-01,16929.861
2015-07-01,22836.398
2015-08-01,19990.767
2015-09-01,14708.045
2015-10-01,14870.729
2015-11-01,12154.769
2015-12-01,11570.373
2016-01-01,7830.895
2016-02-01,9258.611
2016-03-01,10282.788
2016-04-01,7596.664
2016-05-01,9505.43
2016-06-01,13826.747
2016-07-01,15330.573
2016-08-01,16713.048
2016-09-01,15956.072
